,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Chesley 'Sully' Sullenberger,0.11666900000000001,1.850037,1.733368
1,1,1,1,Jeff Skiles,0.583345,1.850037,1.266692
2,2,2,2,Chesley 'Sully' Sullenberger,2.016707,3.850077,1.8333700000000004
3,3,3,3,Diane Higgins,3.5834050000000004,3.850077,0.2666719999999998
4,4,4,4,Lucille Palmer,3.616739,3.850077,0.2333380000000003
5,5,5,5,Chesley 'Sully' Sullenberger,3.950079000000001,6.833470000000001,2.883391
6,6,6,6,Jeff Skiles,3.950079000000001,6.833470000000001,2.883391
7,7,7,7,Charles Porter,3.950079000000001,6.833470000000001,2.883391
8,8,8,8,Elizabeth Davis,3.950079000000001,6.833470000000001,2.883391
9,9,9,9,Mike Cleary,3.950079000000001,6.833470000000001,2.883391
10,10,10,10,ATC #1,3.950079000000001,6.833470000000001,2.883391
11,11,11,11,Ben Edwards,3.950079000000001,6.833470000000001,2.883391
12,12,12,12,Egyptian Driver,6.833470000000001,9.033514,2.2000439999999992
13,13,13,13,Jeff Skiles,6.833470000000001,9.033514,2.2000439999999992
14,14,14,14,Chesley 'Sully' Sullenberger,6.916805000000001,9.033514,2.116709
15,15,15,15,Mike Cleary,6.916805000000001,9.033514,2.116709
16,16,16,16,Lorraine Sullenberger,7.866824000000001,9.033514,1.1666899999999991
17,17,17,17,Lorraine Sullenberger,9.133516,13.983613000000002,4.850097000000002
18,18,18,18,Chesley 'Sully' Sullenberger,9.216851,13.983613000000002,4.766762000000002
19,19,19,19,Reporter #1,11.16689,13.983613000000002,2.8167230000000014
20,20,20,20,Jeff Skiles,11.900238000000002,13.983613000000002,2.083375
21,21,21,21,Katie Couric,13.983613000000002,18.067028,4.083414999999999
22,22,22,22,Chesley 'Sully' Sullenberger,13.983613000000002,18.067028,4.083414999999999
23,23,23,23,LT Cook,14.83363,18.067028,3.233398000000001
24,24,24,24,Sully (16 Years Old),14.83363,18.067028,3.233398000000001
25,25,25,25,Alison,15.866984000000002,18.067028,2.2000439999999983
26,26,26,26,Mike Cleary,16.950339000000003,18.067028,1.1166889999999974
27,27,27,27,Chesley 'Sully' Sullenberger,18.067028,23.283799,5.216770999999998
28,28,28,28,Larry Rooney,18.250365,23.283799,5.033434
29,29,29,29,Jeff Skiles,18.400368,23.283799,4.883430999999998
30,30,30,30,Charles Porter,18.450369,23.283799,4.83343
31,31,31,31,Elizabeth Davis,18.483703,23.283799,4.800096
32,32,32,32,ATC #1,18.483703,23.283799,4.800096
33,33,33,33,Ben Edwards,18.483703,23.283799,4.800096
34,34,34,34,Chesley 'Sully' Sullenberger,23.350467000000002,26.200524,2.850057
35,35,35,35,Jeff Skiles,23.350467000000002,26.200524,2.850057
36,36,36,36,Donna Dent,23.350467000000002,26.200524,2.850057
37,37,37,37,Sheila Dail,23.350467000000002,26.200524,2.850057
38,38,38,38,Doreen Welsh,23.350467000000002,26.200524,2.850057
39,39,39,39,David Letterman,23.350467000000002,26.200524,2.850057
40,40,40,40,Lorraine Sullenberger,23.950479,26.200524,2.250045
41,41,41,41,Chesley 'Sully' Sullenberger,26.200524,31.067288,4.866764
42,42,42,42,Gurisman,26.283859000000003,31.067288,4.783428999999998
43,43,43,43,Lucille Palmer,26.733868,31.067288,4.3334199999999985
44,44,44,44,Diane Higgins,26.767202,31.067288,4.300086
45,45,45,45,Sheila Dail,27.467216000000004,31.067288,3.6000719999999973
46,46,46,46,Donna Dent,27.550551000000002,31.067288,3.5167369999999987
47,47,47,47,Jeff Skiles,27.567218000000004,31.067288,3.5000699999999973
48,48,48,48,Rob Kolodjay,27.650553000000002,31.067288,3.4167349999999987
49,49,49,49,Jeff Kolodjay,27.650553000000002,31.067288,3.4167349999999987
50,50,50,50,Jimmy Stefanik,27.650553000000002,31.067288,3.4167349999999987
51,51,51,51,Emily - Gate Attendant,28.550571,31.067288,2.516717
52,52,52,52,Barry Leonard,29.717261000000004,31.067288,1.3500269999999972
53,53,53,53,Passenger with Baby,29.717261000000004,31.067288,1.3500269999999972
54,54,54,54,Sheila Dail,31.183957000000003,38.55077100000001,7.366814000000009
55,55,55,55,Diane Higgins,31.183957000000003,38.55077100000001,7.366814000000009
56,56,56,56,Donna Dent,31.300626,38.55077100000001,7.25014500000001
57,57,57,57,Doreen Welsh,31.31729300000001,38.55077100000001,7.233478000000002
58,58,58,58,Chesley 'Sully' Sullenberger,31.867304000000004,38.55077100000001,6.683467000000008
59,59,59,59,Jeff Skiles,31.867304000000004,38.55077100000001,6.683467000000008
60,60,60,60,Rob Kolodjay,33.434002,38.55077100000001,5.116769000000012
61,61,61,61,Jeff Kolodjay,33.434002,38.55077100000001,5.116769000000012
62,62,62,62,Jimmy Stefanik,33.434002,38.55077100000001,5.116769000000012
63,63,63,63,Lucille Palmer,34.017346999999994,38.55077100000001,4.533424000000019
64,64,64,64,Patrick Harten,34.584025000000004,38.55077100000001,3.966746000000009
65,65,65,65,ATC Supervisor,34.584025000000004,38.55077100000001,3.966746000000009
66,66,66,66,Chesley 'Sully' Sullenberger,38.55077100000001,42.56751800000001,4.016746999999995
