,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Travis Bickle,1.150023,2.16671,1.0166870000000001
1,1,1,1,Personnel Officer,2.16671,4.316753,2.150043
2,2,2,2,Travis Bickle,2.200044,4.316753,2.116709
3,3,3,3,Wizard,2.4167150000000004,4.316753,1.900038
4,4,4,4,Dispatcher,2.5333840000000003,4.316753,1.7833689999999998
5,5,5,5,Wizard,4.316753,5.0667680000000015,0.7500150000000012
6,6,6,6,Travis Bickle,4.316753,5.0667680000000015,0.7500150000000012
7,7,7,7,Travis Bickle,5.1834370000000005,5.683447,0.5000099999999996
8,8,8,8,Travis Bickle,6.0834550000000025,8.166830000000001,2.0833749999999984
9,9,9,9,Hooker in Cab,6.6668,8.166830000000001,1.5000300000000006
10,10,10,10,The John,6.6668,8.166830000000001,1.5000300000000006
11,11,11,11,Travis Bickle,8.166830000000001,10.366874000000001,2.200044
12,12,12,12,Concession Girl,8.483503,10.366874000000001,1.8833710000000004
13,13,13,13,Travis Bickle,10.400208000000001,13.566938,3.1667299999999994
14,14,14,14,Betsy,10.583545,13.566938,2.9833929999999995
15,15,15,15,Charles Palantine,10.700214,13.566938,2.866724
16,16,16,16,Tom,11.016887,13.566938,2.550051
17,17,17,17,Campaign Worker,11.016887,13.566938,2.550051
18,18,18,18,Tom's Assistant,11.666900000000002,13.566938,1.9000379999999983
19,19,19,19,Travis Bickle,13.600272,15.166970000000001,1.5666980000000006
20,20,20,20,Doughboy,15.166970000000001,18.483703,3.316732999999997
21,21,21,21,Wizard,15.166970000000001,18.483703,3.316732999999997
22,22,22,22,Travis Bickle,15.166970000000001,18.483703,3.316732999999997
23,23,23,23,Charlie T,15.416975,18.483703,3.0667279999999977
24,24,24,24,Betsy,18.483703,23.450469000000002,4.966766000000003
25,25,25,25,Tom,18.50037,23.450469000000002,4.950099000000002
26,26,26,26,Charles Palantine,18.733708,23.450469000000002,4.716761000000002
27,27,27,27,Tom's Assistant,19.517057,23.450469000000002,3.933412000000001
28,28,28,28,Travis Bickle,20.117069,23.450469000000002,3.333400000000001
29,29,29,29,Charles Palantine,23.450469000000002,27.350547,3.900077999999997
30,30,30,30,Travis Bickle,23.450469000000002,27.350547,3.900077999999997
31,31,31,31,Betsy,23.650473,27.350547,3.700073999999997
32,32,32,32,Clerk at Sam Goody Store,27.350547,28.200564000000004,0.8500170000000047
33,33,33,33,Travis Bickle,27.350547,28.200564000000004,0.8500170000000047
34,34,34,34,Travis Bickle,28.200564000000004,30.83395,2.633385999999998
35,35,35,35,Charles Palantine,28.283899,30.83395,2.550051
36,36,36,36,Palantine's Aide,28.283899,30.83395,2.550051
37,37,37,37,Iris,30.83395,32.550651,1.7167010000000005
38,38,38,38,Travis Bickle,30.83395,32.550651,1.7167010000000005
39,39,39,39,Sport,31.083955000000003,32.550651,1.4666959999999991
40,40,40,40,Travis Bickle,32.550651,33.784009000000005,1.2333580000000026
41,41,41,41,Betsy,33.584005000000005,33.784009000000005,0.20000399999999985
42,42,42,42,Street Drummer,33.784009000000005,36.984073,3.2000639999999976
43,43,43,43,Travis Bickle,33.967346000000006,36.984073,3.016726999999996
44,44,44,44,Betsy,33.967346000000006,36.984073,3.016726999999996
45,45,45,45,Charles Palantine,33.967346000000006,36.984073,3.016726999999996
46,46,46,46,Travis Bickle,36.984073,39.034114,2.050041
47,47,47,47,Travis Bickle,39.034114,40.05080100000001,1.0166870000000046
48,48,48,48,Charles Palantine,39.117449,40.05080100000001,0.9333520000000064
49,49,49,49,Tom,39.150783000000004,40.05080100000001,0.9000180000000029
50,50,50,50,Betsy,39.150783000000004,40.05080100000001,0.9000180000000029
51,51,51,51,Police Officer,39.93413200000001,40.05080100000001,0.11666899999999455
