,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Narrator,0.566678,4.100082,3.5334039999999995
1,1,1,1,Kid #1,1.2666920000000002,4.100082,2.83339
2,2,2,2,Kid #3,1.2666920000000002,4.100082,2.83339
3,3,3,3,Greenbaum Kid,1.3000260000000001,4.100082,2.800056
4,4,4,4,Kid #2,1.433362,4.100082,2.66672
5,5,5,5,Young John,1.4500290000000002,4.100082,2.650053
6,6,6,6,John's Mom,2.616719,4.100082,1.4833629999999998
7,7,7,7,John's Dad,2.683387,4.100082,1.4166949999999994
8,8,8,8,Bellybutton,2.800056,4.100082,1.3000259999999997
9,9,9,9,Sam Jones,3.0167270000000004,4.100082,1.0833549999999992
10,10,10,10,Young John,4.183417,6.1667900000000015,1.9833730000000007
11,11,11,11,Young Ted's Voice,4.650093,6.1667900000000015,1.5166970000000015
12,12,12,12,Narrator,5.1001020000000015,6.1667900000000015,1.066688
13,13,13,13,John's Mom,5.2167710000000005,6.1667900000000015,0.9500190000000012
14,14,14,14,John's Dad,5.2167710000000005,6.1667900000000015,0.9500190000000012
15,15,15,15,Young Ted's Voice,6.1667900000000015,7.783489,1.6166989999999988
16,16,16,16,Newscaster,6.1667900000000015,7.783489,1.6166989999999988
17,17,17,17,Female Newscaster,6.2501250000000015,7.783489,1.5333639999999988
18,18,18,18,Southern Newscaster,6.3001260000000014,7.783489,1.4833629999999989
19,19,19,19,Japanese Newscaster,6.3834610000000005,7.783489,1.4000279999999998
20,20,20,20,Narrator,6.583465,7.783489,1.200024
21,21,21,21,Himself,6.650133,7.783489,1.133356
22,22,22,22,Himself,6.7001339999999985,7.783489,1.0833550000000018
23,23,23,23,Donny's Dad,7.116809000000001,7.783489,0.6666799999999995
24,24,24,24,Young John,7.666819999999999,7.783489,0.11666900000000167
25,25,25,25,Young John,8.083495000000001,10.200204,2.1167089999999984
26,26,26,26,Young Ted's Voice,8.083495000000001,10.200204,2.1167089999999984
27,27,27,27,Teenage John,8.550171,10.200204,1.6500329999999988
28,28,28,28,Ted,8.683507,10.200204,1.5166969999999989
29,29,29,29,John Bennett,8.783509,10.200204,1.4166949999999991
30,30,30,30,Lori Collins,9.216851,10.200204,0.9833529999999993
31,31,31,31,Ted,10.200204,11.300226,1.100022000000001
32,32,32,32,John Bennett,10.283539,11.300226,1.016687000000001
33,33,33,33,SpongeBob SquarePants,10.33354,11.300226,0.966686000000001
34,34,34,34,Ted,11.300226,13.566938,2.266712
35,35,35,35,John Bennett,11.300226,13.566938,2.266712
36,36,36,36,Thomas,11.850237000000002,13.566938,1.7167009999999987
37,37,37,37,Tom Skerritt,13.116929,13.566938,0.4500089999999997
38,38,38,38,Husband,13.583605,15.433642,1.8500370000000004
39,39,39,39,Guy,13.583605,15.433642,1.8500370000000004
40,40,40,40,Wife,13.583605,15.433642,1.8500370000000004
41,41,41,41,John Bennett,13.750275000000002,15.433642,1.6833669999999987
42,42,42,42,Alix,14.350287000000002,15.433642,1.0833549999999992
43,43,43,43,Tanya,14.566957999999998,15.433642,0.8666840000000029
44,44,44,44,John Bennett,15.533644,17.750355000000006,2.216711000000005
45,45,45,45,Ted,15.533644,17.750355000000006,2.216711000000005
46,46,46,46,Sam Jones,16.783669000000003,17.750355000000006,0.9666860000000028
47,47,47,47,Lori Collins,16.983673000000003,17.750355000000006,0.766682000000003
48,48,48,48,John Bennett,17.850357000000006,19.533724000000007,1.6833670000000005
