,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Balloon Man,1.583365,8.366833999999999,6.7834689999999975
1,1,1,1,Raven,2.716721,8.366833999999999,5.6501129999999975
2,2,2,2,Robin,2.716721,8.366833999999999,5.6501129999999975
3,3,3,3,Starfire,2.716721,8.366833999999999,5.6501129999999975
4,4,4,4,Cyborg,2.716721,8.366833999999999,5.6501129999999975
5,5,5,5,Beast Boy,3.933412000000001,8.366833999999999,4.433421999999998
6,6,6,6,Superman,6.683467,8.366833999999999,1.6833669999999987
7,7,7,7,Wonder Woman,6.683467,8.366833999999999,1.6833669999999987
8,8,8,8,Green Lantern,6.683467,8.366833999999999,1.6833669999999987
9,9,9,9,Batman,8.500169999999999,25.817183000000004,17.317013000000006
10,10,10,10,Superman,8.600172,25.817183000000004,17.217011000000007
11,11,11,11,Supergirl,8.733508,25.817183000000004,17.083675000000003
12,12,12,12,Plastic Man,8.783509,25.817183000000004,17.033674000000005
13,13,13,13,Atom,8.900178,25.817183000000004,16.917005000000003
14,14,14,14,Raven,8.966846,25.817183000000004,16.850337000000003
15,15,15,15,Robin,8.966846,25.817183000000004,16.850337000000003
16,16,16,16,Starfire,8.966846,25.817183000000004,16.850337000000003
17,17,17,17,Beast Boy,8.966846,25.817183000000004,16.850337000000003
18,18,18,18,Cyborg,8.966846,25.817183000000004,16.850337000000003
19,19,19,19,Guard,9.500190000000002,25.817183000000004,16.316993000000004
20,20,20,20,Red Carpet Announcer,11.066888,25.817183000000004,14.750295000000005
21,21,21,21,Jade Wilson,11.233558,25.817183000000004,14.583625000000005
22,22,22,22,Flash,15.166970000000001,25.817183000000004,10.650213000000004
23,23,23,23,Security Guard,15.800316000000002,25.817183000000004,10.016867
24,24,24,24,Slade,17.450349000000006,25.817183000000004,8.366833999999997
25,25,25,25,Raven,25.850517000000004,39.017447,13.166929999999995
26,26,26,26,Robin,25.850517000000004,39.017447,13.166929999999995
27,27,27,27,Starfire,25.850517000000004,39.017447,13.166929999999995
28,28,28,28,Beast Boy,25.850517000000004,39.017447,13.166929999999995
29,29,29,29,Cyborg,25.850517000000004,39.017447,13.166929999999995
30,30,30,30,Stan Lee,26.98387300000001,39.017447,12.033573999999987
31,31,31,31,Stan Lee's Assistant,27.11720900000001,39.017447,11.900237999999987
32,32,32,32,Superman,27.433882000000004,39.017447,11.583564999999993
33,33,33,33,Jade Wilson,27.433882000000004,39.017447,11.583564999999993
34,34,34,34,Batman,27.433882000000004,39.017447,11.583564999999993
35,35,35,35,Supergirl,36.517397,39.017447,2.5000499999999946
36,36,36,36,Aquaman,38.15076300000001,39.017447,0.8666839999999851
37,37,37,37,Slade,38.634106,39.017447,0.3833409999999944
38,38,38,38,Slade,39.034114,57.901158,18.867044
39,39,39,39,Machine Voice,39.150783000000004,57.901158,18.750375
40,40,40,40,Raven,39.550791,57.901158,18.350367000000006
41,41,41,41,Robin,39.550791,57.901158,18.350367000000006
42,42,42,42,Starfire,39.550791,57.901158,18.350367000000006
43,43,43,43,Beast Boy,39.550791,57.901158,18.350367000000006
44,44,44,44,Cyborg,39.550791,57.901158,18.350367000000006
45,45,45,45,Jade Wilson,46.167590000000004,57.901158,11.733567999999998
46,46,46,46,Aquaman,49.45098900000001,57.901158,8.450168999999995
47,47,47,47,Superman,49.634326,57.901158,8.266832
48,48,48,48,Supergirl,51.31769300000001,57.901158,6.5834649999999915
49,49,49,49,Green Lantern,51.33436,57.901158,6.566798000000006
50,50,50,50,Jade Wilson,57.93449200000001,78.884911,20.95041899999999
51,51,51,51,Robin,57.98449300000001,78.884911,20.900417999999995
52,52,52,52,Vault Voice,58.884511,78.884911,20.0004
53,53,53,53,Slade,59.684527,78.884911,19.200384
54,54,54,54,Raven,63.984613,78.884911,14.900298
55,55,55,55,Starfire,63.984613,78.884911,14.900298
56,56,56,56,Beast Boy,63.984613,78.884911,14.900298
57,57,57,57,Cyborg,63.984613,78.884911,14.900298
58,58,58,58,Superman,65.31797300000001,78.884911,13.566937999999993
59,59,59,59,Supergirl,65.31797300000001,78.884911,13.566937999999993
60,60,60,60,Green Lantern,65.31797300000001,78.884911,13.566937999999993
61,61,61,61,Atom,67.70135400000001,78.884911,11.183556999999993
62,62,62,62,Stan Lee,67.80135600000001,78.884911,11.08355499999999
