,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Aaron Cross,0.4500090000000001,2.083375,1.633366
1,1,1,1,Simon Ross,2.083375,3.83341,1.7500349999999998
2,2,2,2,Ezra Kramer,2.200044,3.83341,1.633366
3,3,3,3,"Retired Adm. Mark Turso, USN",2.4833830000000003,3.83341,1.350027
4,4,4,4,nt0551746,2.4833830000000003,3.83341,1.350027
5,5,5,5,Aaron Cross,3.5834050000000004,3.83341,0.2500049999999998
6,6,6,6,nt0244488,3.83341,5.1334360000000006,1.3000260000000003
7,7,7,7,"Retired Col. Eric Byer, USAF",3.83341,5.1334360000000006,1.3000260000000003
8,8,8,8,"Retired Adm. Mark Turso, USN",4.0500810000000005,5.1334360000000006,1.0833549999999998
9,9,9,9,Aaron Cross,4.150083,5.1334360000000006,0.983353
10,10,10,10,Dita Mandy,5.2001040000000005,7.516817,2.316712999999999
11,11,11,11,"Retired Col. Eric Byer, USAF",5.2667720000000005,7.516817,2.250044999999999
12,12,12,12,nt0244527,5.2667720000000005,7.516817,2.250044999999999
13,13,13,13,Zev Vendel,5.2667720000000005,7.516817,2.250044999999999
14,14,14,14,Arthur Ingram,5.2667720000000005,7.516817,2.250044999999999
15,15,15,15,Jason Bourne,5.916785000000001,7.516817,1.6000319999999988
16,16,16,16,Aaron Cross,6.883471000000001,7.516817,0.6333459999999986
17,17,17,17,Simon Ross,7.633486,8.766842,1.133356
18,18,18,18,nt0067053,7.633486,8.766842,1.133356
19,19,19,19,"Retired Col. Eric Byer, USAF",7.733488,8.766842,1.033354
20,20,20,20,CNN Reporter,7.8001559999999985,8.766842,0.966686000000002
21,21,21,21,Lean Forward MSNBC Anchor,7.8001559999999985,8.766842,0.966686000000002
22,22,22,22,MSNBC Man Analyst,8.116829000000001,8.766842,0.6500129999999995
23,23,23,23,Aaron Cross,8.416835,8.766842,0.3500069999999997
24,24,24,24,Sterisyn-Morlanta Gateman,8.766842,11.883571000000002,3.116729000000001
25,25,25,25,Dr. Marta Shearing,8.800175999999997,11.883571000000002,3.0833950000000048
26,26,26,26,Dr. Benezara,9.183517,11.883571000000002,2.700054000000001
27,27,27,27,Dr. Lieberburg,9.433522000000002,11.883571000000002,2.4500490000000004
28,28,28,28,Dr. Dan Hillcott,9.516857000000002,11.883571000000002,2.366714
29,29,29,29,Dr. Donald Foite,10.0002,11.883571000000002,1.8833710000000021
30,30,30,30,nt0159872,10.0002,11.883571000000002,1.8833710000000021
31,31,31,31,Outcome #6,10.583545,11.883571000000002,1.3000260000000008
32,32,32,32,Aaron Cross,11.266892,11.883571000000002,0.6166790000000013
33,33,33,33,Neuro Luncheon MC,11.900238000000002,14.483623000000001,2.583385
34,34,34,34,Dr. Albert Hirsch,11.950239000000002,14.483623000000001,2.533384
35,35,35,35,Dr. Dan Hillcott,12.000240000000002,14.483623000000001,2.4833830000000003
36,36,36,36,"Retired Col. Eric Byer, USAF",12.066908000000002,14.483623000000001,2.416715
37,37,37,37,"Retired Adm. Mark Turso, USN",12.066908000000002,14.483623000000001,2.416715
38,38,38,38,Terrence Ward,12.066908000000002,14.483623000000001,2.416715
39,39,39,39,nt0107394,13.966946000000002,14.483623000000001,0.5166769999999996
40,40,40,40,Aaron Cross,14.483623000000001,19.133716000000003,4.650093000000002
41,41,41,41,Outcome #3,15.083635000000001,19.133716000000003,4.050081000000001
42,42,42,42,nt0159564,15.083635000000001,19.133716000000003,4.050081000000001
43,43,43,43,C-Team,19.200384000000003,20.633746,1.4333619999999954
44,44,44,44,C-Team,19.200384000000003,20.633746,1.4333619999999954
45,45,45,45,Noah Vosen,19.267052000000003,20.633746,1.3666939999999954
46,46,46,46,nt0320877,19.267052000000003,20.633746,1.3666939999999954
47,47,47,47,Ray Wills,19.267052000000003,20.633746,1.3666939999999954
48,48,48,48,"Retired Col. Eric Byer, USAF",19.500390000000003,20.633746,1.1333559999999956
49,49,49,49,Dita Mandy,19.500390000000003,20.633746,1.1333559999999956
50,50,50,50,nt0320881,19.717061,20.633746,0.9166849999999976
51,51,51,51,Aaron Cross,19.983733,20.633746,0.6500129999999977
52,52,52,52,Outcome #3,19.983733,20.633746,0.6500129999999977
53,53,53,53,Aaron Cross,20.66708,24.250485,3.5834050000000026
54,54,54,54,Outcome #3,20.66708,24.250485,3.5834050000000026
55,55,55,55,nt0159565,20.66708,24.250485,3.5834050000000026
56,56,56,56,Outcome #4,24.40048800000001,27.867224000000004,3.4667359999999934
57,57,57,57,Mrs. Yun,24.63382600000001,27.867224000000004,3.2333979999999936
58,58,58,58,nt0886028,24.63382600000001,27.867224000000004,3.2333979999999936
59,59,59,59,"Retired Col. Eric Byer, USAF",24.817163,27.867224000000004,3.050061000000003
60,60,60,60,Lt. Gen. Paulsen,24.883831,27.867224000000004,2.983393000000003
61,61,61,61,Outcome #1,26.300526,27.867224000000004,1.5666980000000024
62,62,62,62,Outcome #6,27.100542,27.867224000000004,0.766682000000003
63,63,63,63,Outcome #3,27.867224000000004,30.767282,2.9000579999999982
64,64,64,64,Aaron Cross,27.917225,30.767282,2.850057000000003
65,65,65,65,Air Force Officer,30.800616,34.184017000000004,3.3834010000000028
66,66,66,66,Drone Spec,30.800616,34.184017000000004,3.3834010000000028
