,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Father Merrin,2.16671,3.900078,1.733368
1,1,1,1,Father Merrin,4.100082,5.566778,1.4666960000000009
2,2,2,2,Jesuit Dean,5.750115,8.350166999999999,2.600051999999999
3,3,3,3,Father Merrin,5.833450000000001,8.350166999999999,2.516716999999998
4,4,4,4,Father Merrin,8.383500999999999,10.066868,1.6833670000000005
5,5,5,5,Chris MacNeil,10.450209,12.050241000000002,1.6000320000000023
6,6,6,6,Regan MacNeil,11.350227,12.050241000000002,0.7000140000000012
7,7,7,7,Willi,12.050241000000002,12.66692,0.6166789999999978
8,8,8,8,Chris MacNeil,12.050241000000002,12.66692,0.6166789999999978
9,9,9,9,Karl,12.183577,12.66692,0.4833429999999996
10,10,10,10,The Producer,12.816923,14.583625,1.7667020000000004
11,11,11,11,Burke Dennings,12.816923,14.583625,1.7667020000000004
12,12,12,12,Chris MacNeil,12.850257000000001,14.583625,1.7333679999999991
13,13,13,13,Father Damian Karras,13.233598,14.583625,1.3500269999999992
14,14,14,14,Chris MacNeil,14.583625,15.816983000000002,1.2333580000000026
15,15,15,15,Father Damian Karras,15.600312,15.816983000000002,0.2166710000000016
16,16,16,16,Sharon Spencer,15.816983000000002,17.317013000000006,1.5000300000000042
17,17,17,17,Chris MacNeil,15.866984000000002,17.317013000000006,1.4500290000000042
18,18,18,18,Regan MacNeil,16.283659,17.317013000000006,1.0333540000000063
19,19,19,19,Father Damian Karras,17.483683000000006,18.00036,0.5166769999999943
20,20,20,20,Subway Vagrant,17.817023000000006,18.00036,0.18333699999999453
21,21,21,21,Father Damian Karras,18.00036,21.750435000000003,3.7500750000000025
22,22,22,22,Karras' Mother,19.450389,21.750435000000003,2.3000460000000023
23,23,23,23,Regan MacNeil,21.750435000000003,25.533844000000002,3.783408999999999
24,24,24,24,Chris MacNeil,21.817103000000003,25.533844000000002,3.716740999999999
25,25,25,25,Father Damian Karras,25.533844000000002,26.68386700000001,1.150023000000008
26,26,26,26,Tom - President of University,25.767182000000002,26.68386700000001,0.9166850000000082
27,27,27,27,Chris MacNeil,26.733868,28.417235,1.6833670000000005
28,28,28,28,Sharon Spencer,26.733868,28.417235,1.6833670000000005
29,29,29,29,Regan MacNeil,27.11720900000001,28.417235,1.300025999999992
30,30,30,30,Chris MacNeil,28.467236000000003,30.733948,2.2667119999999983
31,31,31,31,Regan MacNeil,29.117249,30.733948,1.6166990000000006
32,32,32,32,Karl,30.533944,30.733948,0.20000399999999985
33,33,33,33,Priest,30.850617000000003,31.900638000000004,1.050021000000001
34,34,34,34,Karras' Uncle,31.900638000000004,34.50069000000001,2.6000520000000087
35,35,35,35,Father Damian Karras,31.900638000000004,34.50069000000001,2.6000520000000087
36,36,36,36,Bellevue Nurse,32.31731300000001,34.50069000000001,2.183377
37,37,37,37,Karras' Mother,33.584005000000005,34.50069000000001,0.9166850000000082
38,38,38,38,Regan MacNeil,34.617359,36.517397,1.9000380000000021
39,39,39,39,Chris MacNeil,34.617359,36.517397,1.9000380000000021
40,40,40,40,Astronaut,34.817363,36.517397,1.7000340000000025
41,41,41,41,Burke Dennings,34.817363,36.517397,1.7000340000000025
42,42,42,42,Mary Jo Perrin,34.817363,36.517397,1.7000340000000025
43,43,43,43,Sharon Spencer,34.817363,36.517397,1.7000340000000025
44,44,44,44,Father Dyer,35.100702000000005,36.517397,1.4166949999999972
45,45,45,45,Karl,35.350707,36.517397,1.166690000000003
46,46,46,46,Willi,36.417395000000006,36.517397,0.10000199999999636
47,47,47,47,Regan MacNeil,36.517397,38.55077100000001,2.033374000000009
48,48,48,48,Chris MacNeil,36.584065,38.55077100000001,1.9667060000000087
49,49,49,49,Burke Dennings,36.81740300000001,38.55077100000001,1.7333679999999991
50,50,50,50,Sharon Spencer,36.81740300000001,38.55077100000001,1.7333679999999991
51,51,51,51,Astronaut,37.48408300000001,38.55077100000001,1.0666879999999992
52,52,52,52,Mary Jo Perrin,37.48408300000001,38.55077100000001,1.0666879999999992
53,53,53,53,Father Dyer,37.48408300000001,38.55077100000001,1.0666879999999992
54,54,54,54,Senator at Party,37.50075,38.55077100000001,1.0500210000000152
55,55,55,55,Chris MacNeil,38.55077100000001,40.06746800000001,1.5166970000000006
56,56,56,56,Regan MacNeil,38.55077100000001,40.06746800000001,1.5166970000000006
57,57,57,57,Willi,39.567458,40.06746800000001,0.5000100000000103
58,58,58,58,Father Dyer,40.06746800000001,43.11752900000001,3.0500609999999995
59,59,59,59,Father Damian Karras,40.58414500000001,43.11752900000001,2.5333840000000047
60,60,60,60,Karras' Mother,41.950839,43.11752900000001,1.1666900000000098
61,61,61,61,Pazuzu's Face,42.25084500000001,43.11752900000001,0.8666839999999993
62,62,62,62,Regan MacNeil,42.484183,43.11752900000001,0.6333460000000102
63,63,63,63,Dr. Klein,42.51751700000001,43.11752900000001,0.6000119999999995
