,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Kathy,0.6500130000000001,10.116869,9.466856
1,1,1,1,School Photographer,0.7333480000000001,10.116869,9.383521
2,2,2,2,Hunter,1.5500310000000002,10.116869,8.566837999999999
3,3,3,3,Derek,1.816703,10.116869,8.300165999999999
4,4,4,4,Ryan Wenger,1.950039,10.116869,8.166830000000001
5,5,5,5,Troy,2.133376,10.116869,7.9834929999999975
6,6,6,6,Kellie,2.650053,10.116869,7.4668160000000015
7,7,7,7,Matthew Kidman,3.250065,10.116869,6.866803999999999
8,8,8,8,Dr. Salinger,3.916745,10.116869,6.200123999999999
9,9,9,9,Mr. Kidman,4.250085,10.116869,5.866783999999999
10,10,10,10,Mrs. Kidman,4.250085,10.116869,5.866783999999999
11,11,11,11,Klitz,4.650093,10.116869,5.466775999999999
12,12,12,12,Eli,4.650093,10.116869,5.466775999999999
13,13,13,13,Pep Rally Jock,5.566778,10.116869,4.550090999999999
14,14,14,14,Samnang,6.883471000000001,10.116869,3.2333979999999984
15,15,15,15,Rent-A-Cop,8.966846,10.116869,1.1500229999999991
16,16,16,16,Matthew Kidman,10.116869,20.750415,10.633546
17,17,17,17,Mr. Kidman,10.433542,20.750415,10.316873
18,18,18,18,Mrs. Kidman,10.433542,20.750415,10.316873
19,19,19,19,Mr. Peterson,10.466876,20.750415,10.283539
20,20,20,20,Mrs. Peterson,10.466876,20.750415,10.283539
21,21,21,21,Danielle,11.450229,20.750415,9.300186
22,22,22,22,Eli,12.183577,20.750415,8.566838
23,23,23,23,Eli,20.750415,29.817263000000004,9.066848000000004
24,24,24,24,Klitz,20.800416000000002,29.817263000000004,9.016847000000002
25,25,25,25,Matthew Kidman,20.800416000000002,29.817263000000004,9.016847000000002
26,26,26,26,Mr. Ruether,21.183757000000004,29.817263000000004,8.633506
27,27,27,27,Danielle,21.350427000000003,29.817263000000004,8.466836
28,28,28,28,Rent-A-Cop,21.91710500000001,29.817263000000004,7.900157999999994
29,29,29,29,Samnang,22.867124,29.817263000000004,6.950139000000004
30,30,30,30,Dr. Salinger,25.117169000000004,29.817263000000004,4.700094
31,31,31,31,Hunter,27.283879,29.817263000000004,2.5333840000000047
32,32,32,32,Derek,27.283879,29.817263000000004,2.5333840000000047
33,33,33,33,Troy,27.283879,29.817263000000004,2.5333840000000047
34,34,34,34,Matthew Kidman,29.817263000000004,38.600772000000006,8.783509000000002
35,35,35,35,Dr. Salinger,29.950599000000004,38.600772000000006,8.650173000000002
36,36,36,36,Eli,30.033934000000002,38.600772000000006,8.566838000000004
37,37,37,37,Minion,30.200604,38.600772000000006,8.400168000000008
38,38,38,38,Minion,30.200604,38.600772000000006,8.400168000000008
39,39,39,39,Minion,30.267272,38.600772000000006,8.333500000000008
40,40,40,40,Karate Guy in Porn Film,31.017287000000003,38.600772000000006,7.583485000000002
41,41,41,41,Danielle,31.300626,38.600772000000006,7.300146000000005
42,42,42,42,Mrs. Kidman,32.800656000000004,38.600772000000006,5.800116000000003
43,43,43,43,Mr. Kidman,33.267332,38.600772000000006,5.333440000000003
44,44,44,44,Matthew Kidman,38.61743900000001,44.934232,6.316792999999992
45,45,45,45,Samnang,38.717441,44.934232,6.2167910000000015
46,46,46,46,Klitz,38.83411,44.934232,6.100121999999999
47,47,47,47,Eli,38.83411,44.934232,6.100121999999999
48,48,48,48,Danielle,39.234118,44.934232,5.700113999999999
49,49,49,49,Kelly,39.750795000000004,44.934232,5.183436999999998
50,50,50,50,Cocktail Waitress,41.65083300000001,44.934232,3.2833989999999886
51,51,51,51,Mr. Peterson,43.784209000000004,44.934232,1.1500229999999974
52,52,52,52,Bob in 70's Sex-Ed Film,44.934232,50.05100100000001,5.116769000000005
53,53,53,53,Klitz,44.984233,50.05100100000001,5.066768000000003
54,54,54,54,Matthew Kidman,44.984233,50.05100100000001,5.066768000000003
55,55,55,55,Eli,44.984233,50.05100100000001,5.066768000000003
56,56,56,56,Bob's Friend in 70's Sex-Ed Film,45.617579000000006,50.05100100000001,4.433422
57,57,57,57,Kelly,45.934252,50.05100100000001,4.116749000000007
58,58,58,58,Jennie,45.934252,50.05100100000001,4.116749000000007
59,59,59,59,Jane,45.934252,50.05100100000001,4.116749000000007
60,60,60,60,Kellie,45.934252,50.05100100000001,4.116749000000007
61,61,61,61,Hunter,47.16761,50.05100100000001,2.883391000000003
62,62,62,62,Derek,47.16761,50.05100100000001,2.883391000000003
63,63,63,63,Troy,47.16761,50.05100100000001,2.883391000000003
64,64,64,64,Samnang,47.95095900000001,50.05100100000001,2.1000419999999957
65,65,65,65,Jeannie,48.18429700000001,50.05100100000001,1.8667039999999984
66,66,66,66,Danielle,49.300986,50.05100100000001,0.7500150000000048
67,67,67,67,Eli,50.05100100000001,59.351187,9.300185999999997
68,68,68,68,Matthew Kidman,50.05100100000001,59.351187,9.300185999999997
69,69,69,69,Klitz,50.05100100000001,59.351187,9.300185999999997
70,70,70,70,Steel,51.76770200000001,59.351187,7.583484999999996
71,71,71,71,Fan at Convention,52.084375,59.351187,7.266812000000002
72,72,72,72,Danielle,52.084375,59.351187,7.266812000000002
73,73,73,73,Ferrari,52.084375,59.351187,7.266812000000002
74,74,74,74,April,52.084375,59.351187,7.266812000000002
75,75,75,75,Hugo Posh,53.35106700000001,59.351187,6.000119999999996
76,76,76,76,Chloe,56.33446000000001,59.351187,3.016726999999996
77,77,77,77,Mule,56.58446500000001,59.351187,2.7667219999999944
78,78,78,78,Matthew Kidman,59.417855,68.08469500000001,8.666840000000008
79,79,79,79,Danielle,59.63452600000001,68.08469500000001,8.450169000000002
