,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Mother Squirrel,0.16667,0.9333520000000001,0.7666820000000001
1,1,1,1,Mother Squirrel,0.9500190000000001,2.150043,1.200024
2,2,2,2,Second Little Squirrel,1.0166870000000001,2.150043,1.133356
3,3,3,3,First Little Squirrel,1.0166870000000001,2.150043,1.133356
4,4,4,4,Mouse,2.216711,4.0834150000000005,1.8667040000000004
5,5,5,5,Fox,4.150083,7.3001460000000025,3.1500630000000016
6,6,6,6,Mouse,4.66676,7.3001460000000025,2.6333860000000024
7,7,7,7,Mother Squirrel,4.916765000000002,7.3001460000000025,2.383381000000001
8,8,8,8,nt0356865,5.350107,7.3001460000000025,1.950039000000002
9,9,9,9,First Little Squirrel,7.3001460000000025,10.766882,3.4667359999999983
10,10,10,10,Second Little Squirrel,7.3001460000000025,10.766882,3.4667359999999983
11,11,11,11,Mother Squirrel,7.3501470000000015,10.766882,3.4167349999999987
12,12,12,12,nt0033788,7.3501470000000015,10.766882,3.4167349999999987
13,13,13,13,Mouse,7.3668140000000015,10.766882,3.4000679999999988
14,14,14,14,Owl,7.866824000000001,10.766882,2.900058
15,15,15,15,First Little Squirrel,10.766882,11.766902000000002,1.000020000000001
16,16,16,16,Second Little Squirrel,10.766882,11.766902000000002,1.000020000000001
17,17,17,17,Mother Squirrel,10.783549,11.766902000000002,0.983353000000001
18,18,18,18,Mouse,10.800216,11.766902000000002,0.966686000000001
19,19,19,19,Snake,11.683567000000002,11.766902000000002,0.08333499999999994
20,20,20,20,Mouse,11.766902000000002,13.533604,1.7667019999999989
21,21,21,21,Mother Squirrel,11.783569000000002,13.533604,1.7500349999999991
22,22,22,22,Snake,12.133576,13.533604,1.4000280000000007
23,23,23,23,First Little Squirrel,13.533604,14.100282000000002,0.5666780000000013
24,24,24,24,Second Little Squirrel,13.533604,14.100282000000002,0.5666780000000013
25,25,25,25,Mother Squirrel,13.600272,14.100282000000002,0.5000100000000014
26,26,26,26,Mouse,13.650273000000002,14.100282000000002,0.4500089999999997
27,27,27,27,Owl,14.166950000000002,15.183637,1.0166869999999977
28,28,28,28,Snake,14.166950000000002,15.183637,1.0166869999999977
29,29,29,29,Fox,14.166950000000002,15.183637,1.0166869999999977
30,30,30,30,Mouse,14.566957999999998,15.183637,0.6166790000000013
31,31,31,31,Mouse,15.183637,16.616999,1.4333620000000007
32,32,32,32,Gruffalo,15.883651000000002,16.616999,0.7333479999999977
33,33,33,33,Mouse,16.650333,18.900378000000003,2.250045000000004
34,34,34,34,Gruffalo,16.667,18.900378000000003,2.2333780000000023
35,35,35,35,Second Little Squirrel,18.550371,18.900378000000003,0.35000700000000506
36,36,36,36,First Little Squirrel,18.550371,18.900378000000003,0.35000700000000506
37,37,37,37,Gruffalo,18.917045,20.083735,1.1666899999999991
38,38,38,38,Mouse,18.917045,20.083735,1.1666899999999991
39,39,39,39,Mother Squirrel,19.000380000000003,20.083735,1.0833549999999974
40,40,40,40,Snake,19.150383,20.083735,0.9333519999999992
41,41,41,41,Gruffalo,20.100402000000006,21.417095000000003,1.3166929999999972
42,42,42,42,Mouse,20.150403,21.417095000000003,1.2666920000000026
43,43,43,43,Mother Squirrel,20.167070000000002,21.417095000000003,1.2500250000000008
44,44,44,44,Owl,20.300406,21.417095000000003,1.1166890000000045
45,45,45,45,Mouse,21.417095000000003,22.633786,1.2166909999999973
46,46,46,46,Gruffalo,21.417095000000003,22.633786,1.2166909999999973
47,47,47,47,Mother Squirrel,21.733768,22.633786,0.9000179999999993
48,48,48,48,Fox,21.95043900000001,22.633786,0.6833469999999906
49,49,49,49,Gruffalo,22.650453,25.317173000000004,2.6667200000000046
50,50,50,50,Mouse,22.650453,25.317173000000004,2.6667200000000046
51,51,51,51,nt0065801,22.700454,25.317173000000004,2.616719000000004
52,52,52,52,Fox,22.850457000000002,25.317173000000004,2.4667160000000017
53,53,53,53,Owl,22.883791,25.317173000000004,2.4333820000000053
54,54,54,54,Snake,22.900458,25.317173000000004,2.4167150000000035
55,55,55,55,First Little Squirrel,25.317173000000004,25.883851000000003,0.5666779999999996
56,56,56,56,Second Little Squirrel,25.317173000000004,25.883851000000003,0.5666779999999996
57,57,57,57,Mother Squirrel,25.350507000000004,25.883851000000003,0.5333439999999996
