,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Doug,0.8000160000000001,2.266712,1.466696
1,1,1,1,Stu,0.983353,2.266712,1.283359
2,2,2,2,Linda Garner,1.150023,2.266712,1.116689
3,3,3,3,Sid,1.1833570000000002,2.266712,1.0833549999999998
4,4,4,4,Tracy,1.1833570000000002,2.266712,1.0833549999999998
5,5,5,5,nt0019468,1.1833570000000002,2.266712,1.0833549999999998
6,6,6,6,Phil,1.1833570000000002,2.266712,1.0833549999999998
7,7,7,7,Bridesmaid,1.1833570000000002,2.266712,1.0833549999999998
8,8,8,8,Bridesmaid,1.1833570000000002,2.266712,1.0833549999999998
9,9,9,9,Bridesmaid,1.1833570000000002,2.266712,1.0833549999999998
10,10,10,10,Black Doug,1.633366,2.266712,0.633346
11,11,11,11,Alan,1.633366,2.266712,0.633346
12,12,12,12,Sid,3.700074,5.400108,1.7000340000000005
13,13,13,13,Tracy,3.700074,5.400108,1.7000340000000005
14,14,14,14,Linda Garner,3.700074,5.400108,1.7000340000000005
15,15,15,15,Alan,3.700074,5.400108,1.7000340000000005
16,16,16,16,Tailor,3.7334080000000003,5.400108,1.6667
17,17,17,17,Doug,3.783409,5.400108,1.6166990000000006
18,18,18,18,Doug,5.400108,6.1501230000000024,0.7500150000000021
19,19,19,19,Sid,5.4501089999999985,6.1501230000000024,0.7000140000000039
20,20,20,20,nt0325913,5.4501089999999985,6.1501230000000024,0.7000140000000039
21,21,21,21,Alan,5.4501089999999985,6.1501230000000024,0.7000140000000039
22,22,22,22,Phil,6.1667900000000015,7.4834830000000006,1.316692999999999
23,23,23,23,Doug,6.7334679999999985,7.4834830000000006,0.7500150000000021
24,24,24,24,Alan,6.7334679999999985,7.4834830000000006,0.7500150000000021
25,25,25,25,Parent Driving Jaguar,6.766802,7.4834830000000006,0.7166810000000003
26,26,26,26,Budnick,7.100142000000001,7.4834830000000006,0.3833409999999997
27,27,27,27,Melissa,7.50015,9.250185,1.7500350000000005
28,28,28,28,nt0140696,7.50015,9.250185,1.7500350000000005
29,29,29,29,Stu,7.533484,9.250185,1.7167010000000005
30,30,30,30,Doug,8.783509,9.250185,0.4666759999999997
31,31,31,31,Phil,8.783509,9.250185,0.4666759999999997
32,32,32,32,Alan,8.783509,9.250185,0.4666759999999997
33,33,33,33,Doug,9.283519,11.033554,1.7500350000000005
34,34,34,34,Phil,9.283519,11.033554,1.7500350000000005
35,35,35,35,Alan,9.283519,11.033554,1.7500350000000005
36,36,36,36,Stu,9.283519,11.033554,1.7500350000000005
37,37,37,37,Old Timer at Gas Station,11.033554,12.633586,1.6000319999999988
38,38,38,38,Alan,11.033554,12.633586,1.6000319999999988
39,39,39,39,Doug,11.450229,12.633586,1.1833569999999989
40,40,40,40,Phil,11.450229,12.633586,1.1833569999999989
41,41,41,41,Mini-Mart Cashier,11.50023,12.633586,1.1333559999999991
42,42,42,42,Stu,11.783569000000002,12.633586,0.8500169999999976
43,43,43,43,Doug,12.766922000000001,13.766942000000002,1.000020000000001
44,44,44,44,Phil,12.766922000000001,13.766942000000002,1.000020000000001
45,45,45,45,Alan,12.766922000000001,13.766942000000002,1.000020000000001
46,46,46,46,Stu,12.766922000000001,13.766942000000002,1.000020000000001
47,47,47,47,Stu,13.766942000000002,16.700333999999998,2.933391999999996
