,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Leon Rom,1.8333700000000002,7.8001559999999985,5.966785999999997
1,1,1,1,Captain Moulle,2.5000500000000003,7.8001559999999985,5.300105999999999
2,2,2,2,Chief Mbonga,4.566758,7.8001559999999985,3.2333979999999984
3,3,3,3,John Clayton,8.133496000000001,10.900218,2.766722
4,4,4,4,Prime Minister,8.200164000000001,10.900218,2.700054
5,5,5,5,George Washington Williams,8.600172,10.900218,2.300046
6,6,6,6,George Washington Williams,10.916885,12.883591000000001,1.9667060000000005
7,7,7,7,John Clayton,10.916885,12.883591000000001,1.9667060000000005
8,8,8,8,John Clayton,13.00026,15.200304000000001,2.200044
9,9,9,9,Tarzan's Father,13.216931,15.200304000000001,1.9833730000000005
10,10,10,10,Tarzan's Mother,13.3336,15.200304000000001,1.8667040000000004
11,11,11,11,Kerchak,13.850277000000002,15.200304000000001,1.3500269999999992
12,12,12,12,John Clayton,15.200304000000001,18.433702,3.233398
13,13,13,13,Jane Clayton,15.216971,18.433702,3.216731000000001
14,14,14,14,Child in Greystoke Manor,15.316973,18.433702,3.1167289999999994
15,15,15,15,Child in Greystoke Manor,15.316973,18.433702,3.1167289999999994
16,16,16,16,Child in Greystoke Manor,15.316973,18.433702,3.1167289999999994
17,17,17,17,Child in Greystoke Manor,15.316973,18.433702,3.1167289999999994
18,18,18,18,Young Tarzan (5 Years),18.450369,22.300446,3.8500770000000015
19,19,19,19,John Clayton,18.600372,22.300446,3.7000740000000008
20,20,20,20,Tarzan's Father,21.717101000000003,22.300446,0.5833449999999978
21,21,21,21,John Clayton,22.300446,23.567138000000003,1.2666920000000026
22,22,22,22,Jane Clayton,22.433782,23.567138000000003,1.1333560000000027
23,23,23,23,Jane Clayton,23.567138000000003,25.200504000000002,1.6333659999999988
24,24,24,24,John Clayton,23.567138000000003,25.200504000000002,1.6333659999999988
25,25,25,25,George Washington Williams,23.567138000000003,25.200504000000002,1.6333659999999988
26,26,26,26,Leon Rom,25.517177000000004,28.400568000000003,2.883391
27,27,27,27,Major Kerckhover,25.517177000000004,28.400568000000003,2.883391
28,28,28,28,Steward,25.683847000000004,28.400568000000003,2.7167209999999997
29,29,29,29,Mr. Frum,26.217191000000003,28.400568000000003,2.183377
30,30,30,30,John Clayton,28.400568000000003,30.750615000000003,2.350047
31,31,31,31,Muviro,28.717241,30.750615000000003,2.033374000000002
32,32,32,32,Jane Clayton,29.250585,30.750615000000003,1.5000300000000024
33,33,33,33,George Washington Williams,29.46725600000001,30.750615000000003,1.2833589999999937
34,34,34,34,Wasimbu,29.83393,30.750615000000003,0.9166850000000046
35,35,35,35,John Clayton,30.917285000000003,33.66734,2.750055
36,36,36,36,Muviro,30.917285000000003,33.66734,2.750055
37,37,37,37,Wasimbu,30.917285000000003,33.66734,2.750055
38,38,38,38,Jane Clayton,30.983953000000003,33.66734,2.6833869999999997
39,39,39,39,George Washington Williams,31.31729300000001,33.66734,2.3500469999999933
40,40,40,40,Kala,32.233978,33.66734,1.4333620000000025
41,41,41,41,Young Tarzan (18 Years),32.25064500000001,33.66734,1.4166949999999898
42,42,42,42,Akut,32.783989000000005,33.66734,0.8833509999999976
43,43,43,43,Jane Clayton,33.66734,37.367414000000004,3.7000740000000008
44,44,44,44,Young Tarzan (18 Years),34.850697000000004,37.367414000000004,2.516717
45,45,45,45,Tarzan,36.650733,37.367414000000004,0.7166810000000012
46,46,46,46,Major Kerckhover,37.55075100000001,42.90085800000001,5.350106999999994
47,47,47,47,Leon Rom,37.567418,42.90085800000001,5.333440000000003
48,48,48,48,Muviro,37.917425,42.90085800000001,4.983433000000005
49,49,49,49,Tarzan,38.450769,42.90085800000001,4.4500890000000055
50,50,50,50,Jane Clayton,39.884131,42.90085800000001,3.0167270000000097
51,51,51,51,George Washington Williams,40.567478,42.90085800000001,2.3333800000000053
52,52,52,52,Wasimbu,41.684167,42.90085800000001,1.2166910000000044
53,53,53,53,Muviro,43.03419400000001,44.917565,1.8833709999999968
54,54,54,54,John Clayton,43.11752900000001,44.917565,1.8000359999999915
55,55,55,55,Kwete,43.11752900000001,44.917565,1.8000359999999915
56,56,56,56,George Washington Williams,43.350867,44.917565,1.5666980000000024
57,57,57,57,Jane Clayton,45.250905,47.21761100000001,1.9667060000000087
58,58,58,58,Leon Rom,45.36757400000001,47.21761100000001,1.8500370000000004
59,59,59,59,Wasimbu,46.68426700000001,47.21761100000001,0.5333439999999996
60,60,60,60,John Clayton,47.35094700000001,50.63434600000001,3.2833989999999957
61,61,61,61,Kwete,47.35094700000001,50.63434600000001,3.2833989999999957
62,62,62,62,George Washington Williams,47.48428300000001,50.63434600000001,3.150062999999996
63,63,63,63,Jug Eared Soldier,50.651013000000006,54.01774700000001,3.366734000000001
64,64,64,64,George Washington Williams,50.66768,54.01774700000001,3.350067000000009
65,65,65,65,John Clayton,50.66768,54.01774700000001,3.350067000000009
66,66,66,66,Kwete,50.66768,54.01774700000001,3.350067000000009
67,67,67,67,French Engineer,52.00104,54.01774700000001,2.016707000000004
68,68,68,68,Jane Clayton,54.01774700000001,55.651113,1.6333659999999952
69,69,69,69,Tarzan,54.33442,55.651113,1.3166930000000008
70,70,70,70,Akut,54.33442,55.651113,1.3166930000000008
71,71,71,71,Jane Clayton,55.66778000000001,61.21789100000001,5.550111000000001
72,72,72,72,Wasimbu,55.967786,61.21789100000001,5.250105000000012
73,73,73,73,Major Kerckhover,55.984453,61.21789100000001,5.233438000000007
74,74,74,74,Leon Rom,56.58446500000001,61.21789100000001,4.633426
75,75,75,75,John Clayton,61.38456100000001,64.217951,2.8333899999999868
76,76,76,76,Kwete,61.45122900000001,64.217951,2.7667219999999872
77,77,77,77,George Washington Williams,61.56789800000001,64.217951,2.6500529999999927
78,78,78,78,John Clayton,64.40128800000001,68.151363,3.7500749999999954
79,79,79,79,George Washington Williams,64.43462199999999,68.151363,3.716741000000013
80,80,80,80,Akut,64.601292,68.151363,3.5500710000000018
81,81,81,81,George Washington Williams,68.184697,71.984773,3.8000760000000042
82,82,82,82,John Clayton,68.20136400000001,71.984773,3.783408999999992
83,83,83,83,Leon Rom,72.101442,76.31819300000002,4.216751000000016
84,84,84,84,Major Kerckhover,72.101442,76.31819300000002,4.216751000000016
85,85,85,85,Jane Clayton,72.268112,76.31819300000002,4.05008100000002
86,86,86,86,Wasimbu,72.35144700000002,76.31819300000002,3.966746000000001
87,87,87,87,George Washington Williams,76.36819399999997,78.81824300000002,2.4500490000000497
88,88,88,88,John Clayton,76.36819399999997,78.81824300000002,2.4500490000000497
89,89,89,89,Jane Clayton,76.618199,78.81824300000002,2.20004400000002
90,90,90,90,Leon Rom,77.10154200000002,78.81824300000002,1.7167010000000005
91,91,91,91,Akut,77.184877,78.81824300000002,1.6333660000000236
92,92,92,92,Leon Rom,78.851577,81.534964,2.683386999999996
93,93,93,93,Jane Clayton,78.851577,81.534964,2.683386999999996
94,94,94,94,Major Kerckhover,78.86824399999998,81.534964,2.6667200000000264
95,95,95,95,George Washington Williams,79.20158400000003,81.534964,2.333379999999977
96,96,96,96,Tarzan,79.651593,81.534964,1.8833709999999968
97,97,97,97,Kulonga,79.73492800000002,81.534964,1.8000359999999769
98,98,98,98,Kala,79.784929,81.534964,1.750034999999997
99,99,99,99,Chief Mbonga,81.00161999999997,81.534964,0.5333440000000279
100,100,100,100,John Clayton,81.534964,86.401728,4.866764000000003
101,101,101,101,Chief Mbonga,81.65163299999998,86.401728,4.75009500000003
102,102,102,102,Leon Rom,81.71830100000003,86.401728,4.6834269999999805
103,103,103,103,Jane Clayton,81.71830100000003,86.401728,4.6834269999999805
104,104,104,104,George Washington Williams,82.68498699999998,86.401728,3.7167410000000274
105,105,105,105,Akut,85.05170100000002,86.401728,1.350026999999983
106,106,106,106,Jane Clayton,86.551731,87.06840799999998,0.516676999999973
107,107,107,107,Leon Rom,86.58506500000001,87.06840799999998,0.4833429999999623
108,108,108,108,Major Kerckhover,86.918405,87.06840799999998,0.1500029999999697
109,109,109,109,George Washington Williams,87.55175100000002,96.418595,8.866843999999972
110,110,110,110,John Clayton,87.56841800000002,96.418595,8.850176999999976
111,111,111,111,Leon Rom,87.751755,96.418595,8.666839999999992
112,112,112,112,Major Kerckhover,87.90175800000002,96.418595,8.516836999999981
113,113,113,113,Mr. Frum,87.96842600000002,96.418595,8.450168999999974
114,114,114,114,Jane Clayton,89.00178000000002,96.418595,7.416814999999971
115,115,115,115,Kwete,89.78512900000004,96.418595,6.633465999999956
116,116,116,116,Mr. Frum,97.00194,98.83531,1.8333700000000024
117,117,117,117,Jane Clayton,97.268612,98.83531,1.5666980000000024
118,118,118,118,John Clayton,97.718621,98.83531,1.116689000000008
119,119,119,119,George Washington Williams,97.968626,98.83531,0.8666840000000064
120,120,120,120,George Washington Williams,98.851977,99.81866300000002,0.96668600000001
121,121,121,121,Prime Minister,99.00198,99.81866300000002,0.8166830000000118
122,122,122,122,Kwete,99.81866300000002,102.085375,2.266711999999984
123,123,123,123,John Clayton,99.81866300000002,102.085375,2.266711999999984
124,124,124,124,Jane Clayton,100.635346,102.085375,1.450029000000001
