,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Vitruvius,0.6333460000000001,2.300046,1.6667
1,1,1,1,Lord Business - (voice),0.7666820000000001,2.300046,1.533364
2,2,2,2,Robot Foreman,0.9166850000000001,2.300046,1.3833609999999998
3,3,3,3,Emmet Brickowoski,2.4167150000000004,9.716861000000002,7.300146000000002
4,4,4,4,President Business - (voice),3.933412000000001,9.716861000000002,5.783449000000001
5,5,5,5,Surfer Dave,4.550091,9.716861000000002,5.166770000000001
6,6,6,6,Joe,4.566758,9.716861000000002,5.150103000000001
7,7,7,7,Larry The Barrista,5.383441,9.716861000000002,4.333420000000001
8,8,8,8,Foreman Jim,5.66678,9.716861000000002,4.050081000000001
9,9,9,9,Gail,6.1001220000000025,9.716861000000002,3.616738999999999
10,10,10,10,Barry,6.1501230000000024,9.716861000000002,3.566737999999998
11,11,11,11,Wyldstyle,7.200144000000001,9.716861000000002,2.5167170000000008
12,12,12,12,Vitruvius,9.383521,9.716861000000002,0.3333400000000015
13,13,13,13,Emmet Brickowoski,9.716861000000002,18.150363,8.433501999999997
14,14,14,14,Bad Cop,9.733528000000002,18.150363,8.416834999999997
15,15,15,15,Good Cop,10.483543,18.150363,7.666819999999999
16,16,16,16,Barry,11.783569000000002,18.150363,6.366793999999998
17,17,17,17,Gail,11.783569000000002,18.150363,6.366793999999998
18,18,18,18,Surfer Dave,12.416915,18.150363,5.733447999999999
19,19,19,19,Wyldstyle,13.583605,18.150363,4.566757999999998
20,20,20,20,Emmet Brickowoski,18.150363,26.88387100000001,8.733508000000011
21,21,21,21,Wyldstyle,18.150363,26.88387100000001,8.733508000000011
22,22,22,22,President Business - (voice),20.66708,26.88387100000001,6.216791000000013
23,23,23,23,Bad Cop,20.867084,26.88387100000001,6.016787000000013
24,24,24,24,The Man Upstairs,21.583765000000003,26.88387100000001,5.300106000000007
25,25,25,25,Robot Foreman,21.583765000000003,26.88387100000001,5.300106000000007
26,26,26,26,Lord Business' Assistant,22.21711100000001,26.88387100000001,4.66676
27,27,27,27,Good Cop,22.767122,26.88387100000001,4.116749000000009
28,28,28,28,Pa Cop,24.60049200000001,26.88387100000001,2.283379
29,29,29,29,Ma Cop,24.60049200000001,26.88387100000001,2.283379
30,30,30,30,Octan Robot,25.267172,26.88387100000001,1.6166990000000112
31,31,31,31,Wyldstyle,27.100542,37.450749,10.350207000000001
32,32,32,32,Emmet Brickowoski,27.100542,37.450749,10.350207000000001
33,33,33,33,Vitruvius,27.800556000000004,37.450749,9.650192999999998
34,34,34,34,Bad Cop,31.983973,37.450749,5.466776000000002
35,35,35,35,Batman,36.634066,37.450749,0.8166830000000047
36,36,36,36,Emmet Brickowoski,37.450749,48.71764100000001,11.266892000000004
37,37,37,37,Wyldstyle,37.450749,48.71764100000001,11.266892000000004
38,38,38,38,Batman,37.450749,48.71764100000001,11.266892000000004
39,39,39,39,Vitruvius,37.450749,48.71764100000001,11.266892000000004
40,40,40,40,Unikitty,39.034114,48.71764100000001,9.683527000000003
41,41,41,41,Superman,39.91746500000001,48.71764100000001,8.800175999999997
42,42,42,42,Abraham Lincoln,39.93413200000001,48.71764100000001,8.783508999999995
43,43,43,43,Green Lantern,39.98413300000001,48.71764100000001,8.733508
44,44,44,44,Gandalf,40.217471,48.71764100000001,8.500170000000004
45,45,45,45,Benny,40.234138,48.71764100000001,8.483503000000006
46,46,46,46,Shaq,40.284139,48.71764100000001,8.433502000000004
47,47,47,47,Wonder Woman,40.300806,48.71764100000001,8.416835000000006
48,48,48,48,Shakespeare,41.200824,48.71764100000001,7.5168170000000085
49,49,49,49,Metal Beard,41.800836,48.71764100000001,6.916805000000013
50,50,50,50,Lord Business' Assistant,42.600852,48.71764100000001,6.1167890000000025
51,51,51,51,Bad Cop,45.08423500000001,48.71764100000001,3.633406000000001
52,52,52,52,Emmet Brickowoski,48.817643,57.78448900000001,8.966846000000013
53,53,53,53,Unikitty,48.85097700000001,57.78448900000001,8.933512
54,54,54,54,Vitruvius,49.100982,57.78448900000001,8.683507000000006
55,55,55,55,Batman,49.100982,57.78448900000001,8.683507000000006
56,56,56,56,Wyldstyle,49.100982,57.78448900000001,8.683507000000006
57,57,57,57,Benny,49.100982,57.78448900000001,8.683507000000006
58,58,58,58,Bad Cop,50.50101000000001,57.78448900000001,7.283478999999999
59,59,59,59,Octan Robot,50.56767800000001,57.78448900000001,7.216811
60,60,60,60,Wonder Woman,50.91768500000001,57.78448900000001,6.866803999999995
61,61,61,61,Superman,50.91768500000001,57.78448900000001,6.866803999999995
62,62,62,62,Gandalf,50.91768500000001,57.78448900000001,6.866803999999995
63,63,63,63,Lord Business - (voice),50.934352000000004,57.78448900000001,6.850137000000004
64,64,64,64,Shakespeare,50.934352000000004,57.78448900000001,6.850137000000004
