,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Pharaoh Seti I,1.383361,1.5333640000000002,0.1500030000000001
1,1,1,1,Ardeth Bay,1.433362,1.5333640000000002,0.10000200000000016
2,2,2,2,High Priest Imhotep,1.5333640000000002,2.4333820000000004,0.9000180000000002
3,3,3,3,Ardeth Bay,1.583365,2.4333820000000004,0.8500170000000005
4,4,4,4,Anck Su Namun,1.700034,2.4333820000000004,0.7333480000000003
5,5,5,5,High Priest,1.9000380000000001,2.4333820000000004,0.5333440000000003
6,6,6,6,Pharaoh Seti I,2.5000500000000003,4.0334140000000005,1.5333640000000002
7,7,7,7,Anck Su Namun,2.816723,4.0334140000000005,1.2166910000000004
8,8,8,8,High Priest Imhotep,3.0667280000000003,4.0334140000000005,0.9666860000000002
9,9,9,9,High Priest Imhotep,4.0334140000000005,7.133476000000001,3.1000620000000003
10,10,10,10,Ardeth Bay,4.0834150000000005,7.133476000000001,3.0500610000000004
11,11,11,11,Anck Su Namun,4.600092,7.133476000000001,2.5333840000000007
12,12,12,12,Ardeth Bay,7.650152999999999,10.616879,2.9667260000000018
13,13,13,13,Beni Gabor,8.350166999999999,10.616879,2.2667120000000023
14,14,14,14,Richard 'Rick' O'Connell,8.366833999999999,10.616879,2.2500450000000023
15,15,15,15,Richard 'Rick' O'Connell,10.633546,12.616919000000001,1.9833730000000005
16,16,16,16,High Priest Imhotep,11.466896,12.616919000000001,1.1500230000000011
17,17,17,17,Ardeth Bay,12.100242,12.616919000000001,0.5166770000000014
18,18,18,18,Evelyn 'Evy' Carnahan,12.883591000000001,15.450309,2.566718
19,19,19,19,Dr. Terrence Bey,14.150283000000002,15.450309,1.300025999999999
20,20,20,20,Evelyn 'Evy' Carnahan,15.450309,17.850357000000006,2.4000480000000053
21,21,21,21,Jonathan 'Jon' Carnahan,16.450329,17.850357000000006,1.400028000000006
22,22,22,22,Evelyn 'Evy' Carnahan,17.867024,19.433722000000003,1.5666980000000024
23,23,23,23,Dr. Terrence Bey,17.900357999999994,19.433722000000003,1.5333640000000095
24,24,24,24,Jonathan 'Jon' Carnahan,17.983693000000006,19.433722000000003,1.4500289999999971
25,25,25,25,Warden Gad Hassan,19.433722000000003,21.88377100000001,2.450049000000007
26,26,26,26,Jonathan 'Jon' Carnahan,19.467056000000003,21.88377100000001,2.416715000000007
27,27,27,27,Evelyn 'Evy' Carnahan,19.467056000000003,21.88377100000001,2.416715000000007
28,28,28,28,Richard 'Rick' O'Connell,19.950399,21.88377100000001,1.9333720000000088
29,29,29,29,Richard 'Rick' O'Connell,21.900438,23.617139,1.7167010000000005
30,30,30,30,Hangman,21.900438,23.617139,1.7167010000000005
31,31,31,31,Evelyn 'Evy' Carnahan,21.933772,23.617139,1.6833670000000005
32,32,32,32,Warden Gad Hassan,21.933772,23.617139,1.6833670000000005
33,33,33,33,Jonathan 'Jon' Carnahan,23.700474000000003,25.117169000000004,1.4166950000000007
34,34,34,34,Evelyn 'Evy' Carnahan,23.700474000000003,25.117169000000004,1.4166950000000007
35,35,35,35,Richard 'Rick' O'Connell,23.933812000000003,25.117169000000004,1.1833570000000009
36,36,36,36,Warden Gad Hassan,24.917165,25.117169000000004,0.2000040000000034
37,37,37,37,Hook,25.183837000000004,26.200524,1.0166869999999977
38,38,38,38,Jonathan 'Jon' Carnahan,25.417175000000004,26.200524,0.7833489999999976
39,39,39,39,Mr. Daniels,25.417175000000004,26.200524,0.7833489999999976
40,40,40,40,Mr. Burns,25.417175000000004,26.200524,0.7833489999999976
41,41,41,41,Mr. Henderson,25.450509000000004,26.200524,0.7500149999999977
42,42,42,42,Richard 'Rick' O'Connell,25.483843000000004,26.200524,0.7166809999999977
43,43,43,43,Dr. Allen Chamberlain,25.933852,26.200524,0.2666719999999998
44,44,44,44,Hook,26.217191000000003,29.350587000000004,3.133396000000001
45,45,45,45,Evelyn 'Evy' Carnahan,26.267192,29.350587000000004,3.083395000000003
