,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,James Sandin,2.716721,4.300086,1.583365
1,1,1,1,Mr. Cali,3.7167410000000003,4.300086,0.583345
2,2,2,2,James Sandin,4.533424,7.4168150000000015,2.8833910000000014
3,3,3,3,Mary Sandin,4.566758,7.4168150000000015,2.8500570000000014
4,4,4,4,Dr. Peter Buynak,5.4501089999999985,7.4168150000000015,1.9667060000000032
5,5,5,5,Henry,5.883451000000001,7.4168150000000015,1.5333640000000006
6,6,6,6,Zoey Sandin,5.883451000000001,7.4168150000000015,1.5333640000000006
7,7,7,7,Mary Sandin,7.4168150000000015,11.400228,3.9834129999999988
8,8,8,8,Mrs. Grace Ferrin,7.516817,11.400228,3.8834110000000006
9,9,9,9,Mr. Halverson,7.650152999999999,11.400228,3.7500750000000016
10,10,10,10,Mrs. Halverson,7.666819999999999,11.400228,3.7334080000000016
11,11,11,11,Charlie Sandin,9.733528000000002,11.400228,1.6666999999999987
12,12,12,12,James Sandin,11.466896,13.816943000000002,2.3500470000000018
13,13,13,13,Mary Sandin,11.466896,13.816943000000002,2.3500470000000018
14,14,14,14,Charlie Sandin,11.466896,13.816943000000002,2.3500470000000018
15,15,15,15,Zoey Sandin,11.466896,13.816943000000002,2.3500470000000018
16,16,16,16,James Sandin,13.816943000000002,18.400368,4.583424999999998
17,17,17,17,Mary Sandin,13.966946000000002,18.400368,4.433421999999998
18,18,18,18,Charlie Sandin,13.983613000000002,18.400368,4.416754999999998
19,19,19,19,Zoey Sandin,14.116949000000002,18.400368,4.2834189999999985
20,20,20,20,Zoey Sandin,18.417035000000002,22.66712,4.250084999999999
21,21,21,21,Henry,18.900378000000003,22.66712,3.766741999999997
22,22,22,22,James Sandin,19.417055,22.66712,3.250065
23,23,23,23,Newscaster,19.417055,22.66712,3.250065
24,24,24,24,Mary Sandin,20.000400000000006,22.66712,2.6667199999999944
25,25,25,25,Charlie Sandin,21.850437000000003,22.66712,0.8166829999999976
26,26,26,26,Mary Sandin,22.683787,27.01720700000001,4.333420000000011
27,27,27,27,James Sandin,22.717121,27.01720700000001,4.300086000000011
28,28,28,28,Charlie Sandin,23.333800000000004,27.01720700000001,3.683407000000007
29,29,29,29,Bloody Stranger,23.900478000000003,27.01720700000001,3.1167290000000065
30,30,30,30,Henry,23.983813,27.01720700000001,3.0333940000000084
31,31,31,31,Zoey Sandin,24.000480000000003,27.01720700000001,3.0167270000000066
32,32,32,32,Henry,27.01720700000001,31.567298000000005,4.550090999999996
33,33,33,33,James Sandin,27.067208,31.567298000000005,4.500090000000005
34,34,34,34,Charlie Sandin,27.067208,31.567298000000005,4.500090000000005
35,35,35,35,Mary Sandin,27.08387500000001,31.567298000000005,4.483422999999995
36,36,36,36,Zoey Sandin,27.200544,31.567298000000005,4.366754000000004
37,37,37,37,Female Freak,31.600632000000004,37.584085,5.983452999999997
38,38,38,38,Polite Leader,31.61729900000001,37.584085,5.966785999999992
39,39,39,39,James Sandin,31.75063500000001,37.584085,5.833449999999992
40,40,40,40,Mary Sandin,32.417315,37.584085,5.16677
41,41,41,41,Charlie Sandin,32.633986,37.584085,4.950099000000002
42,42,42,42,James Sandin,37.784089,44.63422600000001,6.8501370000000135
43,43,43,43,Mary Sandin,38.300766,44.63422600000001,6.3334600000000085
44,44,44,44,Female Freak,38.48410300000001,44.63422600000001,6.1501230000000024
45,45,45,45,Polite Leader,38.684107,44.63422600000001,5.950119000000013
46,46,46,46,Charlie Sandin,38.734108000000006,44.63422600000001,5.900118000000006
47,47,47,47,Bloody Stranger,39.650793,44.63422600000001,4.983433000000012
48,48,48,48,James Sandin,44.650893,46.80093600000001,2.150043000000004
49,49,49,49,Polite Leader,44.76756200000001,46.80093600000001,2.033373999999996
50,50,50,50,Freak Interrupting,45.650913,46.80093600000001,1.1500230000000045
51,51,51,51,Charlie Sandin,46.917605,50.56767800000001,3.650073000000007
52,52,52,52,Female Freak,47.01760700000001,50.56767800000001,3.5500709999999955
53,53,53,53,Polite Leader,47.034274,50.56767800000001,3.5334040000000044
54,54,54,54,Zoey Sandin,47.33428000000001,50.56767800000001,3.233398000000001
55,55,55,55,James Sandin,47.900958,50.56767800000001,2.6667200000000046
56,56,56,56,Bloody Stranger,48.25096500000001,50.56767800000001,2.316713
57,57,57,57,Mary Sandin,49.16765,50.56767800000001,1.400028000000006
58,58,58,58,Bloody Stranger,50.56767800000001,56.051121,5.483442999999994
59,59,59,59,James Sandin,50.584345000000006,56.051121,5.466775999999998
60,60,60,60,Mary Sandin,50.651013000000006,56.051121,5.400107999999998
