,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Matthews,1.150023,3.5834050000000004,2.4333820000000004
1,1,1,1,Isaac,1.5166970000000002,3.5834050000000004,2.066708
2,2,2,2,Matthews,3.916745,10.416875,6.500129999999999
3,3,3,3,Isaac,4.0334140000000005,10.416875,6.383460999999999
4,4,4,4,nt1422610,8.583505,10.416875,1.8333699999999984
5,5,5,5,Isaac,10.416875,16.233658000000002,5.816783000000003
6,6,6,6,Matthews,10.816883,16.233658000000002,5.416775000000001
7,7,7,7,Isaac,16.233658000000002,23.450469000000002,7.216811
8,8,8,8,Matthews,21.067088000000002,23.450469000000002,2.383381
9,9,9,9,nt0056084,22.900458,23.450469000000002,0.5500110000000014
10,10,10,10,Isaac,23.450469000000002,39.300786,15.850317
11,11,11,11,Juba,29.417255000000004,39.300786,9.883530999999998
12,12,12,12,nt0670610,30.333940000000002,39.300786,8.966846
13,13,13,13,Juba,39.300786,45.63424600000001,6.3334600000000085
14,14,14,14,Matthews,39.317453,45.63424600000001,6.316793000000013
15,15,15,15,Isaac,39.60079200000001,45.63424600000001,6.033453999999999
16,16,16,16,nt1355749,44.23421800000001,45.63424600000001,1.4000279999999992
17,17,17,17,Juba,45.63424600000001,54.61775900000001,8.983512999999991
18,18,18,18,Isaac,45.850917,54.61775900000001,8.766842000000004
19,19,19,19,nt0730935,48.16763,54.61775900000001,6.450129000000004
20,20,20,20,Matthews,54.717761,60.867884,6.1501229999999945
21,21,21,21,Isaac,54.86776400000001,60.867884,6.000119999999987
22,22,22,22,nt0056102,55.517777,60.867884,5.350106999999994
23,23,23,23,Juba,58.51783700000001,60.867884,2.3500469999999893
24,24,24,24,Matthews,60.867884,67.734688,6.866804000000008
25,25,25,25,Juba,60.934552000000004,67.734688,6.800136000000002
26,26,26,26,Isaac,61.067888,67.734688,6.666800000000002
27,27,27,27,nt1272419,65.86798399999999,67.734688,1.8667040000000128
28,28,28,28,Juba,67.734688,72.98479300000002,5.250105000000018
29,29,29,29,Matthews,67.751355,72.98479300000002,5.233438000000022
30,30,30,30,Isaac,67.85135700000001,72.98479300000002,5.1334360000000165
31,31,31,31,Isaac,73.10146200000001,76.768202,3.666739999999991
32,32,32,32,Matthews,73.301466,76.768202,3.4667359999999974
33,33,33,33,Isaac,76.768202,85.26837200000001,8.500170000000011
34,34,34,34,Matthews,78.468236,85.26837200000001,6.800136000000008
35,35,35,35,nt0056087,84.28501899999998,85.26837200000001,0.9833530000000366
36,36,36,36,Juba,85.18503700000002,85.26837200000001,0.08333499999999107
