,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,David Fox,3.216731,6.4167950000000005,3.200064
1,1,1,1,Amy Fox,3.316733,6.4167950000000005,3.1000620000000003
2,2,2,2,David Fox,6.516797,11.700234000000002,5.183437000000001
3,3,3,3,Amy Fox,6.5834649999999995,11.700234000000002,5.1167690000000015
4,4,4,4,Mechanic,8.283499,11.700234000000002,3.4167350000000014
5,5,5,5,Amy Fox,11.750235000000002,15.716981000000002,3.966746000000001
6,6,6,6,David Fox,11.750235000000002,15.716981000000002,3.966746000000001
7,7,7,7,Amy Fox,15.783649000000002,21.617099000000003,5.833450000000001
8,8,8,8,David Fox,15.783649000000002,21.617099000000003,5.833450000000001
9,9,9,9,Mason,17.183677000000007,21.617099000000003,4.433421999999997
10,10,10,10,David Fox,21.617099000000003,28.867244000000003,7.250145
11,11,11,11,Amy Fox,21.617099000000003,28.867244000000003,7.250145
12,12,12,12,David Fox,28.867244000000003,30.767282,1.9000379999999983
13,13,13,13,Mason,29.20058400000001,30.767282,1.5666979999999917
14,14,14,14,Amy Fox,30.733947999999998,30.767282,0.033333999999999975
15,15,15,15,David Fox,32.233978,38.167429999999996,5.933452000000003
16,16,16,16,Amy Fox,32.283978999999995,38.167429999999996,5.883451000000008
17,17,17,17,Snuff Victim,32.983993000000005,38.167429999999996,5.183436999999998
18,18,18,18,Snuff Victim,32.983993000000005,38.167429999999996,5.183436999999998
19,19,19,19,Snuff Victim,32.983993000000005,38.167429999999996,5.183436999999998
20,20,20,20,Brenda B,35.134036,38.167429999999996,3.0333940000000013
21,21,21,21,Steven R,35.134036,38.167429999999996,3.0333940000000013
22,22,22,22,Killer,35.95071900000001,38.167429999999996,2.2167109999999965
23,23,23,23,David Fox,38.250765,41.734168,3.483402999999996
24,24,24,24,Amy Fox,38.35076700000001,41.734168,3.383400999999985
25,25,25,25,Killer,38.834109999999995,41.734168,2.9000579999999943
26,26,26,26,Amy Fox,41.750834999999995,45.717581,3.966746000000001
27,27,27,27,David Fox,41.867504,45.717581,3.8500770000000064
28,28,28,28,Mason,45.200904,45.717581,0.5166770000000014
29,29,29,29,Amy Fox,45.717581,50.91768500000001,5.2001040000000085
30,30,30,30,David Fox,45.900918,50.91768500000001,5.016767000000017
31,31,31,31,Brenda B,46.53426400000001,50.91768500000001,4.3834210000000065
32,32,32,32,Steven R,46.53426400000001,50.91768500000001,4.3834210000000065
33,33,33,33,Truck driver,49.434321999999995,50.91768500000001,1.483363000000011
34,34,34,34,Killer,50.401008,50.91768500000001,0.5166770000000085
35,35,35,35,Mason,50.617678999999995,50.91768500000001,0.30000600000001043
36,36,36,36,David Fox,50.91768500000001,57.18447700000001,6.266791999999995
37,37,37,37,Amy Fox,50.91768500000001,57.18447700000001,6.266791999999995
38,38,38,38,Snuff Victim,53.917745,57.18447700000001,3.266732000000012
39,39,39,39,Killer,54.43442200000001,57.18447700000001,2.7500549999999957
40,40,40,40,Mason,56.117789,57.18447700000001,1.0666880000000063
41,41,41,41,Mechanic,56.26779200000001,57.18447700000001,0.9166850000000012
42,42,42,42,David Fox,57.18447700000001,63.451268999999996,6.266791999999995
43,43,43,43,Amy Fox,57.234478,63.451268999999996,6.2167910000000015
44,44,44,44,Mechanic,57.334480000000006,63.451268999999996,6.116788999999998
45,45,45,45,Killer,57.367814,63.451268999999996,6.0834550000000025
46,46,46,46,Mason,60.70121400000001,63.451268999999996,2.7500549999999957
47,47,47,47,Highway Patrol,60.70121400000001,63.451268999999996,2.7500549999999957
48,48,48,48,David Fox,63.451268999999996,71.751435,8.300165999999997
49,49,49,49,Amy Fox,63.451268999999996,71.751435,8.300165999999997
50,50,50,50,Mechanic,63.651272999999996,71.751435,8.100161999999997
51,51,51,51,Highway Patrol,63.70127400000001,71.751435,8.050160999999989
52,52,52,52,Killer,63.86794400000001,71.751435,7.883490999999991
53,53,53,53,Mason,65.70131400000001,71.751435,6.05012099999999
54,54,54,54,Amy Fox,71.91810500000003,74.68482700000001,2.7667219999999872
55,55,55,55,David Fox,72.43478200000001,74.68482700000001,2.250045
56,56,56,56,Mechanic,72.751455,74.68482700000001,1.9333720000000056
57,57,57,57,Killer,73.23479800000001,74.68482700000001,1.450029000000001
58,58,58,58,Mason,74.15148300000001,74.68482700000001,0.5333439999999996
59,59,59,59,Amy Fox,74.68482700000001,80.884951,6.200123999999987
60,60,60,60,Mason,74.86816400000002,80.884951,6.016786999999981
61,61,61,61,David Fox,78.484903,80.884951,2.4000479999999977
