,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sofia Serrano,0.950019,2.183377,1.233358
1,1,1,1,David Aames,1.2333580000000002,2.183377,0.9500190000000001
2,2,2,2,David Aames,2.316713,4.16675,1.8500370000000004
3,3,3,3,Himself,4.0334140000000005,4.16675,0.1333359999999999
4,4,4,4,Himself,4.0334140000000005,4.16675,0.1333359999999999
5,5,5,5,David Aames,4.16675,6.3834610000000005,2.216711
6,6,6,6,Julie Gianni,4.2000839999999995,6.3834610000000005,2.183377
7,7,7,7,McCabe,4.383421,6.3834610000000005,2.0000400000000003
8,8,8,8,David Aames,6.4001280000000005,9.316853,2.916725
9,9,9,9,Brian Shelby,6.783469,9.316853,2.533384
10,10,10,10,Julie Gianni,7.000140000000001,9.316853,2.316712999999999
11,11,11,11,David's Assistant,7.266812000000002,9.316853,2.0500409999999976
12,12,12,12,Peter Brown,9.316853,10.933552,1.6166990000000006
13,13,13,13,David Aames,9.316853,10.933552,1.6166990000000006
14,14,14,14,David's Assistant,9.416855000000002,10.933552,1.5166969999999989
15,15,15,15,Benny's Owner,9.550191000000002,10.933552,1.3833609999999992
16,16,16,16,Beatrice,9.566858000000002,10.933552,1.3666939999999992
17,17,17,17,Art Editor,9.900198,10.933552,1.033354000000001
18,18,18,18,Sneezy,10.250205,10.933552,0.6833469999999995
19,19,19,19,Sleepy,10.250205,10.933552,0.6833469999999995
20,20,20,20,Grumpy,10.250205,10.933552,0.6833469999999995
21,21,21,21,Bashful,10.250205,10.933552,0.6833469999999995
22,22,22,22,Happy,10.283539,10.933552,0.6500130000000013
23,23,23,23,Dopey,10.300206,10.933552,0.6333460000000013
24,24,24,24,Doc,10.33354,10.933552,0.6000120000000013
25,25,25,25,Young David,10.83355,10.933552,0.10000199999999992
26,26,26,26,McCabe,10.933552,13.533604,2.6000520000000003
27,27,27,27,David Aames,10.933552,13.533604,2.6000520000000003
28,28,28,28,Aaron,11.166889999999999,13.533604,2.366714
29,29,29,29,Security Guard,11.683567000000002,13.533604,1.8500369999999984
30,30,30,30,Sneezy,13.433601999999999,13.533604,0.10000199999999992
31,31,31,31,Happy,13.433601999999999,13.533604,0.10000199999999992
32,32,32,32,Sleepy,13.433601999999999,13.533604,0.10000199999999992
33,33,33,33,Grumpy,13.433601999999999,13.533604,0.10000199999999992
34,34,34,34,Doc,13.433601999999999,13.533604,0.10000199999999992
35,35,35,35,Dopey,13.433601999999999,13.533604,0.10000199999999992
36,36,36,36,Bashful,13.433601999999999,13.533604,0.10000199999999992
37,37,37,37,McCabe,13.533604,15.16697,1.6333660000000003
38,38,38,38,David Aames,13.533604,15.16697,1.6333660000000003
39,39,39,39,nt0289527,13.966946000000002,15.16697,1.2000239999999989
40,40,40,40,Security Guard,13.983613000000002,15.16697,1.1833569999999989
41,41,41,41,David Aames,15.16697,17.217011000000007,2.0500410000000056
42,42,42,42,Lynette,15.283639,17.217011000000007,1.9333720000000056
43,43,43,43,Emma,15.383641,17.217011000000007,1.8333700000000053
44,44,44,44,nt0226202,15.383641,17.217011000000007,1.8333700000000053
45,45,45,45,David's Assistant,15.450308999999999,17.217011000000007,1.7667020000000058
46,46,46,46,nt0226206,15.483642999999999,17.217011000000007,1.7333680000000058
47,47,47,47,Sofia Serrano,15.600311999999999,17.217011000000007,1.616699000000006
48,48,48,48,Brian Shelby,15.600311999999999,17.217011000000007,1.616699000000006
49,49,49,49,Guest at David Aames' Party,15.733648000000002,17.217011000000007,1.4833630000000042
50,50,50,50,Julie Gianni,17.217011000000007,19.367054000000003,2.1500429999999966
51,51,51,51,Sofia Serrano,17.250345000000006,19.367054000000003,2.1167089999999966
52,52,52,52,Brian Shelby,17.250345000000006,19.367054000000003,2.1167089999999966
53,53,53,53,Thomas Tipp,17.400348,19.367054000000003,1.966706000000002
54,54,54,54,David Aames,17.433682,19.367054000000003,1.933372000000002
55,55,55,55,Grumpy,18.083695,19.367054000000003,1.2833590000000008
56,56,56,56,Happy,18.16703,19.367054000000003,1.2000240000000026
57,57,57,57,Sleepy,18.16703,19.367054000000003,1.2000240000000026
58,58,58,58,Bashful,18.16703,19.367054000000003,1.2000240000000026
59,59,59,59,Dopey,18.400368,19.367054000000003,0.9666860000000028
60,60,60,60,nt0313648,18.850376999999998,19.367054000000003,0.5166770000000014
61,61,61,61,David's Assistant,19.333720000000003,19.367054000000003,0.033333999999999975
62,62,62,62,David Aames,19.367054000000003,21.317093000000003,1.9500390000000003
63,63,63,63,Julie Gianni,19.450389,21.317093000000003,1.866704000000002
64,64,64,64,Sofia Serrano,21.367094,22.767122,1.4000279999999992
65,65,65,65,David Aames,21.417095000000003,22.767122,1.3500269999999972
66,66,66,66,Julie Gianni,21.83377,22.767122,0.9333519999999992
67,67,67,67,Brian Shelby,22.66712,22.767122,0.10000199999999992
68,68,68,68,Sofia Serrano,22.767122,24.317153,1.5500310000000006
69,69,69,69,David Aames,22.767122,24.317153,1.5500310000000006
70,70,70,70,Julie Gianni,23.467136000000004,24.317153,0.8500169999999976
71,71,71,71,Brian Shelby,23.483802999999998,24.317153,0.8333499999999994
72,72,72,72,Sofia Serrano,24.317153,27.05054100000001,2.7333880000000086
73,73,73,73,David Aames,24.317153,27.05054100000001,2.7333880000000086
74,74,74,74,Brian Shelby,24.36715400000001,27.05054100000001,2.683387
75,75,75,75,Julie Gianni,26.867203999999997,27.05054100000001,0.18333700000000874
76,76,76,76,Sofia Serrano,27.05054100000001,30.583945000000003,3.5334039999999938
77,77,77,77,David Aames,27.067208,30.583945000000003,3.5167370000000027
78,78,78,78,McCabe,30.467276,30.583945000000003,0.11666900000000167
79,79,79,79,nt0289507,30.467276,30.583945000000003,0.11666900000000167
80,80,80,80,McCabe,30.583945000000003,31.983973,1.4000279999999954
81,81,81,81,David Aames,30.650613000000003,31.983973,1.3333599999999954
82,82,82,82,Sofia Serrano,30.650613000000003,31.983973,1.3333599999999954
83,83,83,83,nt0289496,30.917285000000003,31.983973,1.0666879999999956
