,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Carlton Drake,2.7167209999999997,4.550091,1.8333700000000002
1,1,1,1,Dr. Dora Skirth,2.733388,4.550091,1.816703
2,2,2,2,Dr. Emerson,2.816723,4.550091,1.733368
3,3,3,3,Dr. Collins,2.83339,4.550091,1.7167009999999998
4,4,4,4,Malaysia EMT,3.316733,4.550091,1.233358
5,5,5,5,"Astronaut JJ Jameson, III",3.5000700000000005,4.550091,1.0500209999999996
6,6,6,6,Eddie Brock,4.883431000000002,8.250164999999999,3.366733999999997
7,7,7,7,Anne Weying,4.883431000000002,8.250164999999999,3.366733999999997
8,8,8,8,Lobby Guard Richard,6.866804000000001,8.250164999999999,1.3833609999999978
9,9,9,9,Jack,7.233478000000002,8.250164999999999,1.0166869999999966
10,10,10,10,Eddie Brock,8.366833999999999,10.950219,2.5833850000000016
11,11,11,11,Anne Weying,8.366833999999999,10.950219,2.5833850000000016
12,12,12,12,Carlton Drake,10.983553,15.183637,4.200083999999999
13,13,13,13,Dr. Dora Skirth,11.650233000000002,15.183637,3.5334039999999973
14,14,14,14,Eddie Brock,11.966906000000002,15.183637,3.2167309999999976
15,15,15,15,Eddie's TV Producer,11.983573000000002,15.183637,3.2000639999999976
16,16,16,16,Jack,13.766942000000002,15.183637,1.4166949999999972
17,17,17,17,Anne Weying,14.516957,15.183637,0.6666799999999977
18,18,18,18,Carlton Drake,15.400307999999999,17.583685000000006,2.183377000000005
19,19,19,19,Malaysia EMT,15.750315000000002,17.583685000000006,1.8333700000000042
20,20,20,20,Village Eel Shop Owner,16.450329,17.583685000000006,1.1333560000000062
21,21,21,21,Malaysia Village Tough,16.767001999999998,17.583685000000006,0.8166830000000083
22,22,22,22,Malaysia Village Tough,16.767001999999998,17.583685000000006,0.8166830000000083
23,23,23,23,Elderly Village Woman,17.16701,17.583685000000006,0.416675000000005
24,24,24,24,Dr. Dora Skirth,17.683687000000006,22.11710900000001,4.433422000000004
25,25,25,25,Carlton Drake,17.867024,22.11710900000001,4.250085000000009
26,26,26,26,Eddie Brock,19.167050000000003,22.11710900000001,2.950059000000006
27,27,27,27,Beardo at Bar,19.250385,22.11710900000001,2.8667240000000085
28,28,28,28,Jack the Bartender,19.283719,22.11710900000001,2.8333900000000085
29,29,29,29,Homeless Woman Maria,20.050401,22.11710900000001,2.066708000000009
30,30,30,30,Mrs. Chen,20.783749,22.11710900000001,1.3333600000000096
31,31,31,31,Shakedown Thug,21.317093000000003,22.11710900000001,0.8000160000000065
32,32,32,32,Eddie Brock,22.11710900000001,24.083814999999998,1.9667059999999918
33,33,33,33,Noisy Neighbor Ziggy,22.333779999999997,24.083814999999998,1.7500350000000005
34,34,34,34,Ziggy's Girlfriend,22.333779999999997,24.083814999999998,1.7500350000000005
35,35,35,35,Carlton Drake,24.100482000000003,27.583885,3.483402999999996
36,36,36,36,Dr. Emerson,24.150482999999998,27.583885,3.4334019999999974
37,37,37,37,Dr. Dora Skirth,24.150482999999998,27.583885,3.4334019999999974
38,38,38,38,Dr. Collins,24.150482999999998,27.583885,3.4334019999999974
39,39,39,39,Isaac,24.23381800000001,27.583885,3.3500669999999886
40,40,40,40,Eddie Brock,27.583885,33.350667,5.766782000000003
41,41,41,41,Dr. Dora Skirth,28.017227,33.350667,5.33344
42,42,42,42,Anne Weying,30.250605000000004,33.350667,3.1000619999999977
43,43,43,43,Dr. Dan Lewis,30.400608,33.350667,2.9500589999999995
44,44,44,44,Eddie Brock,33.384001000000005,40.100802,6.716800999999998
45,45,45,45,Dr. Dora Skirth,33.417334999999994,40.100802,6.683467000000008
46,46,46,46,Guard at Gate,33.517337000000005,40.100802,6.583464999999998
47,47,47,47,Lab Security Guard,34.90069800000001,40.100802,5.200103999999988
48,48,48,48,Chasing Guard,37.33408,40.100802,2.766722000000001
49,49,49,49,Dr. Collins,40.100802,44.134215999999995,4.0334140000000005
50,50,50,50,Dr. Dora Skirth,40.100802,44.134215999999995,4.0334140000000005
51,51,51,51,Carlton Drake,40.16747,44.134215999999995,3.966746000000001
52,52,52,52,Dr. Emerson,40.25080500000001,44.134215999999995,3.8834109999999953
53,53,53,53,Security Chief Roland Treece,40.25080500000001,44.134215999999995,3.8834109999999953
54,54,54,54,Lab Security Guard,40.417475,44.134215999999995,3.716740999999999
55,55,55,55,Elderly Village Woman,41.617499,44.134215999999995,2.516717
56,56,56,56,Anne Weying,42.58418500000001,44.134215999999995,1.55003099999999
57,57,57,57,Dr. Dan Lewis,42.58418500000001,44.134215999999995,1.55003099999999
58,58,58,58,Bistro Manager,43.684207,44.134215999999995,0.45000900000000144
59,59,59,59,Eddie Brock,44.184217,46.850937,2.6667200000000046
60,60,60,60,Dr. Dan Lewis,44.21755100000001,46.850937,2.6333859999999945
61,61,61,61,MRI Tech,44.250885,46.850937,2.6000520000000047
62,62,62,62,Hospital Lady with Dog,45.23423800000001,46.850937,1.61669899999999
63,63,63,63,Dr. Dora Skirth,45.66758,46.850937,1.1833570000000009
64,64,64,64,Security Chief Roland Treece,45.817583000000006,46.850937,1.0333539999999957
65,65,65,65,Lab Security Guard,45.817583000000006,46.850937,1.0333539999999957
66,66,66,66,Jacob,45.917584999999995,46.850937,0.9333519999999992
67,67,67,67,Carlton Drake,45.934252,46.850937,0.9166850000000012
68,68,68,68,Dr. Emerson,45.984253,46.850937,0.8666839999999993
69,69,69,69,Dr. Collins,45.984253,46.850937,0.8666839999999993
70,70,70,70,Eddie Brock,46.917605,48.98431300000001,2.0667080000000047
71,71,71,71,Anne Weying,47.450949,48.98431300000001,1.533364000000006
72,72,72,72,Dr. Dan Lewis,47.634285999999996,48.98431300000001,1.3500270000000043
73,73,73,73,Noisy Neighbor Ziggy,48.71764100000001,48.98431300000001,0.2666719999999998
74,74,74,74,Dr. Dora Skirth,48.98431300000001,60.934552,11.950238999999995
75,75,75,75,Carlton Drake,48.98431300000001,60.934552,11.950238999999995
76,76,76,76,Eddie Brock,50.484343,60.934552,10.450209
77,77,77,77,Security Chief Roland Treece,50.817683,60.934552,10.116869
78,78,78,78,Stoner Dude,52.834390000000006,60.934552,8.100161999999997
79,79,79,79,Stoner Dude,52.834390000000006,60.934552,8.100161999999997
80,80,80,80,Little Girl,61.11788900000001,68.818043,7.7001539999999915
81,81,81,81,Anne Weying,61.36789400000001,68.818043,7.450148999999996
82,82,82,82,Dr. Dan Lewis,61.41789500000001,68.818043,7.400147999999994
83,83,83,83,Dr. Dora Skirth,61.867904,68.818043,6.950139
84,84,84,84,Dr. Emerson,61.88457100000001,68.818043,6.9334719999999965
85,85,85,85,Carlton Drake,61.88457100000001,68.818043,6.9334719999999965
86,86,86,86,Dr. Collins,61.95123900000001,68.818043,6.866803999999995
87,87,87,87,Security Chief Roland Treece,62.167910000000006,68.818043,6.650132999999998
88,88,88,88,Crowd Control Officer,62.434582000000006,68.818043,6.383460999999998
89,89,89,89,Venom,62.717921,68.818043,6.100122000000006
90,90,90,90,Lobby Guard Richard,63.184597,68.818043,5.633446000000006
91,91,91,91,Venom,68.88471100000001,74.251485,5.366773999999992
92,92,92,92,Anne Weying,68.951379,74.251485,5.300106
93,93,93,93,Carlton Drake,70.63474599999998,74.251485,3.616739000000024
94,94,94,94,Little Girl,70.83475,74.251485,3.4167350000000027
95,95,95,95,Dr. Dan Lewis,71.26809200000002,74.251485,2.9833929999999778
96,96,96,96,Hospital Lady with Dog,73.468136,74.251485,0.7833490000000012
97,97,97,97,Security Chief Roland Treece,73.76814200000003,74.251485,0.4833429999999765
98,98,98,98,Eddie Brock,74.251485,78.83491000000002,4.58342500000002
99,99,99,99,Security Chief Roland Treece,74.401488,78.83491000000002,4.4334220000000215
100,100,100,100,Carlton Drake,74.61815899999998,78.83491000000002,4.216751000000045
101,101,101,101,Anne Weying,78.00156000000001,78.83491000000002,0.83335000000001
102,102,102,102,Riot,78.83491000000002,85.201704,6.3667939999999845
103,103,103,103,Venom,79.20158400000003,85.201704,6.000119999999981
104,104,104,104,Ops Director,80.16826999999998,85.201704,5.033434000000029
105,105,105,105,Dr. Emerson,80.434942,85.201704,4.766762
106,106,106,106,Anne Weying,81.284959,85.201704,3.9167450000000064
107,107,107,107,Riot,85.201704,90.301806,5.1001019999999935
108,108,108,108,Venom,85.30170600000002,90.301806,5.000099999999974
109,109,109,109,Anne Weying,87.351747,90.301806,2.950058999999996
110,110,110,110,Dapper Dog Walker,89.15178300000002,90.301806,1.1500229999999758
111,111,111,111,Mrs. Chen,90.301806,92.00184,1.7000340000000025
112,112,112,112,Venom,90.301806,92.00184,1.7000340000000025
113,113,113,113,Shakedown Thug,90.518477,92.00184,1.4833629999999969
114,114,114,114,Venom,94.33521999999999,96.318593,1.9833730000000005
115,115,115,115,Prison Guard,94.701894,96.318593,1.6166990000000112
116,116,116,116,Cletus Kasady,95.185237,96.318593,1.1333560000000062
