,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Narration,1.383361,2.66672,1.283359
1,1,1,1,Ray Ferrier,3.1000620000000003,4.266751999999999,1.1666899999999982
2,2,2,2,Load Manager,3.700074,4.266751999999999,0.5666779999999987
3,3,3,3,Ray Ferrier,4.450089,8.300166,3.8500770000000006
4,4,4,4,Mary Ann,4.550091,8.300166,3.7500750000000007
5,5,5,5,Tim,4.633426,8.300166,3.6667400000000008
6,6,6,6,Robbie,5.0001000000000015,8.300166,3.300066
7,7,7,7,Rachel Ferrier,5.3001059999999995,8.300166,3.0000600000000004
8,8,8,8,Herself,8.300166,11.133556,2.83339
9,9,9,9,"TV Reporter, Osaka",8.550171,11.133556,2.583385
10,10,10,10,Robbie,8.700174,11.133556,2.433382
11,11,11,11,Ray Ferrier,8.783509,11.133556,2.350047
12,12,12,12,Rachel Ferrier,9.133516,11.133556,2.0000400000000003
13,13,13,13,Rachel Ferrier,11.183557,17.417015000000006,6.233458000000006
14,14,14,14,Ray Ferrier,11.350227,17.417015000000006,6.066788000000006
15,15,15,15,Brazilian Neighbor,13.833610000000002,17.417015000000006,3.5834050000000044
16,16,16,16,Brazilian Neighbor's Wife,13.850277000000002,17.417015000000006,3.5667380000000044
17,17,17,17,Neighbor with Toddler,14.483623,17.417015000000006,2.933392000000005
18,18,18,18,Ray Ferrier,17.417015000000006,25.483843000000004,8.066827999999997
19,19,19,19,Robbie,18.100362,25.483843000000004,7.383481000000002
20,20,20,20,Woman,18.16703,25.483843000000004,7.3168130000000025
21,21,21,21,Manny the Mechanic,19.033714000000003,25.483843000000004,6.450129
22,22,22,22,Mechanic's Assistant,19.033714000000003,25.483843000000004,6.450129
23,23,23,23,Vincent,19.717060999999998,25.483843000000004,5.766782000000003
24,24,24,24,Julio,19.733728000000006,25.483843000000004,5.750114999999997
25,25,25,25,Intersection Guy,20.250404999999997,25.483843000000004,5.233438000000003
26,26,26,26,Intersection Guy Cop,20.250404999999997,25.483843000000004,5.233438000000003
27,27,27,27,Julio,25.483843000000004,27.883891,2.400047999999994
28,28,28,28,Vincent,25.483843000000004,27.883891,2.400047999999994
