,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,John McLaughlin,0.33334,5.633446,5.3001059999999995
1,1,1,1,Edward Blake,0.350007,5.633446,5.2834389999999996
2,2,2,2,Richard Nixon,0.8833510000000001,5.633446,4.750095
3,3,3,3,Pat Buchanan,1.2333580000000002,5.633446,4.4000879999999984
4,4,4,4,Eleanor Clift,1.2333580000000002,5.633446,4.4000879999999984
5,5,5,5,Doomsday Clock Scientist #1,1.33336,5.633446,4.300086
6,6,6,6,Young Hollis Mason,5.66678,11.233558,5.566778
7,7,7,7,Silk Spectre,5.900118000000001,11.233558,5.33344
8,8,8,8,Sally's Husband,5.900118000000001,11.233558,5.33344
9,9,9,9,Comedian,6.0667880000000025,11.233558,5.166769999999998
10,10,10,10,Bank Robber,6.0667880000000025,11.233558,5.166769999999998
11,11,11,11,Captain Metropolis,6.2167910000000015,11.233558,5.016766999999999
12,12,12,12,1940 Watchmen Photographer,6.2167910000000015,11.233558,5.016766999999999
13,13,13,13,Dollar Bill,6.2167910000000015,11.233558,5.016766999999999
14,14,14,14,Hooded Justice,6.2167910000000015,11.233558,5.016766999999999
15,15,15,15,Silhouette,6.2167910000000015,11.233558,5.016766999999999
16,16,16,16,Mothman,6.2167910000000015,11.233558,5.016766999999999
17,17,17,17,Silhouette's Girlfriend,6.700133999999999,11.233558,4.533424000000002
18,18,18,18,Young Rorschach,7.866824000000001,11.233558,3.3667339999999992
19,19,19,19,Rorschach's Mother,7.900158000000001,11.233558,3.3334
20,20,20,20,Dr. Manhattan,8.000160000000001,11.233558,3.2333979999999998
21,21,21,21,Wally Weaver,8.000160000000001,11.233558,3.2333979999999998
22,22,22,22,Jackie Kennedy,8.000160000000001,11.233558,3.2333979999999998
23,23,23,23,John F. Kennedy,8.000160000000001,11.233558,3.2333979999999998
24,24,24,24,Fidel Castro,9.266852,11.233558,1.9667060000000005
25,25,25,25,Brezhnev,9.266852,11.233558,1.9667060000000005
26,26,26,26,Anti War Protester,9.516857000000002,11.233558,1.7167009999999987
27,27,27,27,Andy Warhol,9.783529,11.233558,1.450029000000001
28,28,28,28,Truman Capote,9.816863,11.233558,1.4166950000000007
29,29,29,29,Naked Man At Warhol Party,9.900198,11.233558,1.3333600000000008
30,30,30,30,Ozymandias,10.216871,11.233558,1.0166869999999992
31,31,31,31,Village People Cop,10.216871,11.233558,1.0166869999999992
32,32,32,32,David Bowie,10.216871,11.233558,1.0166869999999992
33,33,33,33,Mick Jagger,10.216871,11.233558,1.0166869999999992
34,34,34,34,Nite Owl,10.50021,11.233558,0.7333479999999994
35,35,35,35,Silk Spectre II,10.516877,11.233558,0.7166809999999995
36,36,36,36,Rorschach,10.516877,11.233558,0.7166809999999995
37,37,37,37,Richard Nixon,10.766882,11.233558,0.4666759999999997
38,38,38,38,Detective Gallagher,11.583565000000002,12.450249,0.8666839999999993
39,39,39,39,Detective Fine,11.683567000000002,12.450249,0.7666819999999994
40,40,40,40,Edward Blake,11.700234000000002,12.450249,0.7500149999999994
41,41,41,41,Richard Nixon,11.700234000000002,12.450249,0.7500149999999994
42,42,42,42,Rorschach,12.466916,15.216971,2.7500549999999984
43,43,43,43,Edward Blake,13.533604,15.216971,1.6833669999999987
44,44,44,44,Richard Nixon,13.533604,15.216971,1.6833669999999987
45,45,45,45,Silk Spectre,13.583604999999999,15.216971,1.6333659999999988
46,46,46,46,Comedian,14.033614000000002,15.216971,1.183356999999997
47,47,47,47,Silk Spectre II,14.616959,15.216971,0.6000119999999995
48,48,48,48,Young Moloch,14.700294,15.216971,0.5166769999999996
49,49,49,49,Captain Metropolis,14.916965,15.216971,0.3000059999999998
50,50,50,50,Dollar Bill,14.916965,15.216971,0.3000059999999998
51,51,51,51,Hooded Justice,14.916965,15.216971,0.3000059999999998
52,52,52,52,Silhouette,14.916965,15.216971,0.3000059999999998
53,53,53,53,Young Hollis Mason,14.916965,15.216971,0.3000059999999998
54,54,54,54,Mothman,14.916965,15.216971,0.3000059999999998
55,55,55,55,Mothman,15.216971,17.550351000000006,2.3333800000000067
56,56,56,56,Young Hollis Mason,15.216971,17.550351000000006,2.3333800000000067
57,57,57,57,Silhouette,15.216971,17.550351000000006,2.3333800000000067
