,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Karin Lane,3.4334020000000005,5.0834350000000015,1.650033000000001
1,1,1,1,Rachel Lane,3.4667360000000005,5.0834350000000015,1.616699000000001
2,2,2,2,Gerry Lane,3.5000700000000005,5.0834350000000015,1.5833650000000008
3,3,3,3,Constance Lane,3.5000700000000005,5.0834350000000015,1.5833650000000008
4,4,4,4,Gerry Lane,5.1834370000000005,8.000160000000001,2.8167230000000005
5,5,5,5,Karin Lane,5.1834370000000005,8.000160000000001,2.8167230000000005
6,6,6,6,Constance Lane,5.2001040000000005,8.000160000000001,2.8000560000000005
7,7,7,7,Rachel Lane,5.2001040000000005,8.000160000000001,2.8000560000000005
8,8,8,8,Motorcycle Cop,6.800136,8.000160000000001,1.2000240000000009
9,9,9,9,Gerry Lane,8.050161000000001,10.883550999999999,2.83339
10,10,10,10,Karin Lane,8.050161000000001,10.883550999999999,2.83339
11,11,11,11,Rachel Lane,8.116829000000001,10.883550999999999,2.766722
12,12,12,12,Constance Lane,8.166830000000001,10.883550999999999,2.716721
13,13,13,13,Philadelphian Zombie,8.883511,10.883550999999999,2.0000400000000003
14,14,14,14,Gerry Lane,10.983553,13.066928,2.083375
15,15,15,15,Karin Lane,10.983553,13.066928,2.083375
16,16,16,16,Rachel Lane,11.00022,13.066928,2.066708
17,17,17,17,Constance Lane,11.116889,13.066928,1.9500390000000003
18,18,18,18,Thierry Umutoni,12.183577,13.066928,0.8833510000000011
19,19,19,19,Thierry's Aide,12.250245,13.066928,0.8166830000000012
20,20,20,20,Gerry Lane,13.250264999999999,17.267012,4.0167470000000005
21,21,21,21,Karin Lane,13.283598999999999,17.267012,3.983413000000001
22,22,22,22,Constance Lane,13.283598999999999,17.267012,3.983413000000001
23,23,23,23,Rachel Lane,13.283598999999999,17.267012,3.983413000000001
24,24,24,24,Market Attacker,13.566938,17.267012,3.7000740000000008
25,25,25,25,Pharmacy Helper,13.800276000000002,17.267012,3.4667359999999987
26,26,26,26,Market Attacker,14.733628,17.267012,2.5333840000000016
