,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Badrinath Bansal,1.9833730000000005,7.016807000000001,5.0334340000000015
1,1,1,1,Badrinath's father,2.083375,7.016807000000001,4.933432000000002
2,2,2,2,Badrinath's mother,2.083375,7.016807000000001,4.933432000000002
3,3,3,3,Mr. Shukla,2.083375,7.016807000000001,4.933432000000002
4,4,4,4,Servant (Bansal House),2.083375,7.016807000000001,4.933432000000002
5,5,5,5,Mrs. Shukla,2.083375,7.016807000000001,4.933432000000002
6,6,6,6,Father in the hospital,2.5167170000000003,7.016807000000001,4.50009
7,7,7,7,Old lady crying in hospital,2.5167170000000003,7.016807000000001,4.50009
8,8,8,8,Doctor,2.5833850000000003,7.016807000000001,4.433422
9,9,9,9,Boy Baby,2.5833850000000003,7.016807000000001,4.433422
10,10,10,10,Professor,2.7167209999999997,7.016807000000001,4.300086
11,11,11,11,Girl Baby,2.766722,7.016807000000001,4.2500849999999994
12,12,12,12,Father of kids,3.0833950000000003,7.016807000000001,3.933412000000001
13,13,13,13,Boy with the report card,3.1167290000000003,7.016807000000001,3.9000780000000006
14,14,14,14,Mother of boy with report card,3.1167290000000003,7.016807000000001,3.9000780000000006
15,15,15,15,Young girl in school,3.1667300000000003,7.016807000000001,3.8500770000000006
16,16,16,16,Man with SUV offer,3.5334040000000004,7.016807000000001,3.4834030000000005
17,17,17,17,Pandit Ji,3.616739,7.016807000000001,3.400068000000001
18,18,18,18,Lady with 50 lakh offer,3.650073,7.016807000000001,3.366734000000001
19,19,19,19,Somdev Mishra,4.0667480000000005,7.016807000000001,2.9500590000000004
20,20,20,20,Guide at Jhansi Fort,4.916765000000002,7.016807000000001,2.1000419999999997
21,21,21,21,Prakash,4.983433000000002,7.016807000000001,2.033374
22,22,22,22,Badrinath's father,7.016807000000001,15.666979999999999,8.650172999999999
23,23,23,23,Pandit Ji,7.033474000000001,15.666979999999999,8.633506
24,24,24,24,Urmila Bansal,7.266812000000002,15.666979999999999,8.400167999999997
25,25,25,25,Alok,7.3834810000000015,15.666979999999999,8.283498999999999
26,26,26,26,Badrinath Bansal,7.600152,15.666979999999999,8.066828000000001
27,27,27,27,Badrinath's mother,7.683486999999999,15.666979999999999,7.983493000000002
28,28,28,28,Sakshi,7.950159000000001,15.666979999999999,7.716820999999999
29,29,29,29,MC (Prakash's Wedding),8.983513,15.666979999999999,6.683467
30,30,30,30,Vaidehi Trivedi,9.083515,15.666979999999999,6.5834649999999995
31,31,31,31,Kritika,9.083515,15.666979999999999,6.5834649999999995
32,32,32,32,Vaidehi's mother,9.200184,15.666979999999999,6.4667959999999995
33,33,33,33,Somdev Mishra,9.716861000000002,15.666979999999999,5.950118999999999
34,34,34,34,Prakash,9.716861000000002,15.666979999999999,5.950118999999999
35,35,35,35,Prakash's Father,9.783529,15.666979999999999,5.883451000000001
36,36,36,36,Prakash's Bride Father,9.783529,15.666979999999999,5.883451000000001
37,37,37,37,Prakash's Bride - Madhu,11.200224,15.666979999999999,4.466756
38,38,38,38,Somdev Mishra,15.766982000000002,23.933812000000003,8.166830000000001
39,39,39,39,Mr. Trivedi,15.766982000000002,23.933812000000003,8.166830000000001
40,40,40,40,Vaidehi's mother,15.966986000000002,23.933812000000003,7.966826000000001
41,41,41,41,Badrinath Bansal,16.566998,23.933812000000003,7.3668140000000015
42,42,42,42,Vaidehi Trivedi,16.667,23.933812000000003,7.2668120000000025
43,43,43,43,Kritika,16.667,23.933812000000003,7.2668120000000025
