,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Shahida's Father Rauf,3.1000620000000003,4.16675,1.0666879999999999
1,1,1,1,Shahida's Mother Razia,3.1000620000000003,4.16675,1.0666879999999999
2,2,2,2,Himself,3.1833970000000003,4.16675,0.983353
3,3,3,3,Shahida's Mother Razia,4.366754,6.866804000000001,2.5000500000000008
4,4,4,4,Woman On Train,4.366754,6.866804000000001,2.5000500000000008
5,5,5,5,Shahida,4.366754,6.866804000000001,2.5000500000000008
6,6,6,6,Shahida's Father Rauf,5.0501010000000015,6.866804000000001,1.8167029999999995
7,7,7,7,Shahida's Mother Razia,6.883471000000001,10.450209,3.566737999999998
8,8,8,8,Shahida's Father Rauf,6.883471000000001,10.450209,3.566737999999998
9,9,9,9,Shahida,6.883471000000001,10.450209,3.566737999999998
10,10,10,10,Qawal,9.566858000000002,10.450209,0.8833509999999976
11,11,11,11,Qawal,9.566858000000002,10.450209,0.8833509999999976
12,12,12,12,Qawal,9.566858000000002,10.450209,0.8833509999999976
13,13,13,13,Qawal,9.566858000000002,10.450209,0.8833509999999976
14,14,14,14,Qawal,9.566858000000002,10.450209,0.8833509999999976
15,15,15,15,Nizami Bandhu Qawal,9.566858000000002,10.450209,0.8833509999999976
16,16,16,16,Nizami Bandhu Qawal,9.566858000000002,10.450209,0.8833509999999976
17,17,17,17,Nizami Bandhu Qawal,9.566858000000002,10.450209,0.8833509999999976
18,18,18,18,Woman On Train,10.483543,16.116989,5.633446000000001
19,19,19,19,Shahida's Mother Razia,10.600211999999999,16.116989,5.5167769999999985
20,20,20,20,Shahida,10.600211999999999,16.116989,5.5167769999999985
21,21,21,21,Fat Man Sleeping In Train,11.083555,16.116989,5.033434
22,22,22,22,Station Master (Pakistan),15.216971,16.116989,0.9000180000000011
23,23,23,23,Shahida's Father Rauf,16.116989,21.083755000000004,4.966766000000003
24,24,24,24,Shahida's Mother Razia,16.116989,21.083755000000004,4.966766000000003
25,25,25,25,Shahida,16.566998,21.083755000000004,4.516757000000002
26,26,26,26,Bajrangi Bhaijaan,17.283679000000006,21.083755000000004,3.800075999999997
27,27,27,27,nt0175575,17.283679000000006,21.083755000000004,3.800075999999997
28,28,28,28,nt0175579,17.283679000000006,21.083755000000004,3.800075999999997
29,29,29,29,nt0175581,17.283679000000006,21.083755000000004,3.800075999999997
30,30,30,30,nt0175586,21.083755000000004,24.883831,3.800075999999997
31,31,31,31,Bajrangi Bhaijaan,21.083755000000004,24.883831,3.800075999999997
32,32,32,32,Dhaba Manager (Chawra),21.100422,24.883831,3.783408999999999
33,33,33,33,Shahida,21.433761999999998,24.883831,3.4500689999999987
34,34,34,34,Shahida,24.883831,25.850517000000004,0.9666860000000028
35,35,35,35,Kurukshetra Cop,24.883831,25.850517000000004,0.9666860000000028
36,36,36,36,Bajrangi Bhaijaan,24.883831,25.850517000000004,0.9666860000000028
37,37,37,37,Bajrangi Bhaijaan,25.900517999999998,43.434202000000006,17.533684000000004
38,38,38,38,Shahida,25.900517999999998,43.434202000000006,17.533684000000004
39,39,39,39,Diwakar chaturvedi salman father,27.700554000000004,43.434202000000006,15.733648000000002
40,40,40,40,Little Pawan,27.700554000000004,43.434202000000006,15.733648000000002
41,41,41,41,Pehelwan,28.267232000000003,43.434202000000006,15.166970000000005
42,42,42,42,Pehelwan,28.267232000000003,43.434202000000006,15.166970000000005
43,43,43,43,Pehelwan,28.267232000000003,43.434202000000006,15.166970000000005
44,44,44,44,Pehelwan,28.267232000000003,43.434202000000006,15.166970000000005
45,45,45,45,Pehelwan,28.267232000000003,43.434202000000006,15.166970000000005
46,46,46,46,Pehelwan,28.267232000000003,43.434202000000006,15.166970000000005
47,47,47,47,Pehelwan,28.267232000000003,43.434202000000006,15.166970000000005
48,48,48,48,Young Pawan,29.117248999999997,43.434202000000006,14.316953000000005
49,49,49,49,Bus Conductor (India),31.58396500000001,43.434202000000006,11.850236999999995
50,50,50,50,Rasika,31.71730100000001,43.434202000000006,11.716900999999995
51,51,51,51,Dayanand,33.250665000000005,43.434202000000006,10.183537
52,52,52,52,Saraswati,34.600691999999995,43.434202000000006,8.833510000000011
53,53,53,53,Groom's Father,40.58414500000001,43.434202000000006,2.850057
54,54,54,54,Groom's Mother,40.617478999999996,43.434202000000006,2.816723000000003
55,55,55,55,Groom,40.66748000000001,43.434202000000006,2.7667219999999944
56,56,56,56,Bajrangi Bhaijaan,43.434202000000006,48.66764000000001,5.233438000000007
57,57,57,57,Shahida,43.467535999999996,48.66764000000001,5.2001040000000085
58,58,58,58,Rasika,43.717541,48.66764000000001,4.950099000000017
59,59,59,59,nt0170235,43.717541,48.66764000000001,4.950099000000017
60,60,60,60,nt0170236,43.717541,48.66764000000001,4.950099000000017
61,61,61,61,Dayanand,43.984213,48.66764000000001,4.683427000000009
