,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Reporter 1,0.850017,2.300046,1.450029
1,1,1,1,Reporter 2,0.950019,2.300046,1.350027
2,2,2,2,ACP Akhilesh Aane,1.416695,2.300046,0.883351
3,3,3,3,Gayatri Ganguly,1.416695,2.300046,0.883351
4,4,4,4,Cameraman Bittu,2.150043,2.300046,0.1500029999999999
5,5,5,5,Guard 1,2.350047,12.283579,9.933532000000001
6,6,6,6,Guard 2,2.5167170000000003,12.283579,9.766862
7,7,7,7,Chotu Chaiwala,2.5167170000000003,12.283579,9.766862
8,8,8,8,Jugnu,3.1000620000000003,12.283579,9.183516999999998
9,9,9,9,Fake Irritating Aunty hostage,3.1000620000000003,12.283579,9.183516999999998
10,10,10,10,Inquisitive Hostage,3.1000620000000003,12.283579,9.183516999999998
11,11,11,11,Champak Chandrakant Chiplunkar,3.1833970000000003,12.283579,9.100182
12,12,12,12,nt0476108,3.1833970000000003,12.283579,9.100182
13,13,13,13,Bank Executive,3.1833970000000003,12.283579,9.100182
14,14,14,14,Gulab,3.766742,12.283579,8.516836999999999
15,15,15,15,Genda,3.766742,12.283579,8.516836999999999
16,16,16,16,Bank Manager,4.0834150000000005,12.283579,8.200164
17,17,17,17,Baba Sehgal,6.700133999999999,12.283579,5.583445000000001
18,18,18,18,Fake Sardar Hostage,7.000140000000001,12.283579,5.283438999999999
19,19,19,19,Phone Obsessed Fake Hostage,8.550171,12.283579,3.733407999999999
20,20,20,20,ACP Akhilesh Aane,12.316913,14.516957,2.2000439999999997
21,21,21,21,Head Constable Sakharam,12.316913,14.516957,2.2000439999999997
22,22,22,22,nt0511650,12.483583,14.516957,2.033374000000002
23,23,23,23,Champak Chandrakant Chiplunkar,12.566918,14.516957,1.950039000000002
24,24,24,24,Genda,12.633586,14.516957,1.883371000000002
25,25,25,25,Gulab,13.566938,14.516957,0.9500190000000012
26,26,26,26,Bank Manager,13.583604999999999,14.516957,0.9333520000000012
27,27,27,27,Genda,14.516957,20.550410999999997,6.033453999999999
28,28,28,28,Head Constable Sakharam,14.583625,20.550410999999997,5.966786000000001
