,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Dev Kaushal,1.700034,22.45044900000001,20.75041500000001
1,1,1,1,Office Security Guard,1.900038,22.45044900000001,20.55041100000001
2,2,2,2,Reena,7.933492000000001,22.45044900000001,14.516957000000007
3,3,3,3,Anand Tripathi,9.883531,22.45044900000001,12.56691800000001
4,4,4,4,DK,9.900198,22.45044900000001,12.55025100000001
5,5,5,5,Prabha Ghatpande,9.916865,22.45044900000001,12.53358400000001
6,6,6,6,Ranjit Arora,16.983673000000003,22.45044900000001,5.466776000000007
7,7,7,7,Dev Kaushal,22.50045,28.883910999999998,6.3834610000000005
8,8,8,8,Ranjit Arora,22.767122,28.883910999999998,6.1167890000000025
9,9,9,9,Dolly Verma,24.283819,28.883910999999998,4.600092
10,10,10,10,Watchman At Ranjit's Bungalow,26.067188,28.883910999999998,2.816723
11,11,11,11,Reena,27.683887,28.883910999999998,1.2000240000000026
12,12,12,12,Reena,28.883910999999998,41.267492,12.383580999999996
13,13,13,13,Dev Kaushal,28.90057800000001,41.267492,12.366913999999989
14,14,14,14,Anand Tripathi,29.217251,41.267492,12.050240999999994
15,15,15,15,DK,30.067268,41.267492,11.200224
16,16,16,16,Mobile Store Guy,33.250665000000005,41.267492,8.016826999999992
17,17,17,17,Ranjit Arora,33.917345000000005,41.267492,7.350146999999992
18,18,18,18,Dolly Verma,38.33410000000001,41.267492,2.9333919999999907
19,19,19,19,Anand Tripathi,41.267492,60.801216,19.533724000000007
20,20,20,20,Dev Kaushal,41.284159,60.801216,19.517057
21,21,21,21,Prabha Ghatpande,41.65083300000001,60.801216,19.150382999999987
22,22,22,22,DK,42.017507,60.801216,18.783708999999998
23,23,23,23,Ranjit Arora,46.83427,60.801216,13.966945999999998
24,24,24,24,Dolly Verma,48.93431200000001,60.801216,11.866903999999993
25,25,25,25,Dolly's mother,48.93431200000001,60.801216,11.866903999999993
26,26,26,26,Maid At Dolly's House,48.93431200000001,60.801216,11.866903999999993
27,27,27,27,Reena's Mother,54.81776300000001,60.801216,5.983452999999997
28,28,28,28,Reena's Father,54.86776400000001,60.801216,5.933451999999996
29,29,29,29,Mili (dancer in bewafa beauty song),60.801216,75.50151000000002,14.700294000000019
30,30,30,30,Anand Tripathi,60.83455000000001,75.50151000000002,14.666960000000017
31,31,31,31,Prabha Ghatpande,60.83455000000001,75.50151000000002,14.666960000000017
32,32,32,32,Dev Kaushal,66.16799,75.50151000000002,9.33352000000002
33,33,33,33,DK,66.16799,75.50151000000002,9.33352000000002
34,34,34,34,Dolly's mother,71.01808700000002,75.50151000000002,4.483423000000002
35,35,35,35,Ranjit Arora,71.01808700000002,75.50151000000002,4.483423000000002
36,36,36,36,Reena,71.63476600000001,75.50151000000002,3.8667440000000113
37,37,37,37,Guy in Theatre,74.934832,75.50151000000002,0.5666780000000244
38,38,38,38,Dev Kaushal,75.50151000000002,87.91842500000001,12.416914999999989
39,39,39,39,Reena,75.551511,87.91842500000001,12.366914000000007
40,40,40,40,Dolly Verma,75.68484699999998,87.91842500000001,12.233578000000035
41,41,41,41,Ranjit Arora,75.68484699999998,87.91842500000001,12.233578000000035
42,42,42,42,Chawla,76.084855,87.91842500000001,11.833570000000007
43,43,43,43,Guy Crying at Funeral,76.084855,87.91842500000001,11.833570000000007
44,44,44,44,Pandit at Funeral,76.084855,87.91842500000001,11.833570000000007
45,45,45,45,Anand Tripathi,79.784929,87.91842500000001,8.133496000000008
46,46,46,46,Prabha Ghatpande,80.051601,87.91842500000001,7.866824000000008
47,47,47,47,Prabha's Father,83.268332,87.91842500000001,4.6500930000000125
48,48,48,48,Prabha's Mother,83.268332,87.91842500000001,4.6500930000000125
49,49,49,49,Constable No. 1,85.53504400000001,87.91842500000001,2.383381
50,50,50,50,Office Security Guard,85.53504400000001,87.91842500000001,2.383381
51,51,51,51,Constable No. 2,85.785049,87.91842500000001,2.1333760000000126
52,52,52,52,DK,86.61839900000004,87.91842500000001,1.300025999999974
53,53,53,53,Inspector Pramod Rawle,86.61839900000004,87.91842500000001,1.300025999999974
54,54,54,54,Dev Kaushal,87.91842500000001,101.635366,13.716940999999993
55,55,55,55,DK,87.93509200000004,101.635366,13.700273999999965
56,56,56,56,Anand Tripathi,88.018427,101.635366,13.616939000000002
57,57,57,57,Constable No. 2,88.71844100000001,101.635366,12.916924999999992
58,58,58,58,Inspector Pramod Rawle,88.83511000000001,101.635366,12.80025599999999
59,59,59,59,Constable No. 1,88.935112,101.635366,12.700254
