,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Peter Briganza,2.800056,13.616939000000002,10.816883000000002
1,1,1,1,Garson Fernandes,3.383401,13.616939000000002,10.233538000000003
2,2,2,2,Mary Fernandes,5.2501050000000005,13.616939000000002,8.366833999999999
3,3,3,3,Monty's Coach,6.050121000000001,13.616939000000002,7.566818000000001
4,4,4,4,Monty Fernandes,6.050121000000001,13.616939000000002,7.566818000000001
5,5,5,5,David Fernandes,7.966826000000001,13.616939000000002,5.650113000000001
6,6,6,6,Poopoo,7.966826000000001,13.616939000000002,5.650113000000001
7,7,7,7,Jenny,8.133496000000001,13.616939000000002,5.483443000000001
8,8,8,8,Young Monty,9.866864,13.616939000000002,3.7500750000000025
9,9,9,9,Young David,9.900198,13.616939000000002,3.7167410000000025
10,10,10,10,David Fernandes,13.733608000000002,25.050501,11.316893
11,11,11,11,Swami,14.000280000000002,25.050501,11.050221
12,12,12,12,Principal,14.550291,25.050501,10.50021
13,13,13,13,Tyagi,14.766962,25.050501,10.283539
14,14,14,14,Garson Fernandes,18.16703,25.050501,6.883471000000001
15,15,15,15,Monty Fernandes,18.16703,25.050501,6.883471000000001
16,16,16,16,Monty's Coach,18.250365,25.050501,6.800136000000002
17,17,17,17,Peter Briganza,18.417035,25.050501,6.633465999999999
18,18,18,18,Paasha,18.733708,25.050501,6.3167930000000005
19,19,19,19,Mustafa,20.917085,25.050501,4.133416
20,20,20,20,Jenny,25.083835,36.184057,11.100222000000002
21,21,21,21,David Fernandes,25.133836,36.184057,11.050221000000004
22,22,22,22,Poopoo,25.217171000000004,36.184057,10.966886
23,23,23,23,Swami,27.18387700000001,36.184057,9.000179999999991
24,24,24,24,Principal,28.050561,36.184057,8.133496000000003
25,25,25,25,Paasha,31.333959999999998,36.184057,4.850097000000002
26,26,26,26,David Fernandes,36.184057,52.834390000000006,16.650333000000003
27,27,27,27,Poopoo,36.23405800000001,52.834390000000006,16.600331999999995
28,28,28,28,Jenny,36.33406,52.834390000000006,16.500330000000005
29,29,29,29,Garson Fernandes,36.534064,52.834390000000006,16.300326000000005
30,30,30,30,Monty Fernandes,37.117409,52.834390000000006,15.716981000000004
31,31,31,31,Mary Fernandes,41.950839,52.834390000000006,10.883551000000004
32,32,32,32,Young Monty,44.75089500000001,52.834390000000006,8.083495
33,33,33,33,Young David,45.63424600000001,52.834390000000006,7.2001439999999945
34,34,34,34,Teenage David,51.36769400000001,52.834390000000006,1.4666959999999991
35,35,35,35,Middle Monty,51.36769400000001,52.834390000000006,1.4666959999999991
36,36,36,36,Teenage David,52.834390000000006,59.651193000000006,6.816803
37,37,37,37,Mary Fernandes,52.851057,59.651193000000006,6.800136000000008
38,38,38,38,Middle Monty,52.901058000000006,59.651193000000006,6.750135
39,39,39,39,Garson Fernandes,52.984393,59.651193000000006,6.666800000000002
40,40,40,40,David Fernandes,59.10118200000001,59.651193000000006,0.5500109999999978
41,41,41,41,Monty Fernandes,59.20118400000001,59.651193000000006,0.4500089999999943
42,42,42,42,Garson Fernandes,59.66786000000001,71.201424,11.533563999999993
