,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Timmy,2.2000439999999997,10.266872,8.066828
1,1,1,1,Mayuri Chauhan,2.6833869999999997,10.266872,7.5834850000000005
2,2,2,2,Mayuri's Father,2.9333920000000004,10.266872,7.333479999999999
3,3,3,3,Palash Bose,3.816743,10.266872,6.450128999999999
4,4,4,4,Paroma Ghosh,3.8334099999999998,10.266872,6.433461999999999
5,5,5,5,Sharda (Nandita's Sister),4.66676,10.266872,5.6001119999999975
6,6,6,6,Nandita Menon,4.933432000000002,10.266872,5.333439999999999
7,7,7,7,Nazneen Malik,6.1001220000000025,10.266872,4.166749999999997
8,8,8,8,Inzamam (Nazneen's Boyfriend),6.1001220000000025,10.266872,4.166749999999997
9,9,9,9,Sharon Pinto,7.4501490000000015,10.266872,2.8167229999999983
10,10,10,10,"Kumar Kukreja, Calendar sponsor",8.283499,10.266872,1.9833729999999985
11,11,11,11,Timmy,13.216931,30.200604,16.983672999999996
12,12,12,12,Mayuri Chauhan,13.3336,30.200604,16.867003999999998
13,13,13,13,Nazneen Malik,13.3336,30.200604,16.867003999999998
14,14,14,14,Nandita Menon,13.3336,30.200604,16.867003999999998
15,15,15,15,Paroma Ghosh,13.3336,30.200604,16.867003999999998
16,16,16,16,Sharon Pinto,13.3336,30.200604,16.867003999999998
17,17,17,17,Pinaki chatterji,16.033654000000002,30.200604,14.166949999999995
18,18,18,18,Inzamam (Nazneen's Boyfriend),16.867004,30.200604,13.333599999999995
19,19,19,19,"Kumar Kukreja, Calendar sponsor",24.150482999999998,30.200604,6.050120999999997
20,20,20,20,Aniruddha Shroff,28.350566999999998,30.200604,1.8500369999999968
21,21,21,21,Nazneen Malik,30.200604,50.551010999999995,20.350407000000004
22,22,22,22,Inzamam (Nazneen's Boyfriend),30.417275000000004,50.551010999999995,20.133736
23,23,23,23,Tiwari ji,31.41729500000001,50.551010999999995,19.133716
24,24,24,24,Mayuri Chauhan,31.41729500000001,50.551010999999995,19.133716
25,25,25,25,Nandita Menon,34.167350000000006,50.551010999999995,16.383660999999996
26,26,26,26,Harsh narang,34.517357000000004,50.551010999999995,16.033654000000002
27,27,27,27,Sharon Pinto,41.267492,50.551010999999995,9.283519000000004
28,28,28,28,Pinaki chatterji,43.600871999999995,50.551010999999995,6.950139
29,29,29,29,Paroma Ghosh,43.634206000000006,50.551010999999995,6.9168049999999965
30,30,30,30,Narang,48.617639,50.551010999999995,1.9333719999999983
