,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Komal Chautala,0.0,0.9000180000000001,0.9000180000000001
1,1,1,1,Kabir Khan,1.350027,9.650193000000002,8.300166
2,2,2,2,Uttam,3.3334,9.650193000000002,6.316793000000001
3,3,3,3,Kabir's mother,7.566818,9.650193000000002,2.083375000000002
4,4,4,4,Tripathi,10.450209,16.700333999999998,6.250124999999999
5,5,5,5,Uttam,10.450209,16.700333999999998,6.250124999999999
6,6,6,6,IHF official,10.450209,16.700333999999998,6.250124999999999
7,7,7,7,Kabir Khan,12.83359,16.700333999999998,3.866743999999999
8,8,8,8,Vidya Sharma,16.900338,26.71720100000001,9.816863000000009
9,9,9,9,Sukhlal,17.083675000000003,26.71720100000001,9.633526000000009
10,10,10,10,Krishnaji,17.083675000000003,26.71720100000001,9.633526000000009
11,11,11,11,Balbir Kaur,17.567018,26.71720100000001,9.150183000000009
12,12,12,12,Komal Chautala,18.117029,26.71720100000001,8.600172000000008
13,13,13,13,Gul Iqbal,19.250385,26.71720100000001,7.466816000000009
14,14,14,14,Soimoi Kerketa,19.533724000000007,26.71720100000001,7.1834770000000026
15,15,15,15,Rani Dispotta,19.533724000000007,26.71720100000001,7.1834770000000026
16,16,16,16,Nethra Reddy,20.533744,26.71720100000001,6.183457000000013
17,17,17,17,Mary Ralte,20.900418,26.71720100000001,5.816783000000013
18,18,18,18,Molly Zimik,20.933752,26.71720100000001,5.783449000000013
19,19,19,19,Bindia Naik,22.16711,26.71720100000001,4.550091000000009
20,20,20,20,Aliya Bose,22.16711,26.71720100000001,4.550091000000009
21,21,21,21,Gunjun Lakhani,22.16711,26.71720100000001,4.550091000000009
22,22,22,22,Kabir Khan,22.633785999999997,26.71720100000001,4.083415000000009
23,23,23,23,Preety Sabharwal,23.150463,26.71720100000001,3.5667380000000084
24,24,24,24,Rachna Prasad,25.183837000000004,26.71720100000001,1.533364000000006
25,25,25,25,Nichola Sequiera,25.183837000000004,26.71720100000001,1.533364000000006
26,26,26,26,Raynia Fernandes,25.183837000000004,26.71720100000001,1.533364000000006
27,27,27,27,Komal Chautala,26.733868,39.817463,13.083595000000004
28,28,28,28,Nethra Reddy,26.81720300000001,39.817463,13.000259999999995
29,29,29,29,Molly Zimik,26.81720300000001,39.817463,13.000259999999995
30,30,30,30,Gul Iqbal,26.83387,39.817463,12.983593000000004
31,31,31,31,Mary Ralte,26.85053700000001,39.817463,12.966925999999996
32,32,32,32,Aliya Bose,26.88387100000001,39.817463,12.933591999999996
33,33,33,33,Gunjun Lakhani,26.88387100000001,39.817463,12.933591999999996
34,34,34,34,Bindia Naik,26.900538,39.817463,12.916925000000004
35,35,35,35,Balbir Kaur,26.95053900000001,39.817463,12.866923999999996
36,36,36,36,Nichola Sequiera,27.15054300000001,39.817463,12.666919999999996
37,37,37,37,Vidya Sharma,27.850557,39.817463,11.966906000000002
38,38,38,38,Soimoi Kerketa,28.067228000000004,39.817463,11.750235
39,39,39,39,Rani Dispotta,28.067228000000004,39.817463,11.750235
40,40,40,40,Preety Sabharwal,29.083915,39.817463,10.733548000000004
41,41,41,41,Sukhlal,30.417275000000004,39.817463,9.400188
42,42,42,42,Kabir Khan,30.567278,39.817463,9.250185000000002
43,43,43,43,Krishnaji,30.567278,39.817463,9.250185000000002
44,44,44,44,Komal Chautala,39.884131,47.08427500000001,7.200144000000018
45,45,45,45,Balbir Kaur,39.884131,47.08427500000001,7.200144000000018
46,46,46,46,Preety Sabharwal,39.900797999999995,47.08427500000001,7.1834770000000105
47,47,47,47,Nethra Reddy,39.967465999999995,47.08427500000001,7.116809000000013
48,48,48,48,Bindia Naik,40.034134,47.08427500000001,7.050141000000013
49,49,49,49,Aliya Bose,40.034134,47.08427500000001,7.050141000000013
50,50,50,50,Gunjun Lakhani,40.034134,47.08427500000001,7.050141000000013
51,51,51,51,Gul Iqbal,40.034134,47.08427500000001,7.050141000000013
52,52,52,52,Vidya Sharma,40.084134999999996,47.08427500000001,7.000140000000008
53,53,53,53,Krishnaji,40.33414000000001,47.08427500000001,6.750135
54,54,54,54,Rakesh,40.884151,47.08427500000001,6.2001240000000095
55,55,55,55,Kabir Khan,41.38416100000001,47.08427500000001,5.700113999999999
56,56,56,56,Soimoi Kerketa,43.750875,47.08427500000001,3.333400000000012
57,57,57,57,Molly Zimik,43.750875,47.08427500000001,3.333400000000012
58,58,58,58,Rani Dispotta,43.76754200000001,47.08427500000001,3.316733
59,59,59,59,Nichola Sequiera,43.800876,47.08427500000001,3.283399000000009
60,60,60,60,Raynia Fernandes,43.817543,47.08427500000001,3.266732000000012
61,61,61,61,Rachna Prasad,43.850877,47.08427500000001,3.233398000000008
62,62,62,62,Aliya Bose,47.08427500000001,59.03451400000001,11.950238999999995
63,63,63,63,Bindia Naik,47.08427500000001,59.03451400000001,11.950238999999995
64,64,64,64,Nichola Sequiera,47.33428000000001,59.03451400000001,11.700234000000002
65,65,65,65,Balbir Kaur,47.33428000000001,59.03451400000001,11.700234000000002
