,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Siddharth Sinha,3.5834050000000004,9.700194000000002,6.1167890000000025
1,1,1,1,Doctor at Lilavati,3.983413000000001,9.700194000000002,5.716781000000001
2,2,2,2,Sameer,4.866764000000001,9.700194000000002,4.833430000000001
3,3,3,3,Akash Malhotra,5.966786000000001,9.700194000000002,3.7334080000000007
4,4,4,4,Sid's Mother,7.50015,9.700194000000002,2.200044000000002
5,5,5,5,Sameer,9.716861000000002,22.233778,12.516917
6,6,6,6,Siddharth Sinha,10.0002,22.233778,12.233578
7,7,7,7,Deepa,12.016907000000002,22.233778,10.216871000000001
8,8,8,8,Akash Malhotra,12.066908000000002,22.233778,10.16687
9,9,9,9,Priya,12.100242,22.233778,10.133536
10,10,10,10,nt0734066,13.216931,22.233778,9.016847
11,11,11,11,nt0175435,14.050281000000002,22.233778,8.183497000000001
12,12,12,12,Shalini,14.683627,22.233778,7.550151000000001
13,13,13,13,Shalini's friend 1,14.683627,22.233778,7.550151000000001
14,14,14,14,nt0368236,20.283739,22.233778,1.9500390000000003
15,15,15,15,Shalini,22.31711300000001,24.850497,2.533383999999991
16,16,16,16,Akash Malhotra,22.31711300000001,24.850497,2.533383999999991
17,17,17,17,Shalini's friend 1,22.333779999999997,24.850497,2.516717
18,18,18,18,Shalini's friend 2,22.333779999999997,24.850497,2.516717
19,19,19,19,Sameer,23.800476000000003,24.850497,1.0500209999999974
20,20,20,20,Siddharth Sinha,23.800476000000003,24.850497,1.0500209999999974
21,21,21,21,Priya,23.800476000000003,24.850497,1.0500209999999974
22,22,22,22,Rohit,23.867144000000003,24.850497,0.9833529999999976
23,23,23,23,Sameer,24.867164,37.534084,12.666919999999998
24,24,24,24,Priya,24.867164,37.534084,12.666919999999998
25,25,25,25,Akash Malhotra,26.333859999999998,37.534084,11.200224
26,26,26,26,Siddharth Sinha,26.517197000000003,37.534084,11.016886999999995
27,27,27,27,nt0897403,28.133896000000004,37.534084,9.400187999999996
28,28,28,28,Tara Jaiswal,30.850617000000003,37.534084,6.683466999999998
29,29,29,29,nt0175434,33.16733,37.534084,4.366754
30,30,30,30,Sid's Mother,34.050681000000004,37.534084,3.483402999999996
31,31,31,31,Sameer,37.534084,48.634306,11.100222000000002
32,32,32,32,Akash Malhotra,37.584084999999995,48.634306,11.050221
33,33,33,33,nt0472437,38.40076800000001,48.634306,10.233537999999996
34,34,34,34,Siddharth Sinha,39.300785999999995,48.634306,9.33352
35,35,35,35,Deepa,41.600832,48.634306,7.033473999999997
36,36,36,36,Deepa's friend 1,41.600832,48.634306,7.033473999999997
37,37,37,37,Deepa's friend in hotel lobby in Goa,41.600832,48.634306,7.033473999999997
38,38,38,38,Kristine,42.90085800000001,48.634306,5.7334479999999965
39,39,39,39,Kristine's friend,42.90085800000001,48.634306,5.7334479999999965
40,40,40,40,Deepa,48.634306,56.234458,7.600151999999994
41,41,41,41,Siddharth Sinha,48.65097300000001,56.234458,7.583484999999987
42,42,42,42,Akash Malhotra,51.03435400000001,56.234458,5.200103999999988
43,43,43,43,Sameer,51.03435400000001,56.234458,5.200103999999988
44,44,44,44,nt0175564,51.16769000000001,56.234458,5.066767999999988
45,45,45,45,Tara Jaiswal,52.601052,56.234458,3.6334059999999937
46,46,46,46,Esha; Tara's Daughter,52.917725,56.234458,3.316733
47,47,47,47,Akash's Mother,56.234458,64.734628,8.500170000000004
48,48,48,48,Akash's Father,56.234458,64.734628,8.500170000000004
49,49,49,49,Akash Malhotra,56.234458,64.734628,8.500170000000004
50,50,50,50,nt0897404,57.11780900000001,64.734628,7.616818999999992
51,51,51,51,Sameer's Mother,58.084495,64.734628,6.650133000000004
52,52,52,52,Siddharth Sinha,58.65117300000001,64.734628,6.083454999999994
53,53,53,53,Sameer,58.71784100000001,64.734628,6.016786999999994
54,54,54,54,Kristine,59.63452600000001,64.734628,5.1001019999999935
55,55,55,55,Sid's Mother,62.201243999999996,64.734628,2.533383999999998
56,56,56,56,Mr. Shankaran,62.28457900000001,64.734628,2.4500489999999933
57,57,57,57,Tara Jaiswal,62.851257,64.734628,1.8833710000000041
58,58,58,58,Siddharth Sinha,64.78462900000001,74.634826,9.850196999999994
59,59,59,59,Tara Jaiswal,64.83463,74.634826,9.800196000000001
60,60,60,60,Sameer,69.71806099999999,74.634826,4.916765000000012
61,61,61,61,Sameer's Mother,69.734728,74.634826,4.900098000000002
62,62,62,62,Pooja's Father,69.78472900000001,74.634826,4.850096999999991
63,63,63,63,Sameer's Father,69.78472900000001,74.634826,4.850096999999991
64,64,64,64,Pooja's Mother,69.81806300000001,74.634826,4.8167629999999955
65,65,65,65,Pooja,70.53474399999998,74.634826,4.100082000000029
66,66,66,66,Akash Malhotra,71.53476400000002,74.634826,3.10006199999998
67,67,67,67,nt0175439,72.284779,74.634826,2.3500470000000035
68,68,68,68,Tara Jaiswal,74.651493,84.90169800000002,10.250205000000024
69,69,69,69,Siddharth Sinha,74.651493,84.90169800000002,10.250205000000024
70,70,70,70,Akash Malhotra,78.768242,84.90169800000002,6.133456000000024
71,71,71,71,Sameer,78.768242,84.90169800000002,6.133456000000024
72,72,72,72,Guitarist at Ambassador Rooftop,78.83491000000002,84.90169800000002,6.0667880000000025
73,73,73,73,nt0581839,81.48496300000002,84.90169800000002,3.4167350000000027
74,74,74,74,nt0175438,82.13497600000002,84.90169800000002,2.766722000000001
75,75,75,75,Sameer,84.968366,93.718541,8.750174999999999
76,76,76,76,Siddharth Sinha,84.968366,93.718541,8.750174999999999
77,77,77,77,Akash Malhotra,85.73504799999998,93.718541,7.983493000000024
78,78,78,78,Sid's Mother,87.01840700000002,93.718541,6.700133999999977
79,79,79,79,Akash's Father,87.68508700000002,93.718541,6.033453999999978
