,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Pluto,0.8666840000000001,1.9167049999999999,1.0500209999999999
1,1,1,1,Neelam Mehra,1.6667,1.9167049999999999,0.25000500000000003
2,2,2,2,Kamal Mehra,1.933372,9.533524000000002,7.600152000000001
3,3,3,3,Lalit Sood,1.933372,9.533524000000002,7.600152000000001
4,4,4,4,Jamaal Hashmi,1.933372,9.533524000000002,7.600152000000001
5,5,5,5,Neelam Mehra,3.1333960000000003,9.533524000000002,6.400128000000001
6,6,6,6,Anju Chopra,3.683407,9.533524000000002,5.850117000000003
7,7,7,7,Vandana Khanna,3.683407,9.533524000000002,5.850117000000003
8,8,8,8,Ayesha Mehra,4.466756,9.533524000000002,5.0667680000000015
9,9,9,9,Kabir Mehra,5.866784000000001,9.533524000000002,3.6667400000000008
10,10,10,10,Dharmpala,6.683467,9.533524000000002,2.8500570000000014
11,11,11,11,Prem Mehra,6.866804000000001,9.533524000000002,2.6667200000000006
12,12,12,12,Amrish Gill,6.866804000000001,9.533524000000002,2.6667200000000006
13,13,13,13,Ayesha Mehra,9.583525000000002,12.083575000000002,2.50005
14,14,14,14,Manav,9.600192000000002,12.083575000000002,2.4833830000000003
15,15,15,15,Manav's mother,9.600192000000002,12.083575000000002,2.4833830000000003
16,16,16,16,Kabir Mehra,9.600192000000002,12.083575000000002,2.4833830000000003
17,17,17,17,Nitya,9.600192000000002,12.083575000000002,2.4833830000000003
18,18,18,18,Pluto,11.633566000000002,12.083575000000002,0.4500089999999997
19,19,19,19,Neelam Mehra,12.116909,17.033673999999998,4.916764999999998
20,20,20,20,Kabir Mehra,12.116909,17.033673999999998,4.916764999999998
21,21,21,21,Kamal Mehra,13.800276000000002,17.033673999999998,3.233397999999996
22,22,22,22,Housekeeper 1,14.133616000000002,17.033673999999998,2.900057999999996
23,23,23,23,Prem Mehra,17.050341000000003,18.300366,1.2500249999999973
24,24,24,24,Kamal Mehra,17.067007999999998,18.300366,1.2333580000000026
25,25,25,25,Amrish Gill,17.067007999999998,18.300366,1.2333580000000026
26,26,26,26,Neelam Mehra,18.300366,21.017087000000004,2.716721000000004
27,27,27,27,Kamal Mehra,18.350367,21.017087000000004,2.666720000000001
28,28,28,28,Ayesha Mehra,21.050421000000004,26.083855000000003,5.033434
29,29,29,29,Putlu Mehra,21.050421000000004,26.083855000000003,5.033434
30,30,30,30,Manav,21.167089999999998,26.083855000000003,4.916765000000002
31,31,31,31,Neelam Mehra,21.167089999999998,26.083855000000003,4.916765000000002
32,32,32,32,Kamal Mehra,21.167089999999998,26.083855000000003,4.916765000000002
33,33,33,33,Pluto,21.167089999999998,26.083855000000003,4.916765000000002
34,34,34,34,Kabir Mehra,21.167089999999998,26.083855000000003,4.916765000000002
35,35,35,35,Prem Mehra,21.350427000000003,26.083855000000003,4.733428
36,36,36,36,Jamaal Hashmi,21.350427000000003,26.083855000000003,4.733428
37,37,37,37,Anju Chopra,21.483763000000003,26.083855000000003,4.600092
38,38,38,38,Nitya,21.783769000000003,26.083855000000003,4.300086
39,39,39,39,Amrish Gill,22.50045,26.083855000000003,3.5834050000000026
40,40,40,40,Naina Sood,22.950459,26.083855000000003,3.1333960000000047
41,41,41,41,Lalit Sood,22.950459,26.083855000000003,3.1333960000000047
42,42,42,42,Nuri Sood,22.950459,26.083855000000003,3.1333960000000047
43,43,43,43,Naina Sood,22.950459,26.083855000000003,3.1333960000000047
44,44,44,44,Vinod Khanna,23.967146000000003,26.083855000000003,2.116709
45,45,45,45,Manav's mother,23.983813,26.083855000000003,2.100042000000002
46,46,46,46,Vandana Khanna,24.100482000000003,26.083855000000003,1.9833730000000005
47,47,47,47,Anju Chopra,26.083855000000003,30.700614,4.616758999999998
48,48,48,48,Neelam Mehra,26.083855000000003,30.700614,4.616758999999998
49,49,49,49,Manav,26.117189000000003,30.700614,4.583424999999998
50,50,50,50,Ayesha Mehra,26.117189000000003,30.700614,4.583424999999998
51,51,51,51,Jamaal Hashmi,26.150523000000003,30.700614,4.550090999999998
52,52,52,52,Kamal Mehra,26.167189999999998,30.700614,4.533424
53,53,53,53,Vinod Khanna,26.167189999999998,30.700614,4.533424
54,54,54,54,Prem Mehra,26.167189999999998,30.700614,4.533424
55,55,55,55,Amrish Gill,26.167189999999998,30.700614,4.533424
56,56,56,56,Nuri Sood,26.167189999999998,30.700614,4.533424
57,57,57,57,Vandana Khanna,26.167189999999998,30.700614,4.533424
