,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Aryan Khanna,0.66668,4.0500810000000005,3.3834010000000005
1,1,1,1,Gaurav Chandna,0.816683,4.0500810000000005,3.2333979999999998
2,2,2,2,Young Gaurav,1.2666920000000002,4.0500810000000005,2.783389000000001
3,3,3,3,Gaurav's mother,1.316693,4.0500810000000005,2.7333880000000006
4,4,4,4,Gaurav's Father,2.9500590000000004,4.0500810000000005,1.1000219999999998
5,5,5,5,Aryan Khanna,4.0667480000000005,8.766842,4.700094
6,6,6,6,Gaurav Chandna,4.0667480000000005,8.766842,4.700094
7,7,7,7,Cyber Chat Boy 2,4.350087,8.766842,4.416755
8,8,8,8,Cyber Chat Boy 1,4.350087,8.766842,4.416755
9,9,9,9,Neha,4.700094,8.766842,4.0667480000000005
10,10,10,10,Cyber Chat Customer 1,6.1334560000000025,8.766842,2.633385999999998
11,11,11,11,Cyber Chat Customer 2,6.1334560000000025,8.766842,2.633385999999998
12,12,12,12,Cyber Chat Customer 3,6.1334560000000025,8.766842,2.633385999999998
13,13,13,13,Aryan Khanna,8.866844,16.883671000000003,8.016827000000003
14,14,14,14,Gaurav Chandna,8.866844,16.883671000000003,8.016827000000003
15,15,15,15,Gaurav's mother,8.866844,16.883671000000003,8.016827000000003
16,16,16,16,Gaurav's Father,8.900178,16.883671000000003,7.983493000000002
17,17,17,17,Neha,11.150223,16.883671000000003,5.733448000000003
18,18,18,18,Gaurav Chandna,16.933672,19.150382999999998,2.216711
19,19,19,19,Gaurav's mother,16.950339000000003,19.150382999999998,2.2000439999999983
20,20,20,20,Gaurav's Father,17.000339999999998,19.150382999999998,2.150043000000004
21,21,21,21,Aryan Khanna,17.50035,19.150382999999998,1.6500330000000003
22,22,22,22,Neha,18.467036,19.150382999999998,0.6833470000000013
23,23,23,23,Gaurav Chandna,19.150382999999998,22.83379,3.683406999999999
24,24,24,24,Officer on Train,19.233718000000003,22.83379,3.6000719999999973
25,25,25,25,Pantry Man,19.917065,22.83379,2.916725
26,26,26,26,Gaurav Chandna,22.983793,30.067268,7.083475
27,27,27,27,Aryan Khanna,24.117148999999998,30.067268,5.950118999999997
28,28,28,28,Aryan's House Security Guard 1,25.467176,30.067268,4.6000919999999965
29,29,29,29,Aryan Khanna,30.083935000000004,32.25064500000001,2.166710000000009
30,30,30,30,Sid Kapoor,30.150603000000004,32.25064500000001,2.100042000000009
31,31,31,31,Gaurav Chandna,30.367274,32.25064500000001,1.8833710000000143
32,32,32,32,Sid Kapoor,32.300646,38.650773,6.3501270000000005
33,33,33,33,Gaurav Chandna,32.767322,38.650773,5.883451000000001
34,34,34,34,Aryan Khanna's Wife,36.88407100000001,38.650773,1.766701999999988
35,35,35,35,Dhruv Khanna,36.88407100000001,38.650773,1.766701999999988
36,36,36,36,Aryan Khanna,36.900738,38.650773,1.7500350000000042
37,37,37,37,Isha Khanna,36.900738,38.650773,1.7500350000000042
38,38,38,38,Dainik Samachar Reporter 1,38.167429999999996,38.650773,0.4833429999999978
39,39,39,39,Aryan Khanna,38.650773,47.35094700000001,8.700174000000011
40,40,40,40,Aryan Khanna's Wife,38.667440000000006,47.35094700000001,8.683507000000006
41,41,41,41,Aryan Khanna's Legal Advisor,38.917445,47.35094700000001,8.433502000000011
42,42,42,42,Gaurav Chandna,39.084115,47.35094700000001,8.266832000000008
43,43,43,43,Sid Kapoor,39.150783,47.35094700000001,8.200164000000008
44,44,44,44,Gaurav's mother,41.800836,47.35094700000001,5.5501110000000144
45,45,45,45,Gaurav's Father,41.884171,47.35094700000001,5.466776000000008
46,46,46,46,Aryan Khanna,47.46761600000001,57.534484000000006,10.066868
47,47,47,47,Gaurav Chandna,47.53428400000001,57.534484000000006,10.0002
48,48,48,48,Gaurav Chandna,57.534484000000006,61.51789700000001,3.9834130000000068
49,49,49,49,Neha,57.85115700000001,61.51789700000001,3.666740000000004
50,50,50,50,Gaurav's Father,58.16783,61.51789700000001,3.350067000000009
51,51,51,51,Gaurav's mother,58.16783,61.51789700000001,3.350067000000009
52,52,52,52,Aryan Khanna,61.95123900000001,66.91800500000001,4.966766000000002
53,53,53,53,Gaurav Chandna,61.95123900000001,66.91800500000001,4.966766000000002
54,54,54,54,Kid In Madame Tussauds,63.48460300000001,66.91800500000001,3.4334020000000014
55,55,55,55,Security,63.851277,66.91800500000001,3.066728000000005
56,56,56,56,Madame Tussauds Security 4 (Action Extra),63.96794600000001,66.91800500000001,2.950058999999996
57,57,57,57,Arresting Police Officer Sgt646,66.984673,74.96816600000002,7.983493000000024
58,58,58,58,Aryan Khanna,67.03467400000001,74.96816600000002,7.933492000000013
59,59,59,59,Aryan Khanna's Legal Advisor,67.16801000000001,74.96816600000002,7.8001560000000145
60,60,60,60,Gaurav Chandna,68.551371,74.96816600000002,6.416795000000023
61,61,61,61,Aryan Khanna's Legal Advisor,74.96816600000002,85.485043,10.516876999999981
62,62,62,62,Akhtar,74.96816600000002,85.485043,10.516876999999981
63,63,63,63,Aryan Khanna,74.96816600000002,85.485043,10.516876999999981
64,64,64,64,Gaurav Chandna,75.83485,85.485043,9.650193000000002
65,65,65,65,Mr. Bhutiani,79.134916,85.485043,6.3501270000000005
66,66,66,66,Gaurav Chandna,85.485043,93.318533,7.833489999999998
67,67,67,67,Bhutiani's Friend 1,85.53504400000001,93.318533,7.783488999999987
68,68,68,68,Mrs. Bhutiani,85.53504400000001,93.318533,7.783488999999987
69,69,69,69,Aryan Khanna's Legal Advisor,86.018387,93.318533,7.300145999999998
70,70,70,70,Aryan Khanna,86.08505500000004,93.318533,7.233477999999963
71,71,71,71,Mr. Bhutiani,87.55175100000002,93.318533,5.766781999999977
72,72,72,72,Aryan Khanna,93.3352,99.785329,6.450129000000004
73,73,73,73,Aryan Khanna's Legal Advisor,93.851877,99.785329,5.933452000000003
74,74,74,74,Gaurav Chandna,95.218571,99.785329,4.566758000000006
