,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Bhola,0.8000160000000001,2.233378,1.433362
1,1,1,1,Bhola,2.3833810000000004,14.933632,12.550251
2,2,2,2,Sunita,2.616719,14.933632,12.316913
3,3,3,3,Murari,6.4667959999999995,14.933632,8.466836
4,4,4,4,Astha,8.533503999999999,14.933632,6.400128000000002
5,5,5,5,Preeti,9.533524000000002,14.933632,5.400108
6,6,6,6,Payal,10.66688,14.933632,4.266751999999999
7,7,7,7,Badri,11.866904000000002,14.933632,3.0667279999999995
8,8,8,8,Bhola,14.933632,27.300546000000004,12.366914000000005
9,9,9,9,Murari,15.283639,27.300546000000004,12.016907000000005
10,10,10,10,Sunita,16.783669000000003,27.300546000000004,10.516877
11,11,11,11,Chanda,19.167050000000003,27.300546000000004,8.133496000000001
12,12,12,12,Item Girl,20.533744,27.300546000000004,6.7668020000000055
13,13,13,13,Bhola,27.300546000000004,43.18419700000001,15.883651000000008
14,14,14,14,Shraddha,27.367214000000004,43.18419700000001,15.816983000000008
15,15,15,15,Murari,28.250565,43.18419700000001,14.93363200000001
16,16,16,16,Inspector,28.283898999999998,43.18419700000001,14.90029800000001
17,17,17,17,Sunita,30.700614,43.18419700000001,12.48358300000001
18,18,18,18,Chanda,41.600832,43.18419700000001,1.5833650000000077
19,19,19,19,Dulare,41.6675,43.18419700000001,1.5166970000000148
20,20,20,20,Bhola,43.200864,59.751194999999996,16.550331
21,21,21,21,Murari,43.200864,59.751194999999996,16.550331
22,22,22,22,Mala,45.200904,59.751194999999996,14.550291
23,23,23,23,Dulare,48.634306,59.751194999999996,11.116889
24,24,24,24,Chanda,49.58432500000001,59.751194999999996,10.166869999999996
25,25,25,25,Inspector,52.717721,59.751194999999996,7.0334740000000044
26,26,26,26,Shraddha,52.734388,59.751194999999996,7.016807000000001
27,27,27,27,Sunita,52.734388,59.751194999999996,7.016807000000001
28,28,28,28,Murari,59.784529000000006,74.71816100000002,14.933632000000017
29,29,29,29,Bhola,59.83453000000001,74.71816100000002,14.883631000000017
30,30,30,30,Chandani,61.35122700000001,74.71816100000002,13.366934000000017
31,31,31,31,Chandani's husband,65.801316,74.71816100000002,8.916845000000023
32,32,32,32,Young Bhola,69.28471900000001,74.71816100000002,5.433442000000013
33,33,33,33,Shrishti,69.55139100000001,74.71816100000002,5.166770000000014
34,34,34,34,Dulare,72.43478200000001,74.71816100000002,2.2833790000000107
35,35,35,35,Murari,74.71816100000002,88.018427,13.300265999999981
36,36,36,36,Bhola,74.71816100000002,88.018427,13.300265999999981
37,37,37,37,Payal,76.20152399999998,88.018427,11.816903000000027
38,38,38,38,Badri,77.551551,88.018427,10.466876
39,39,39,39,Chanda,79.50159000000002,88.018427,8.516836999999981
40,40,40,40,Preeti,85.901718,88.018427,2.116709
41,41,41,41,Bhola,88.118429,102.66872,14.550290999999987
42,42,42,42,Murari,88.118429,102.66872,14.550290999999987
43,43,43,43,Astha,89.23511800000001,102.66872,13.433601999999981
44,44,44,44,Preeti,91.418495,102.66872,11.250225
45,45,45,45,Dulare,91.585165,102.66872,11.08355499999999
46,46,46,46,Payal,93.718541,102.66872,8.950178999999991
47,47,47,47,Chanda,95.568578,102.66872,7.100141999999992
48,48,48,48,Badri,99.118649,102.66872,3.5500709999999884
49,49,49,49,Murari,102.702054,115.65231299999999,12.950259000000004
50,50,50,50,Chanda,102.702054,115.65231299999999,12.950259000000004
51,51,51,51,Astha,102.702054,115.65231299999999,12.950259000000004
52,52,52,52,Preeti,102.702054,115.65231299999999,12.950259000000004
53,53,53,53,Payal,102.81872299999999,115.65231299999999,12.83359
54,54,54,54,Shraddha,102.935392,115.65231299999999,12.716921000000001
55,55,55,55,Sunita,102.935392,115.65231299999999,12.716921000000001
56,56,56,56,Inspector,103.302066,115.65231299999999,12.35024700000001
57,57,57,57,Bhola,103.718741,115.65231299999999,11.933571999999998
58,58,58,58,Badri,107.21881100000002,115.65231299999999,8.43350199999999
