,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Freaky Ali,2.866724,6.50013,3.633406
1,1,1,1,Old Man Customer,3.650073,6.50013,2.850057
2,2,2,2,Fat Kid,4.366754,6.50013,2.1333759999999997
3,3,3,3,Pehelwan,5.600112,6.50013,0.9000180000000002
4,4,4,4,Freaky Ali,6.5834649999999995,15.433642,8.850177
5,5,5,5,Maqsood,7.233478000000002,15.433642,8.200163999999997
6,6,6,6,Danger Bhai,7.50015,15.433642,7.933492000000001
7,7,7,7,Jojo,7.750155,15.433642,7.683486999999999
8,8,8,8,Fakru,8.066828000000001,15.433642,7.366814
9,9,9,9,Kidnapped Old Man,8.083495000000001,15.433642,7.350147
10,10,10,10,Maharani,9.733528000000002,15.433642,5.700113999999999
11,11,11,11,Aquaguard Executive,11.566898000000002,15.433642,3.866743999999999
12,12,12,12,NGO Man,12.216911,15.433642,3.216731000000001
13,13,13,13,Danger Bhai,15.433642,19.167050000000003,3.7334080000000025
14,14,14,14,Fakru,15.433642,19.167050000000003,3.7334080000000025
15,15,15,15,Maqsood,15.550310999999999,19.167050000000003,3.6167390000000026
16,16,16,16,Freaky Ali,15.550310999999999,19.167050000000003,3.6167390000000026
17,17,17,17,Babu,15.683647,19.167050000000003,3.4834030000000027
18,18,18,18,Basti Old Man,16.166990000000002,19.167050000000003,3.0000600000000013
19,19,19,19,Mohalla kid,16.433661999999998,19.167050000000003,2.7333880000000046
20,20,20,20,Mohalla Kid,16.516997,19.167050000000003,2.6500530000000038
21,21,21,21,Maqsood,19.167050000000003,24.63382600000001,5.466776000000007
22,22,22,22,Sulbha,19.167050000000003,24.63382600000001,5.466776000000007
23,23,23,23,Freaky Ali,19.333720000000003,24.63382600000001,5.300106000000007
24,24,24,24,Kishan Lal,20.417075,24.63382600000001,4.216751000000009
25,25,25,25,Bride,20.450409,24.63382600000001,4.183417000000009
26,26,26,26,Bride's Father,20.450409,24.63382600000001,4.183417000000009
27,27,27,27,Basti Old Man,21.617099000000003,24.63382600000001,3.0167270000000066
28,28,28,28,Pehelwan,22.550451,24.63382600000001,2.083375000000008
29,29,29,29,Fat Kid,22.550451,24.63382600000001,2.083375000000008
30,30,30,30,Maqsood,24.66716000000001,30.667279999999998,6.000119999999992
31,31,31,31,Freaky Ali,24.66716000000001,30.667279999999998,6.000119999999992
32,32,32,32,Basti Old Man,25.783849000000004,30.667279999999998,4.883430999999998
33,33,33,33,Singhaniya,25.950519000000003,30.667279999999998,4.716760999999998
34,34,34,34,Kishan Lal,30.483943000000004,30.667279999999998,0.18333699999999808
35,35,35,35,Freaky Ali,30.700614,34.017346999999994,3.3167329999999917
36,36,36,36,Sulbha,30.733947999999998,34.017346999999994,3.2833989999999917
37,37,37,37,Kishan Lal,30.750615000000003,34.017346999999994,3.2667319999999904
38,38,38,38,Basti Old Man,30.867284,34.017346999999994,3.1500629999999923
39,39,39,39,Sulbha,34.050681000000004,42.30084600000001,8.250165000000003
40,40,40,40,Freaky Ali,34.067347999999996,42.30084600000001,8.233498000000004
41,41,41,41,Maqsood,34.33402,42.30084600000001,7.966826000000005
42,42,42,42,Kishan Lal,35.384040999999996,42.30084600000001,6.916805000000004
43,43,43,43,Babu,35.517377,42.30084600000001,6.783469000000004
44,44,44,44,Megha,37.95075900000001,42.30084600000001,4.350086999999995
45,45,45,45,Vikram Rathod,37.984093,42.30084600000001,4.3167530000000065
46,46,46,46,Vikram's Caddy,38.050761,42.30084600000001,4.2500850000000066
47,47,47,47,Kishan Lal,42.30084600000001,47.167609999999996,4.866763999999995
48,48,48,48,Freaky Ali,42.30084600000001,47.167609999999996,4.866763999999995
49,49,49,49,Maqsood,42.30084600000001,47.167609999999996,4.866763999999995
50,50,50,50,Aditi,45.467576,47.167609999999996,1.7000340000000025
51,51,51,51,Danger Bhai,46.584265,47.167609999999996,0.5833450000000013
52,52,52,52,Megha,46.634266,47.167609999999996,0.5333440000000067
53,53,53,53,Vikram Rathod,47.01760700000001,47.167609999999996,0.150002999999991
54,54,54,54,Fakru,47.21761100000001,54.517756999999996,7.300145999999992
55,55,55,55,Danger Bhai,47.28427900000001,54.517756999999996,7.233477999999992
56,56,56,56,Kidnapped Old Man,47.434282,54.517756999999996,7.083475
57,57,57,57,Aditi,49.00098000000001,54.517756999999996,5.516776999999991
58,58,58,58,Freaky Ali,49.017647,54.517756999999996,5.500110000000007
59,59,59,59,Maqsood,49.300986,54.517756999999996,5.216771000000001
60,60,60,60,Vikram Rathod,49.634326,54.517756999999996,4.883431000000002
61,61,61,61,Megha,49.634326,54.517756999999996,4.883431000000002
62,62,62,62,Maqsood,54.60109200000001,57.25114500000001,2.650053
63,63,63,63,Freaky Ali,54.60109200000001,57.25114500000001,2.650053
64,64,64,64,Aditi,54.60109200000001,57.25114500000001,2.650053
65,65,65,65,Vikram Rathod,54.80109600000001,57.25114500000001,2.4500490000000004
66,66,66,66,Kishan Lal,54.93443200000001,57.25114500000001,2.316713
67,67,67,67,Megha,54.951099000000006,57.25114500000001,2.3000460000000023
68,68,68,68,Maharani,56.06778800000001,57.25114500000001,1.1833570000000009
69,69,69,69,Maharani,57.25114500000001,60.98455300000001,3.733408000000004
70,70,70,70,Megha,57.25114500000001,60.98455300000001,3.733408000000004
71,71,71,71,Aditi,57.25114500000001,60.98455300000001,3.733408000000004
72,72,72,72,Maqsood,57.334480000000006,60.98455300000001,3.6500730000000066
73,73,73,73,Freaky Ali,57.334480000000006,60.98455300000001,3.6500730000000066
74,74,74,74,Vikram Rathod,57.417815,60.98455300000001,3.5667380000000084
75,75,75,75,Kishan Lal,58.684506999999996,60.98455300000001,2.3000460000000094
76,76,76,76,Sulbha,61.03455400000001,67.83469000000001,6.800136000000002
77,77,77,77,Basti Old Man,61.03455400000001,67.83469000000001,6.800136000000002
78,78,78,78,Mohalla kid,61.11788900000001,67.83469000000001,6.716800999999998
79,79,79,79,Maqsood,61.967906000000006,67.83469000000001,5.866784000000003
80,80,80,80,Freaky Ali,61.967906000000006,67.83469000000001,5.866784000000003
81,81,81,81,Kishan Lal,61.967906000000006,67.83469000000001,5.866784000000003
82,82,82,82,Megha,61.967906000000006,67.83469000000001,5.866784000000003
83,83,83,83,Kidnapped Old Man,63.88461100000001,67.83469000000001,3.9500790000000015
84,84,84,84,Danger Bhai,63.88461100000001,67.83469000000001,3.9500790000000015
85,85,85,85,Babu,63.88461100000001,67.83469000000001,3.9500790000000015
86,86,86,86,Fakru,64.351287,67.83469000000001,3.4834030000000094
87,87,87,87,Megha,67.83469000000001,74.41815500000001,6.583465000000004
88,88,88,88,Kishan Lal,67.83469000000001,74.41815500000001,6.583465000000004
89,89,89,89,Freaky Ali,67.83469000000001,74.41815500000001,6.583465000000004
90,90,90,90,Maqsood,68.10136200000001,74.41815500000001,6.316793000000002
91,91,91,91,Danger Bhai,68.21803100000001,74.41815500000001,6.200124000000002
92,92,92,92,Fakru,68.26803199999999,74.41815500000001,6.150123000000023
93,93,93,93,Kidnapped Old Man,68.418035,74.41815500000001,6.00012000000001
94,94,94,94,Babu,68.418035,74.41815500000001,6.00012000000001
95,95,95,95,Jojo,68.418035,74.41815500000001,6.00012000000001
96,96,96,96,Sulbha,70.31807300000001,74.41815500000001,4.100082
97,97,97,97,Vikram Rathod,71.01808700000002,74.41815500000001,3.4000679999999903
98,98,98,98,Danger Bhai,74.41815500000001,75.40150799999998,0.9833529999999656
99,99,99,99,Maqsood,74.41815500000001,75.40150799999998,0.9833529999999656
100,100,100,100,Vikram Rathod,75.434842,79.96826600000001,4.533424000000012
101,101,101,101,Maqsood,75.88485100000003,79.96826600000001,4.083414999999988
102,102,102,102,Freaky Ali,75.88485100000003,79.96826600000001,4.083414999999988
103,103,103,103,Kishan Lal,75.88485100000003,79.96826600000001,4.083414999999988
104,104,104,104,Megha,75.88485100000003,79.96826600000001,4.083414999999988
105,105,105,105,Danger Bhai,79.46825600000003,79.96826600000001,0.5000099999999891
106,106,106,106,Maqsood,80.01826700000002,83.01832700000001,3.00005999999999
107,107,107,107,Kishan Lal,80.051601,83.01832700000001,2.9667260000000084
108,108,108,108,Inspector,80.984953,83.01832700000001,2.033374000000009
109,109,109,109,Freaky Ali,81.16829000000001,83.01832700000001,1.8500370000000004
110,110,110,110,Megha,81.384961,83.01832700000001,1.6333660000000094
111,111,111,111,Vikram Rathod,83.01832700000001,86.71840100000001,3.7000740000000008
112,112,112,112,Maqsood,83.15166300000001,86.71840100000001,3.5667380000000013
113,113,113,113,Freaky Ali,83.15166300000001,86.71840100000001,3.5667380000000013
114,114,114,114,Megha,83.251665,86.71840100000001,3.466736000000012
115,115,115,115,Danger Bhai,85.651713,86.71840100000001,1.0666880000000134
116,116,116,116,Babu,85.651713,86.71840100000001,1.0666880000000134
117,117,117,117,Jojo,85.651713,86.71840100000001,1.0666880000000134
118,118,118,118,Freaky Ali,86.71840100000001,89.65179300000001,2.9333919999999982
119,119,119,119,Maqsood,86.71840100000001,89.65179300000001,2.9333919999999982
120,120,120,120,Sulbha,86.71840100000001,89.65179300000001,2.9333919999999982
121,121,121,121,Megha,86.75173500000002,89.65179300000001,2.9000579999999867
122,122,122,122,Mohalla kid,88.03509400000002,89.65179300000001,1.6166989999999968
123,123,123,123,Mohalla Kid,88.03509400000002,89.65179300000001,1.6166989999999968
124,124,124,124,Kishan Lal,88.70177400000001,89.65179300000001,0.9500189999999976
125,125,125,125,Vikram Rathod,89.65179300000001,92.635186,2.9833929999999924
126,126,126,126,Freaky Ali,89.80179600000002,92.635186,2.8333899999999796
127,127,127,127,Kishan Lal,89.80179600000002,92.635186,2.8333899999999796
128,128,128,128,Maqsood,92.285179,92.635186,0.35000700000000506
129,129,129,129,Danger Bhai,92.285179,92.635186,0.35000700000000506
130,130,130,130,Freaky Ali,92.635186,98.985313,6.3501270000000005
131,131,131,131,Vikram Rathod,92.635186,98.985313,6.3501270000000005
132,132,132,132,Megha,94.635226,98.985313,4.350087000000002
133,133,133,133,Sulbha,94.735228,98.985313,4.250084999999999
134,134,134,134,Maqsood,94.735228,98.985313,4.250084999999999
135,135,135,135,Kishan Lal,94.735228,98.985313,4.250084999999999
136,136,136,136,Mohalla kid,94.735228,98.985313,4.250084999999999
137,137,137,137,Mohalla Kid,96.035254,98.985313,2.950058999999996
138,138,138,138,Basti Old Man,96.035254,98.985313,2.950058999999996
139,139,139,139,Vikram Rathod,99.01864700000002,116.268992,17.25034499999998
140,140,140,140,Danger Bhai,99.28531900000002,116.268992,16.983672999999982
141,141,141,141,Mohalla kid,99.868664,116.268992,16.400328000000002
142,142,142,142,Sulbha,100.102002,116.268992,16.16699
143,143,143,143,Maqsood,100.102002,116.268992,16.16699
144,144,144,144,Freaky Ali,100.102002,116.268992,16.16699
145,145,145,145,Kishan Lal,100.102002,116.268992,16.16699
146,146,146,146,Megha,100.102002,116.268992,16.16699
147,147,147,147,Mohalla Kid,100.102002,116.268992,16.16699
148,148,148,148,Basti Old Man,100.102002,116.268992,16.16699
149,149,149,149,Fakru,104.985433,116.268992,11.283558999999995
150,150,150,150,Kidnapped Old Man,104.985433,116.268992,11.283558999999995
151,151,151,151,Babu,104.985433,116.268992,11.283558999999995
152,152,152,152,Jojo,104.985433,116.268992,11.283558999999995
153,153,153,153,Bada bhai,105.0021,116.268992,11.266892
154,154,154,154,Aditi,115.95231900000002,116.268992,0.3166729999999802
