,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sardar Khan,3.400068,7.4168150000000015,4.016747000000001
1,1,1,1,Young Definite,3.400068,7.4168150000000015,4.016747000000001
2,2,2,2,Durga,3.5500710000000004,7.4168150000000015,3.866744000000001
3,3,3,3,Sultan,4.0667480000000005,7.4168150000000015,3.350067000000001
4,4,4,4,Faizal Khan,4.716761000000001,7.4168150000000015,2.7000540000000006
5,5,5,5,Fazlu,4.733428000000001,7.4168150000000015,2.6833870000000006
6,6,6,6,Nasir Ahmed,5.2001040000000005,7.4168150000000015,2.216711000000001
7,7,7,7,Danish Khan,5.2167710000000005,7.4168150000000015,2.200044000000001
8,8,8,8,Asgar Khan,5.3001059999999995,7.4168150000000015,2.116709000000001
9,9,9,9,Shama Parveen,5.33344,7.4168150000000015,2.083375000000001
10,10,10,10,J.P. Singh,9.583525000000002,28.000560000000004,18.417035
11,11,11,11,Young Definite,9.583525000000002,28.000560000000004,18.417035
12,12,12,12,Ramadhir Singh,9.583525000000002,28.000560000000004,18.417035
13,13,13,13,Shama Parveen,10.366874,28.000560000000004,17.633686000000004
14,14,14,14,Nagma Khatoon,10.400208,28.000560000000004,17.600351999999994
15,15,15,15,Asgar Khan,10.466876,28.000560000000004,17.533684000000004
16,16,16,16,Nasir Ahmed,10.466876,28.000560000000004,17.533684000000004
17,17,17,17,Danish Khan,10.466876,28.000560000000004,17.533684000000004
18,18,18,18,Faizal Khan,10.466876,28.000560000000004,17.533684000000004
19,19,19,19,Fazlu,11.483563,28.000560000000004,16.516997000000003
20,20,20,20,Sultan,15.766982000000002,28.000560000000004,12.233578
21,21,21,21,Guddu,17.417015000000006,28.000560000000004,10.583544999999996
22,22,22,22,SInger,18.433702,28.000560000000004,9.566858000000003
23,23,23,23,Mohsina,18.900378000000003,28.000560000000004,9.100182
24,24,24,24,Ehsaan Qureshi,19.267052000000003,28.000560000000004,8.733508
25,25,25,25,Mohsina,28.000560000000004,52.48438300000001,24.483823000000005
26,26,26,26,Faizal Khan,28.000560000000004,52.48438300000001,24.483823000000005
27,27,27,27,Nagma Khatoon,28.750575,52.48438300000001,23.73380800000001
28,28,28,28,Guddu,32.850657000000005,52.48438300000001,19.633726000000006
29,29,29,29,Ramadhir Singh,34.200684,52.48438300000001,18.283699000000006
30,30,30,30,Sultan,35.467376,52.48438300000001,17.017007000000007
31,31,31,31,J.P. Singh,35.467376,52.48438300000001,17.017007000000007
32,32,32,32,Shama Parveen,39.117449,52.48438300000001,13.366934000000008
33,33,33,33,Asgar Khan,41.71750100000001,52.48438300000001,10.766881999999995
34,34,34,34,Nasir Ahmed,41.71750100000001,52.48438300000001,10.766881999999995
35,35,35,35,Perpendicular,48.98431300000001,52.48438300000001,3.5000700000000013
36,36,36,36,Tangent,51.05102100000001,52.48438300000001,1.4333619999999954
37,37,37,37,Perpendicular,52.501050000000006,70.53474399999998,18.03369399999997
38,38,38,38,Nagma Khatoon,52.55105100000001,70.53474399999998,17.98369299999997
39,39,39,39,Mohsina,52.567718000000006,70.53474399999998,17.96702599999997
