,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Captain Fanelsa,2.283379,14.233618000000002,11.950239000000002
1,1,1,1,Imtiaz Shah,2.5500510000000003,14.233618000000002,11.683567000000002
2,2,2,2,Samrat,2.5500510000000003,14.233618000000002,11.683567000000002
3,3,3,3,Harvinder Singh,2.5500510000000003,14.233618000000002,11.683567000000002
4,4,4,4,Tapan Das,2.5833850000000003,14.233618000000002,11.650233000000002
5,5,5,5,Aman Singh,3.5334040000000004,14.233618000000002,10.700214
6,6,6,6,JAMES CULLEN,3.5667380000000004,14.233618000000002,10.66688
7,7,7,7,ASHLEY ROSE,4.0334140000000005,14.233618000000002,10.200204
8,8,8,8,INDIAN STUDENT2,4.150083,14.233618000000002,10.083535
9,9,9,9,INDIAN STUDENT1,4.150083,14.233618000000002,10.083535
10,10,10,10,1936 OLYMPICS ENGLISH COMMENTATOR,4.933432000000002,14.233618000000002,9.300186
11,11,11,11,1936 OLYMPICS INDIAN COMMENTATOR,5.1001020000000015,14.233618000000002,9.133516
12,12,12,12,Adolf Hitler,5.1834370000000005,14.233618000000002,9.050181000000002
13,13,13,13,Germany Team Captain,5.416775,14.233618000000002,8.816843000000002
14,14,14,14,Olympic Paramedic,10.383541,14.233618000000002,3.8500770000000006
15,15,15,15,Young Harshvardhan,14.416955000000002,27.750555,13.333599999999995
16,16,16,16,Young Raghubir,14.466956,27.750555,13.283599
17,17,17,17,Raghubir's Mother,14.600292,27.750555,13.150262999999995
18,18,18,18,Tapan Das,15.533644,27.750555,12.216910999999998
19,19,19,19,Raghubir Pratap Singh,16.050321,27.750555,11.700233999999998
20,20,20,20,Himmat Singh,16.116989,27.750555,11.633565999999998
21,21,21,21,Monobina Das,17.150343000000003,27.750555,10.600211999999997
22,22,22,22,Kirit,18.050361,27.750555,9.700194
23,23,23,23,Faizal,18.067028,27.750555,9.683526999999998
24,24,24,24,Great Dotto,18.133696,27.750555,9.616858999999998
