,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Himself,0.83335,56.58446500000001,55.75111500000001
1,1,1,1,Himself,0.983353,56.58446500000001,55.60111200000001
2,2,2,2,Herself,1.316693,56.58446500000001,55.26777200000001
3,3,3,3,Herself,2.866724,56.58446500000001,53.71774100000001
4,4,4,4,Herself,3.633406,56.58446500000001,52.95105900000001
5,5,5,5,Himself,9.516857000000002,56.58446500000001,47.06760800000001
6,6,6,6,Himself,9.516857000000002,56.58446500000001,47.06760800000001
7,7,7,7,Himself,9.966866,56.58446500000001,46.61759900000001
8,8,8,8,Himself,11.450229,56.58446500000001,45.13423600000001
9,9,9,9,Himself,11.850237000000002,56.58446500000001,44.73422800000001
10,10,10,10,Himself,12.133576,56.58446500000001,44.45088900000001
11,11,11,11,Himself,12.466916,56.58446500000001,44.11754900000001
12,12,12,12,Himself,19.500390000000003,56.58446500000001,37.08407500000001
13,13,13,13,Himself,19.583725,56.58446500000001,37.00074000000001
14,14,14,14,Himself,22.983793,56.58446500000001,33.60067200000001
15,15,15,15,Himself,22.983793,56.58446500000001,33.60067200000001
16,16,16,16,Herself,30.317273000000004,56.58446500000001,26.267192000000005
17,17,17,17,Himself,33.900678000000006,56.58446500000001,22.683787
18,18,18,18,Himself,42.83419000000001,56.58446500000001,13.750275000000002
