,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Hari Prasad,2.7167209999999997,15.833650000000002,13.116929000000004
1,1,1,1,Avni,5.350107,15.833650000000002,10.483543
2,2,2,2,Saanjh Prasad grown up,5.766782000000001,15.833650000000002,10.066868
3,3,3,3,Vasudha,6.5667979999999995,15.833650000000002,9.266852000000002
4,4,4,4,Young Saanjh,10.66688,15.833650000000002,5.166770000000001
5,5,5,5,Aarav Ruparel,12.616919,15.833650000000002,3.216731000000001
6,6,6,6,Vasudha,15.866984000000002,31.267291999999998,15.400308
7,7,7,7,Aarav Ruparel,17.83369,31.267291999999998,13.433601999999999
8,8,8,8,Apurva,18.3337,31.267291999999998,12.933591999999999
9,9,9,9,Hotelier,18.467036,31.267291999999998,12.800256
10,10,10,10,Young Saanjh,21.167089999999998,31.267291999999998,10.100202000000001
11,11,11,11,ACP Patil,21.300426,31.267291999999998,9.966866
12,12,12,12,Vasudha's father,24.883831,31.267291999999998,6.3834610000000005
13,13,13,13,Hari Prasad,25.367174,31.267291999999998,5.900118000000003
14,14,14,14,Hari's mother,26.100522,31.267291999999998,5.16677
15,15,15,15,Aarav Ruparel,31.333959999999998,48.050961,16.717001
16,16,16,16,Young Aarav,31.633966000000004,48.050961,16.416994999999996
17,17,17,17,Rohini,31.800636000000004,48.050961,16.250324999999997
18,18,18,18,Accompanist,32.817322999999995,48.050961,15.233638000000004
19,19,19,19,hotelier,33.050661000000005,48.050961,15.000299999999996
20,20,20,20,Naila,35.150703,48.050961,12.900258
21,21,21,21,Vasudha,35.20070399999999,48.050961,12.850257000000012
22,22,22,22,Apurva,45.01756700000001,48.050961,3.0333939999999933
23,23,23,23,hotelier,48.150963,65.517977,17.367014000000005
24,24,24,24,Aarav Ruparel,48.18429700000001,65.517977,17.333679999999994
25,25,25,25,Apurva,48.18429700000001,65.517977,17.333679999999994
26,26,26,26,Vasudha,52.834390000000006,65.517977,12.683586999999996
27,27,27,27,ACP Patil,53.051061,65.517977,12.466916000000005
28,28,28,28,Naila,53.10106200000001,65.517977,12.416914999999989
29,29,29,29,Rohini,57.65115300000001,65.517977,7.866823999999994
30,30,30,30,Jeevan,57.80115600000001,65.517977,7.716820999999987
31,31,31,31,Young Aarav,57.80115600000001,65.517977,7.716820999999987
32,32,32,32,Rohini,65.60131200000001,87.95175900000002,22.35044700000001
33,33,33,33,Aarav Ruparel,65.651313,87.95175900000002,22.300446000000022
34,34,34,34,Vasudha,65.68464700000001,87.95175900000002,22.267112000000008
35,35,35,35,Accompanist,66.51799700000001,87.95175900000002,21.433762000000016
36,36,36,36,Young Saanjh,73.75147500000001,87.95175900000002,14.200284000000007
37,37,37,37,Hari Prasad,76.31819300000002,87.95175900000002,11.633566000000002
38,38,38,38,Journalist,80.33494,87.95175900000002,7.616819000000023
39,39,39,39,Father Peter,80.93495200000002,87.95175900000002,7.016807000000001
40,40,40,40,Aarav Ruparel,87.95175900000002,105.0021,17.050340999999975
41,41,41,41,Apurva,88.16843000000001,105.0021,16.833669999999984
42,42,42,42,Hari Prasad,88.48510300000002,105.0021,16.516996999999975
43,43,43,43,Vasudha,88.90177800000002,105.0021,16.100321999999974
44,44,44,44,ACP Patil,89.80179600000002,105.0021,15.200303999999974
45,45,45,45,Bose,95.768582,105.0021,9.233518000000004
46,46,46,46,Vasudha,105.0021,123.20246399999999,18.200364000000008
47,47,47,47,Aarav Ruparel,105.118769,123.20246399999999,18.083695000000006
48,48,48,48,Apurva,105.118769,123.20246399999999,18.083695000000006
49,49,49,49,Father Peter,109.268852,123.20246399999999,13.933612000000007
50,50,50,50,Hari Prasad,114.968966,123.20246399999999,8.233498000000013
51,51,51,51,ACP Patil,115.068968,123.20246399999999,8.133496000000008
52,52,52,52,Hari's mother,116.31899299999999,123.20246399999999,6.883471000000001
53,53,53,53,Young Saanjh,118.552371,123.20246399999999,4.6500930000000125
54,54,54,54,Hari Prasad,123.20246399999999,125.685847,2.483382999999989
55,55,55,55,Saanjh Prasad grown up,123.20246399999999,125.685847,2.483382999999989
56,56,56,56,Avni,123.919145,125.685847,1.7667019999999953
57,57,57,57,Aarav Ruparel,125.06916799999999,125.685847,0.6166789999999907
