,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Tasha,3.4167350000000005,6.3167930000000005,2.900058
1,1,1,1,Aryan,3.4500690000000005,6.3167930000000005,2.866724
2,2,2,2,Reshma,4.0834150000000005,6.3167930000000005,2.233378
3,3,3,3,Reshma,6.3167930000000005,14.066948000000002,7.750155000000001
4,4,4,4,Aryan,6.600132,14.066948000000002,7.4668160000000015
5,5,5,5,Monica,7.8168229999999985,14.066948000000002,6.250125000000002
6,6,6,6,Rajveer,7.983493000000001,14.066948000000002,6.0834550000000025
7,7,7,7,Tasha,9.466856000000002,14.066948000000002,4.600092
8,8,8,8,Ron,10.366874,14.066948000000002,3.7000740000000008
9,9,9,9,Tasha,14.250285000000002,21.633766,7.383481
10,10,10,10,Rajveer,14.333620000000002,21.633766,7.3001460000000025
11,11,11,11,Reshma,18.083695,21.633766,3.550070999999998
12,12,12,12,Aryan,18.16703,21.633766,3.4667360000000014
13,13,13,13,Ad Film Client,18.200364,21.633766,3.4334020000000014
14,14,14,14,Vivek,18.217031,21.633766,3.4167350000000027
15,15,15,15,Tasha,21.633766,27.200544,5.5667779999999984
16,16,16,16,Ad Film Client,22.25044500000001,27.200544,4.950098999999991
17,17,17,17,Vivek,22.25044500000001,27.200544,4.950098999999991
18,18,18,18,Aryan,22.267112,27.200544,4.933432
19,19,19,19,Reshma,22.267112,27.200544,4.933432
20,20,20,20,Rajveer,22.967126,27.200544,4.233418
21,21,21,21,Vikram Kurana,24.550491,27.200544,2.650053
22,22,22,22,Rajveer,27.317213,41.317493000000006,14.000280000000007
23,23,23,23,Tasha,27.317213,41.317493000000006,14.000280000000007
24,24,24,24,Monica,32.150643,41.317493000000006,9.166850000000004
25,25,25,25,Ron,33.033994,41.317493000000006,8.283499000000006
26,26,26,26,Aryan,33.734008,41.317493000000006,7.583485000000002
27,27,27,27,Reshma,35.917384999999996,41.317493000000006,5.400108000000002
28,28,28,28,Reshma,41.367494,50.451009000000006,9.083515000000006
29,29,29,29,Rajveer,41.417495,50.451009000000006,9.033514000000004
30,30,30,30,Aryan,42.58418500000001,50.451009000000006,7.866823999999994
31,31,31,31,Tasha,42.66752,50.451009000000006,7.783489000000002
32,32,32,32,Aryan,50.484343,59.96786600000001,9.483523000000003
33,33,33,33,Tasha,50.484343,59.96786600000001,9.483523000000003
34,34,34,34,Rajveer,53.184397,59.96786600000001,6.7834690000000135
35,35,35,35,Reshma,54.384420999999996,59.96786600000001,5.583445000000005
36,36,36,36,Tasha,60.151203,67.384681,7.233477999999997
37,37,37,37,Ron,60.551211,67.384681,6.8334699999999975
38,38,38,38,Rajveer,60.801216,67.384681,6.583464999999998
39,39,39,39,Aryan,61.6679,67.384681,5.716780999999997
40,40,40,40,Ashwin Chaudhary,62.651253,67.384681,4.7334279999999955
41,41,41,41,Rajveer,67.40134800000001,77.66821999999998,10.266871999999964
42,42,42,42,Monica,67.43468200000001,77.66821999999998,10.233537999999967
43,43,43,43,Vikram Kurana,68.051361,77.66821999999998,9.616858999999977
44,44,44,44,Tasha,68.534704,77.66821999999998,9.133515999999972
45,45,45,45,Aryan,68.73470800000001,77.66821999999998,8.933511999999965
46,46,46,46,Rajveer,77.71822100000001,84.23501800000003,6.516797000000013
47,47,47,47,Tasha,78.068228,84.23501800000003,6.166790000000019
48,48,48,48,Aryan,78.901578,84.23501800000003,5.3334400000000235
49,49,49,49,Vikram Kurana,80.93495200000002,84.23501800000003,3.300066000000001
50,50,50,50,Bhavna Shrivastav,84.28501899999998,92.368514,8.083495000000028
51,51,51,51,Rajveer,85.05170100000002,92.368514,7.316812999999982
52,52,52,52,Ashwin Chaudhary,85.71838100000002,92.368514,6.650132999999983
53,53,53,53,Aryan,86.63506600000002,92.368514,5.733447999999981
54,54,54,54,Vikram Kurana,87.635086,92.368514,4.733428000000004
55,55,55,55,Tasha,88.20176400000004,92.368514,4.166749999999965
56,56,56,56,Tasha's Mom,88.31843300000001,92.368514,4.050080999999992
57,57,57,57,Mother,89.585125,92.368514,2.783389
58,58,58,58,Mr. Shrivastav,89.70179399999998,92.368514,2.6667200000000264
59,59,59,59,Police Inspector,90.451809,92.368514,1.916705000000008
60,60,60,60,Mother,92.368514,95.50191,3.1333959999999905
61,61,61,61,Bhavna Shrivastav,92.368514,95.50191,3.1333959999999905
62,62,62,62,Tasha,92.385181,95.50191,3.1167289999999923
63,63,63,63,Mr. Shrivastav,92.851857,95.50191,2.650053
64,64,64,64,Aryan,94.451889,95.50191,1.0500209999999868
65,65,65,65,Rajveer,94.451889,95.50191,1.0500209999999868
66,66,66,66,Vikram Kurana,94.75189499999999,95.50191,0.7500149999999906
67,67,67,67,Rajveer,95.635246,101.735368,6.100122000000013
68,68,68,68,Tasha,97.085275,101.735368,4.6500930000000125
69,69,69,69,Ron,98.31863299999999,101.735368,3.4167350000000027
70,70,70,70,Aryan,101.735368,109.00218,7.2668120000000025
71,71,71,71,Tasha,101.818703,109.00218,7.1834770000000105
72,72,72,72,Rajveer,102.385381,109.00218,6.616799
73,73,73,73,Rajveer,109.00218,112.818923,3.816742999999988
74,74,74,74,Aryan,109.118849,112.818923,3.7000740000000008
75,75,75,75,Tasha,109.135516,112.818923,3.6834070000000025
76,76,76,76,Vikram Kurana,109.70219399999999,112.818923,3.1167289999999923
77,77,77,77,Monica,110.285539,112.818923,2.5333840000000123
78,78,78,78,Ron,110.302206,112.818923,2.5167169999999857
79,79,79,79,Tasha,112.852257,118.269032,5.416775000000001
80,80,80,80,Aryan,113.13559599999999,118.269032,5.133436000000003
81,81,81,81,Rajveer,117.135676,118.269032,1.1333560000000062
82,82,82,82,Tasha,118.30236599999999,124.902498,6.600131999999987
83,83,83,83,Aryan,118.319033,124.902498,6.583464999999992
84,84,84,84,Newsreader,120.485743,124.902498,4.416754999999995
85,85,85,85,Vikram Kurana,120.552411,124.902498,4.350086999999988
86,86,86,86,Ashwin Chaudhary,121.88577099999999,124.902498,3.016726999999989
87,87,87,87,Reshma,121.88577099999999,124.902498,3.016726999999989
88,88,88,88,Tasha's Mom,122.16911000000002,124.902498,2.7333879999999766
89,89,89,89,Ron,122.469116,124.902498,2.4333820000000093
90,90,90,90,Bhavna Shrivastav,124.01914700000002,124.902498,0.8833509999999762
