,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Ghanshyam (Shyam),0.7666820000000001,10.133536,9.366854
1,1,1,1,Bank Manager,2.033374,10.133536,8.100162
2,2,2,2,Raju,3.8334099999999998,10.133536,6.300125999999999
3,3,3,3,Employer,10.133536,30.483943000000004,20.350407000000004
4,4,4,4,Raju,10.133536,30.483943000000004,20.350407000000004
5,5,5,5,Ghanshyam (Shyam),10.966886,30.483943000000004,19.517057
6,6,6,6,Ganpatrao 'Baburao' Apte,13.233598,30.483943000000004,17.250345000000006
7,7,7,7,Chaman Jhinga,13.633606000000002,30.483943000000004,16.850337000000003
8,8,8,8,Anuradha S. Panikar,22.950459,30.483943000000004,7.533484000000005
9,9,9,9,Ghanshyam (Shyam),30.517277000000004,61.41789500000001,30.900618000000005
10,10,10,10,Anuradha S. Panikar,30.533944,61.41789500000001,30.88395100000001
11,11,11,11,Bank Clerk,30.800615999999998,61.41789500000001,30.61727900000001
12,12,12,12,Bank Manager,31.300626,61.41789500000001,30.11726900000001
13,13,13,13,Raju,32.900658,61.41789500000001,28.51723700000001
14,14,14,14,Raju's mom,43.484203,61.41789500000001,17.933692000000008
15,15,15,15,Kharak Singh,44.450889,61.41789500000001,16.967006000000005
16,16,16,16,Ganpatrao 'Baburao' Apte,46.95093900000001,61.41789500000001,14.466955999999994
17,17,17,17,Ganpatrao 'Baburao' Apte,61.48456300000001,87.30174600000002,25.81718300000001
18,18,18,18,Raju,61.55123100000001,87.30174600000002,25.75051500000001
19,19,19,19,Ghanshyam (Shyam),61.601231999999996,87.30174600000002,25.70051400000002
20,20,20,20,Anuradha S. Panikar,63.051261,87.30174600000002,24.250485000000022
21,21,21,21,Kabira,66.301326,87.30174600000002,21.00042000000002
22,22,22,22,Gang Member,66.301326,87.30174600000002,21.00042000000002
23,23,23,23,Kabira's Sidekick,66.301326,87.30174600000002,21.00042000000002
24,24,24,24,Devi Prasad,73.23479800000001,87.30174600000002,14.066948000000007
25,25,25,25,Devi Prasad's servant,79.31825300000001,87.30174600000002,7.98349300000001
26,26,26,26,"Police Inspector, Prakash",79.35158700000002,87.30174600000002,7.950158999999997
27,27,27,27,Ganpatrao 'Baburao' Apte,87.33508,108.368834,21.033754
28,28,28,28,Ghanshyam (Shyam),87.33508,108.368834,21.033754
29,29,29,29,Raju,87.368414,108.368834,21.000420000000005
30,30,30,30,Kharak Singh,88.31843300000001,108.368834,20.050400999999994
31,31,31,31,Devi Prasad,89.735128,108.368834,18.633706000000004
32,32,32,32,Kabira's Sidekick,89.968466,108.368834,18.400368
33,33,33,33,Kabira,90.05180100000004,108.368834,18.31703299999997
34,34,34,34,"Police Inspector, Prakash",92.101842,108.368834,16.266992000000002
35,35,35,35,Dancer,98.535304,108.368834,9.833529999999996
36,36,36,36,Chaman Jhinga,104.785429,108.368834,3.5834049999999986
37,37,37,37,Anuradha S. Panikar,105.602112,108.368834,2.766722000000001
38,38,38,38,Kabira,108.40216799999999,132.38598100000002,23.98381300000001
39,39,39,39,Raju,108.452169,132.38598100000002,23.93381200000001
40,40,40,40,Ganpatrao 'Baburao' Apte,108.468836,132.38598100000002,23.917145000000005
41,41,41,41,Ghanshyam (Shyam),108.485503,132.38598100000002,23.90047800000001
42,42,42,42,Devi Prasad,109.368854,132.38598100000002,23.01712700000001
43,43,43,43,"Police Inspector, Prakash",109.535524,132.38598100000002,22.85045700000002
44,44,44,44,Kharak Singh,111.552231,132.38598100000002,20.833750000000013
45,45,45,45,Gang Member,122.519117,132.38598100000002,9.86686400000002
46,46,46,46,Raju's mom,129.83593000000002,132.38598100000002,2.5500509999999963
