,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Shonty - Humpty's Friend,0.983353,5.550111,4.566758
1,1,1,1,Poplu - Humpty's Friend,1.0666879999999999,5.550111,4.483423
2,2,2,2,Girl in the Loo,1.2333580000000002,5.550111,4.316753
3,3,3,3,Rakesh 'Humpty' Sharma,1.400028,5.550111,4.150083
4,4,4,4,Examiner,1.6166989999999999,5.550111,3.933412
5,5,5,5,Kavya Pratap Singh,2.4500490000000004,5.550111,3.100062
6,6,6,6,Boy Stealing Petrol,2.5167170000000003,5.550111,3.033394
7,7,7,7,Dadi - Kavya's Grandmother,3.1667300000000003,5.550111,2.383381
8,8,8,8,Mrs. Singh - Kavya's Mother,3.1667300000000003,5.550111,2.383381
9,9,9,9,Swati Pratap Singh- Kavya's Sister,3.1667300000000003,5.550111,2.383381
10,10,10,10,Ranjeet Singh - Kavya's Brother,3.6000720000000004,5.550111,1.950039
11,11,11,11,Girl Kissing Humpty,3.650073,5.550111,1.9000380000000001
12,12,12,12,Geeky Boy,3.9167449999999997,5.550111,1.633366
13,13,13,13,Mr. Sharma - Humpty's Father,4.633426,5.550111,0.9166850000000002
14,14,14,14,Tailor,5.550111,9.950199,4.400088000000001
15,15,15,15,Mr. Singh - Kavya's Father,5.550111,9.950199,4.400088000000001
16,16,16,16,Dadi - Kavya's Grandmother,5.66678,9.950199,4.283419000000001
17,17,17,17,Mrs. Singh - Kavya's Mother,5.866784000000001,9.950199,4.0834150000000005
18,18,18,18,Kavya Pratap Singh,6.150123000000002,9.950199,3.800075999999999
19,19,19,19,Gurpreet Sodhi - Kavya's Friend,6.150123000000002,9.950199,3.800075999999999
20,20,20,20,Swati Pratap Singh- Kavya's Sister,6.5667979999999995,9.950199,3.383401000000001
21,21,21,21,Househelp,6.5834649999999995,9.950199,3.366734000000001
22,22,22,22,Ranjeet Singh - Kavya's Brother,6.883471000000001,9.950199,3.0667280000000003
23,23,23,23,Poplu - Humpty's Friend,9.983533,17.067007999999998,7.083474999999997
24,24,24,24,Rakesh 'Humpty' Sharma,9.983533,17.067007999999998,7.083474999999997
25,25,25,25,Shonty - Humpty's Friend,10.0002,17.067007999999998,7.066807999999997
26,26,26,26,Professor Shastri,10.800216,17.067007999999998,6.266791999999998
27,27,27,27,Kavya Pratap Singh,11.983573000000002,17.067007999999998,5.083434999999996
28,28,28,28,Mr. Sharma - Humpty's Father,13.750275000000002,17.067007999999998,3.316732999999996
29,29,29,29,Examiner,13.783609000000002,17.067007999999998,3.283398999999996
