,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Capt. Jagdeep Deewan,1.0666879999999999,4.550091,3.483403
1,1,1,1,Capt. Kamal Singh,1.0666879999999999,4.550091,3.483403
2,2,2,2,Lt. Hari Krishnan,1.316693,4.550091,3.2333979999999998
3,3,3,3,Samar Anand,1.600032,4.550091,2.9500590000000004
4,4,4,4,Samar Anand,4.550091,6.4167950000000005,1.8667040000000004
5,5,5,5,Akira Rai,6.600132,13.50027,6.900138
6,6,6,6,Samar Anand,7.4501490000000015,13.50027,6.050120999999999
7,7,7,7,Discovery Channel Worker,9.116849,13.50027,4.383421
8,8,8,8,Discovery Channel Worker,9.116849,13.50027,4.383421
9,9,9,9,Discovery Channel worker,9.116849,13.50027,4.383421
10,10,10,10,Catherine (Akira's Boss),9.550191000000002,13.50027,3.950078999999999
11,11,11,11,Meera Thapar,11.383561,13.50027,2.116709
12,12,12,12,Meera Thapar,13.50027,24.33382000000001,10.83355000000001
13,13,13,13,Samar Anand,13.616939000000002,24.33382000000001,10.716881000000008
14,14,14,14,Samar's Friend,14.233618000000002,24.33382000000001,10.100202000000008
15,15,15,15,Frank,20.367074,24.33382000000001,3.966746000000011
16,16,16,16,Meera's father,21.050421000000004,24.33382000000001,3.2833990000000064
17,17,17,17,Roger,21.050421000000004,24.33382000000001,3.2833990000000064
18,18,18,18,Roger,24.40048800000001,31.700634000000004,7.300145999999994
19,19,19,19,Meera Thapar,24.583825,31.700634000000004,7.116809000000004
20,20,20,20,Meera's father,24.60049200000001,31.700634000000004,7.100141999999996
21,21,21,21,Samar Anand,25.467176,31.700634000000004,6.233458000000002
22,22,22,22,Samar's Friend,28.700574000000003,31.700634000000004,3.0000600000000013
23,23,23,23,Meera Thapar,31.700634000000004,44.800896,13.100261999999995
24,24,24,24,Samar Anand,31.700634000000004,44.800896,13.100261999999995
25,25,25,25,Maria,33.817343,44.800896,10.983553
26,26,26,26,Dancer,37.73408800000001,44.800896,7.066807999999996
27,27,27,27,Samar's Friend,42.78418900000001,44.800896,2.0167069999999896
28,28,28,28,Meera Thapar,44.800896,52.03437400000001,7.233478000000005
29,29,29,29,Samar Anand,44.83423000000001,52.03437400000001,7.2001439999999945
30,30,30,30,Roger,49.00098000000001,52.03437400000001,3.0333939999999933
31,31,31,31,Meera's father,49.06764800000001,52.03437400000001,2.9667259999999933
32,32,32,32,Mr. Kapoor,50.13433600000001,52.03437400000001,1.9000379999999952
33,33,33,33,Samar's Friend,50.151003,52.03437400000001,1.8833710000000041
34,34,34,34,Maria,51.25102500000001,52.03437400000001,0.7833489999999941
35,35,35,35,Samar Anand,52.067708,58.51783700000001,6.450129000000004
36,36,36,36,Meera Thapar,52.134376,58.51783700000001,6.383461000000002
37,37,37,37,Meera's Mother,57.28447900000001,58.51783700000001,1.2333579999999955
38,38,38,38,Samar Anand,58.51783700000001,65.35130699999999,6.833469999999982
39,39,39,39,Meera Thapar,58.684506999999996,65.35130699999999,6.666799999999987
40,40,40,40,Imran,60.0012,65.35130699999999,5.350106999999994
41,41,41,41,Meera's Mother,60.0012,65.35130699999999,5.350106999999994
42,42,42,42,Meera Thapar,65.35130699999999,73.868144,8.51683700000001
43,43,43,43,Meera's Mother,65.35130699999999,73.868144,8.51683700000001
44,44,44,44,Samar Anand,65.35130699999999,73.868144,8.51683700000001
45,45,45,45,Imran,65.35130699999999,73.868144,8.51683700000001
46,46,46,46,Meera Thapar,73.868144,77.61821900000002,3.750075000000024
47,47,47,47,Samar Anand,73.868144,77.61821900000002,3.750075000000024
48,48,48,48,Samar Anand,77.66821999999998,84.00168000000002,6.333460000000045
49,49,49,49,Samar's Friend,77.75155500000002,84.00168000000002,6.250124999999998
50,50,50,50,Meera Thapar,78.50157,84.00168000000002,5.500110000000022
51,51,51,51,Samar Anand,84.01834699999998,88.21843100000002,4.200084000000048
52,52,52,52,Akira Rai,84.318353,88.21843100000002,3.900078000000022
53,53,53,53,Catherine (Akira's Boss),87.20174399999998,88.21843100000002,1.0166870000000472
54,54,54,54,Discovery Channel Worker,87.26841200000001,88.21843100000002,0.9500190000000116
55,55,55,55,Discovery Channel Worker,87.38508100000001,88.21843100000002,0.83335000000001
56,56,56,56,Discovery Channel worker,87.38508100000001,88.21843100000002,0.83335000000001
57,57,57,57,Samar Anand,88.30176600000001,97.235278,8.933511999999991
58,58,58,58,Akira Rai,88.801776,97.235278,8.433502000000004
59,59,59,59,Capt. Jagdeep Deewan,88.951779,97.235278,8.283499000000006
60,60,60,60,Capt. Kamal Singh,88.951779,97.235278,8.283499000000006
61,61,61,61,Lt. Hari Krishnan,88.951779,97.235278,8.283499000000006
62,62,62,62,Capt. Kamal Singh,97.235278,107.552151,10.316872999999989
63,63,63,63,Samar Anand,97.235278,107.552151,10.316872999999989
64,64,64,64,Akira Rai,97.33528,107.552151,10.216870999999985
65,65,65,65,Capt. Jagdeep Deewan,97.33528,107.552151,10.216870999999985
66,66,66,66,Lt. Hari Krishnan,97.33528,107.552151,10.216870999999985
67,67,67,67,Akira Rai,107.552151,111.368894,3.8167430000000016
68,68,68,68,Samar Anand,107.552151,111.368894,3.8167430000000016
69,69,69,69,Akira Rai,111.385561,116.135656,4.750095000000002
70,70,70,70,Capt. Jagdeep Deewan,111.385561,116.135656,4.750095000000002
71,71,71,71,Lt. Hari Krishnan,111.385561,116.135656,4.750095000000002
72,72,72,72,Capt. Kamal Singh,111.402228,116.135656,4.733428000000004
73,73,73,73,Samar Anand,111.568898,116.135656,4.566758000000006
74,74,74,74,Catherine (Akira's Boss),113.118929,116.135656,3.016727000000003
75,75,75,75,Discovery Channel worker,116.135656,120.785749,4.650092999999983
76,76,76,76,Discovery Channel Worker,116.135656,120.785749,4.650092999999983
77,77,77,77,Akira Rai,116.135656,120.785749,4.650092999999983
78,78,78,78,Discovery Channel Worker,116.135656,120.785749,4.650092999999983
79,79,79,79,Samar Anand,116.819003,120.785749,3.9667459999999855
80,80,80,80,Nurse Montgomery,119.102382,120.785749,1.6833669999999898
81,81,81,81,Samar Anand,120.785749,126.869204,6.083455000000013
82,82,82,82,Akira Rai,121.419095,126.869204,5.450109000000012
83,83,83,83,Meera Thapar,124.252485,126.869204,2.616719000000004
84,84,84,84,Roger,124.65249299999999,126.869204,2.216711000000004
85,85,85,85,Akira Rai,126.869204,134.586025,7.716820999999998
86,86,86,86,Meera Thapar,126.869204,134.586025,7.716820999999998
87,87,87,87,Dr. Zoya Ali Khan,126.869204,134.586025,7.716820999999998
88,88,88,88,Samar Anand,127.71922100000002,134.586025,6.866803999999987
89,89,89,89,Samar's Friend,134.586025,140.686147,6.100121999999999
90,90,90,90,Maria,134.83603000000002,140.686147,5.850116999999982
91,91,91,91,Meera Thapar,135.036034,140.686147,5.650113000000005
92,92,92,92,Akira Rai,135.036034,140.686147,5.650113000000005
93,93,93,93,Samar Anand,136.43606200000002,140.686147,4.250084999999984
94,94,94,94,Samar Anand,140.75281500000003,151.73636800000003,10.983553
95,95,95,95,Meera Thapar,141.00281999999999,151.73636800000003,10.733548000000011
96,96,96,96,Dr. Zoya Ali Khan,143.969546,151.73636800000003,7.766822000000019
97,97,97,97,Akira Rai,143.969546,151.73636800000003,7.766822000000019
98,98,98,98,Samar's Friend,145.08623500000004,151.73636800000003,6.650132999999983
