,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Aditya D. Kashyap,1.400028,16.266992000000002,14.866964
1,1,1,1,Aditya's lawyer,1.5500310000000002,16.266992000000002,14.716960999999998
2,2,2,2,Mother's lawyer,1.5500310000000002,16.266992000000002,14.716960999999998
3,3,3,3,Meher,1.5500310000000002,16.266992000000002,14.716960999999998
4,4,4,4,Raghav,1.5500310000000002,16.266992000000002,14.716960999999998
5,5,5,5,Groom,2.9500590000000004,16.266992000000002,13.316933000000002
6,6,6,6,Bride,2.9500590000000004,16.266992000000002,13.316933000000002
7,7,7,7,Beggar,4.516757,16.266992000000002,11.750235000000002
8,8,8,8,Geet Kaur Dhillon,6.1834570000000015,16.266992000000002,10.083535
9,9,9,9,Man at train door,6.1834570000000015,16.266992000000002,10.083535
10,10,10,10,Coolie,6.1834570000000015,16.266992000000002,10.083535
11,11,11,11,Man at the toilet door,7.166810000000001,16.266992000000002,9.100182
12,12,12,12,Ticket master,9.733528000000002,16.266992000000002,6.533464
13,13,13,13,Vendor woman,13.966946000000002,16.266992000000002,2.300046
14,14,14,14,Guard,15.666979999999999,16.266992000000002,0.6000120000000013
15,15,15,15,Taxi driver,15.916985000000002,16.266992000000002,0.3500069999999997
16,16,16,16,Geet Kaur Dhillon,16.316993,35.43404200000001,19.11704900000001
17,17,17,17,Aditya D. Kashyap,16.366994000000002,35.43404200000001,19.06704800000001
18,18,18,18,Taxi driver,16.366994000000002,35.43404200000001,19.06704800000001
19,19,19,19,Ratlam Station Vendor,18.700374,35.43404200000001,16.733668000000012
20,20,20,20,Gang of four: Man 3,20.417075,35.43404200000001,15.016967000000012
21,21,21,21,Gang of four: Man 1,20.417075,35.43404200000001,15.016967000000012
22,22,22,22,Gang of four: Man 4,20.417075,35.43404200000001,15.016967000000012
23,23,23,23,Vendor 2,20.417075,35.43404200000001,15.016967000000012
24,24,24,24,Gang of four: Man 2,20.417075,35.43404200000001,15.016967000000012
25,25,25,25,Station master,20.567078,35.43404200000001,14.866964000000017
26,26,26,26,Motor biker,24.283819,35.43404200000001,11.150223000000011
27,27,27,27,Hotel clerk,28.067228000000004,35.43404200000001,7.366814000000009
28,28,28,28,Geet Kaur Dhillon,35.517377,50.484343,14.966966000000001
29,29,29,29,Aditya D. Kashyap,35.66738,50.484343,14.816963
30,30,30,30,Geet's brother,45.884251000000006,50.484343,4.6000919999999965
31,31,31,31,Mrs. Dhillon,46.48426300000001,50.484343,4.000079999999991
32,32,32,32,Roop's mother,46.48426300000001,50.484343,4.000079999999991
33,33,33,33,Geet's Chacha,46.53426400000001,50.484343,3.9500789999999952
34,34,34,34,Chachi #2,46.53426400000001,50.484343,3.9500789999999952
35,35,35,35,Dadaji,46.73426800000001,50.484343,3.7500749999999954
36,36,36,36,Mr. Dhillon,46.83427,50.484343,3.650072999999999
37,37,37,37,Chacha 2,46.83427,50.484343,3.650072999999999
38,38,38,38,Roop Kaur Dhillon,49.40098800000001,50.484343,1.0833549999999903
39,39,39,39,Geet Kaur Dhillon,50.534344,53.35106700000001,2.8167230000000103
40,40,40,40,Aditya D. Kashyap,50.751015,53.35106700000001,2.6000520000000047
41,41,41,41,Geet Kaur Dhillon,53.56773800000001,75.38484100000002,21.81710300000001
42,42,42,42,Aditya D. Kashyap,53.56773800000001,75.38484100000002,21.81710300000001
43,43,43,43,Roop Kaur Dhillon,54.08441500000001,75.38484100000002,21.300426000000016
44,44,44,44,Manjeet Khosla,54.184417,75.38484100000002,21.20042400000002
45,45,45,45,Geet's brother,54.48442300000001,75.38484100000002,20.900418000000016
46,46,46,46,Geet's Chacha,54.61775900000001,75.38484100000002,20.767082000000016
47,47,47,47,Dadaji,54.61775900000001,75.38484100000002,20.767082000000016
48,48,48,48,Mrs. Dhillon,54.61775900000001,75.38484100000002,20.767082000000016
49,49,49,49,Mr. Dhillon,65.884651,75.38484100000002,9.500190000000018
50,50,50,50,Dadiji,65.884651,75.38484100000002,9.500190000000018
51,51,51,51,Chachi #2,65.934652,75.38484100000002,9.450189000000023
52,52,52,52,Aditya D. Kashyap,75.60151200000001,93.585205,17.983692999999988
53,53,53,53,Aditya's lawyer,76.15152300000003,93.585205,17.433681999999973
54,54,54,54,Raghav,76.15152300000003,93.585205,17.433681999999973
55,55,55,55,Mrs. Khanna,78.218231,93.585205,15.366974
56,56,56,56,Mother's lawyer,78.218231,93.585205,15.366974
57,57,57,57,Meher,80.00160000000002,93.585205,13.583604999999974
58,58,58,58,Geet Kaur Dhillon,81.36829399999998,93.585205,12.216911000000026
59,59,59,59,Geet's Chacha,85.58504500000002,93.585205,8.000159999999982
60,60,60,60,Geet's brother,85.58504500000002,93.585205,8.000159999999982
61,61,61,61,Mr. Dhillon,85.91838500000001,93.585205,7.666819999999987
62,62,62,62,Anshuman,89.351787,93.585205,4.233418
63,63,63,63,Geet Kaur Dhillon,93.585205,118.902378,25.317173
64,64,64,64,Anshuman,93.785209,118.902378,25.117169000000004
65,65,65,65,Aditya D. Kashyap,96.818603,118.902378,22.08377500000001
66,66,66,66,Geet's brother,114.252285,118.902378,4.650092999999983
67,67,67,67,Mr. Dhillon,114.285619,118.902378,4.616759000000002
68,68,68,68,Chacha 2,114.318953,118.902378,4.583424999999991
69,69,69,69,Mrs. Dhillon,114.33561999999999,118.902378,4.566757999999994
