,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Aysha,1.2666920000000002,14.200284000000002,12.933591999999999
1,1,1,1,Aisha's Father,1.7667020000000002,14.200284000000002,12.433582
2,2,2,2,Pulti,6.033454000000001,14.200284000000002,8.166830000000001
3,3,3,3,Anu,6.150123000000002,14.200284000000002,8.050161
4,4,4,4,T.T.E.,6.683467,14.200284000000002,7.516817000000001
5,5,5,5,Sunny Singh,6.966806000000001,14.200284000000002,7.233478000000002
6,6,6,6,Mrs. Singh,6.966806000000001,14.200284000000002,7.233478000000002
7,7,7,7,Arjun,7.916825000000001,14.200284000000002,6.2834590000000015
8,8,8,8,Arjun's Friend,7.916825000000001,14.200284000000002,6.2834590000000015
9,9,9,9,"JP Mishra, Coach Attendant",7.966826000000001,14.200284000000002,6.2334580000000015
10,10,10,10,Dev,14.200284000000002,30.650613000000003,16.450329000000004
11,11,11,11,Aysha,14.233618000000002,30.650613000000003,16.416995
12,12,12,12,Renu,14.533624,30.650613000000003,16.116989000000004
13,13,13,13,Dev's Mother,16.100322000000002,30.650613000000003,14.550291
14,14,14,14,Pulti,18.983713,30.650613000000003,11.666900000000002
15,15,15,15,Anu,18.983713,30.650613000000003,11.666900000000002
16,16,16,16,Aysha,30.650613000000003,45.08423500000001,14.433622000000005
17,17,17,17,T.T.E.,30.933952,45.08423500000001,14.150283000000005
18,18,18,18,Anu,31.733968000000004,45.08423500000001,13.350267000000002
19,19,19,19,Himself,31.88397100000001,45.08423500000001,13.200263999999995
20,20,20,20,Herself,31.88397100000001,45.08423500000001,13.200263999999995
21,21,21,21,Dev,33.434002,45.08423500000001,11.650233000000007
22,22,22,22,Pulti,35.33404,45.08423500000001,9.750195000000003
23,23,23,23,Renu,37.73408800000001,45.08423500000001,7.350147
24,24,24,24,Dev's Mother,37.73408800000001,45.08423500000001,7.350147
25,25,25,25,Aysha,45.08423500000001,61.967906000000006,16.883671
26,26,26,26,Pulti,45.08423500000001,61.967906000000006,16.883671
27,27,27,27,Anu,45.10090200000001,61.967906000000006,16.867003999999994
28,28,28,28,"JP Mishra, Coach Attendant",45.117569,61.967906000000006,16.850337000000003
29,29,29,29,Dev,45.66758,61.967906000000006,16.300326000000005
30,30,30,30,Sunny Singh,49.50099,61.967906000000006,12.466916000000005
31,31,31,31,Mrs. Singh,49.50099,61.967906000000006,12.466916000000005
32,32,32,32,Dev's Mother,59.11784900000001,61.967906000000006,2.850057
33,33,33,33,Aysha,61.967906000000006,75.968186,14.000279999999995
34,34,34,34,Dev,62.01790700000001,75.968186,13.950278999999995
35,35,35,35,Pulti,63.13459600000001,75.968186,12.833589999999996
36,36,36,36,Anu,63.41793500000001,75.968186,12.550250999999996
37,37,37,37,Renu,67.15134300000001,75.968186,8.816842999999992
38,38,38,38,Dev's Mother,67.15134300000001,75.968186,8.816842999999992
39,39,39,39,Sunny Singh,68.16803,75.968186,7.800156000000001
40,40,40,40,Arjun,68.26803199999999,75.968186,7.700154000000013
41,41,41,41,Arjun's Friend,68.284699,75.968186,7.683486999999999
42,42,42,42,Aysha,75.968186,99.50199,23.533804000000003
43,43,43,43,Dev,75.984853,99.50199,23.517137000000005
44,44,44,44,Renu,76.36819399999997,99.50199,23.133796000000032
45,45,45,45,Dev's Mother,76.36819399999997,99.50199,23.133796000000032
46,46,46,46,Arjun's Friend,82.40164800000002,99.50199,17.100341999999983
47,47,47,47,Arjun,82.418315,99.50199,17.083675
48,48,48,48,Aisha's Father,83.118329,99.50199,16.383661000000004
49,49,49,49,Pulti,84.33502000000001,99.50199,15.166969999999992
50,50,50,50,Anu,84.33502000000001,99.50199,15.166969999999992
51,51,51,51,Sunny Singh,84.56835799999998,99.50199,14.933632000000033
52,52,52,52,Mrs. Singh,84.56835799999998,99.50199,14.933632000000033
53,53,53,53,Himself,84.70169399999997,99.50199,14.800296000000033
54,54,54,54,Herself,84.70169399999997,99.50199,14.800296000000033
55,55,55,55,"JP Mishra, Coach Attendant",87.95175900000002,99.50199,11.550230999999984
56,56,56,56,Aysha,99.50199,101.018687,1.5166969999999935
57,57,57,57,Dev,100.085335,101.018687,0.9333519999999992
