,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Naina Catherine Kapur,1.0833549999999998,3.4834030000000005,2.400048000000001
1,1,1,1,Jennifer Kapur,3.5000700000000005,9.483523000000002,5.983453000000001
2,2,2,2,Naina Catherine Kapur,3.950079000000001,9.483523000000002,5.533444000000001
3,3,3,3,Lajjo Kapur's sister,4.966766000000002,9.483523000000002,4.516757
4,4,4,4,Lajjo Kapur,4.983433000000002,9.483523000000002,4.50009
5,5,5,5,Lajjo Kapur's sister,5.2001040000000005,9.483523000000002,4.283419000000001
6,6,6,6,Uncle Chaddha,5.5834449999999975,9.483523000000002,3.900078000000004
7,7,7,7,Shiv Kapur,6.950139000000001,9.483523000000002,2.5333840000000007
8,8,8,8,Gia Kapur,7.166810000000001,9.483523000000002,2.316713000000001
9,9,9,9,Naina Catherine Kapur,9.483523000000002,12.766922,3.2833989999999997
10,10,10,10,"Jasprit ""Sweetu"" Kapoor",9.516857000000002,12.766922,3.250065
11,11,11,11,"Jaswinder ""Jazz"" Kapoor",11.100222,12.766922,1.6667000000000003
12,12,12,12,Jennifer Kapur,12.200244,12.766922,0.5666780000000013
13,13,13,13,Naina Catherine Kapur,12.850257,17.750355000000006,4.900098000000005
14,14,14,14,Rohit,12.900258,17.750355000000006,4.850097000000005
15,15,15,15,Gita,15.933652000000002,17.750355000000006,1.8167030000000042
16,16,16,16,Gia Kapur,17.750355000000006,22.717121,4.9667659999999945
17,17,17,17,Shiv Kapur,17.750355000000006,22.717121,4.9667659999999945
18,18,18,18,Lajjo Kapur,17.750355000000006,22.717121,4.9667659999999945
19,19,19,19,Jennifer Kapur,17.933692,22.717121,4.783428999999998
20,20,20,20,Naina Catherine Kapur,18.267032,22.717121,4.450088999999998
21,21,21,21,Aman Mathur,19.717060999999998,22.717121,3.0000599999999977
22,22,22,22,Aman's Mother,20.283739,22.717121,2.4333819999999977
23,23,23,23,"Jasprit ""Sweetu"" Kapoor",21.183757000000004,22.717121,1.5333639999999953
