,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Tahira's mother,1.2500250000000002,12.683587,11.433561999999998
1,1,1,1,Avinash's Father,1.2500250000000002,12.683587,11.433561999999998
2,2,2,2,Avinash,2.6500529999999998,12.683587,10.033534
3,3,3,3,Sanjay,4.150083,12.683587,8.533503999999999
4,4,4,4,Rahul,7.300146000000002,12.683587,5.383440999999998
5,5,5,5,Amey,8.266832,12.683587,4.416754999999998
6,6,6,6,Air Hostess neighbour,9.400188,12.683587,3.2833989999999997
7,7,7,7,Avinash,12.750255,20.183737,7.4334820000000015
8,8,8,8,Avinash's Father,12.800256,20.183737,7.3834810000000015
9,9,9,9,Shaukat,13.466935999999999,20.183737,6.716800999999999
10,10,10,10,Cargo Officer,15.216971,20.183737,4.966766000000002
11,11,11,11,Tahira's mother,18.850376999999998,20.183737,1.333359999999999
12,12,12,12,Nambiar,19.333720000000003,20.183737,0.8500169999999976
13,13,13,13,The Backpacker Girl,20.250404999999997,30.883951000000003,10.633546000000004
14,14,14,14,Male Backpacker,20.267072,30.883951000000003,10.616879000000004
15,15,15,15,Shaukat,20.33374,30.883951000000003,10.550211000000004
16,16,16,16,Cargo Officer,20.883751,30.883951000000003,10.000200000000003
17,17,17,17,Avinash,20.933752,30.883951000000003,9.950199000000003
18,18,18,18,Nambiar,20.933752,30.883951000000003,9.950199000000003
19,19,19,19,Tanya,23.233798000000004,30.883951000000003,7.650152999999999
20,20,20,20,Amey,24.350487,30.883951000000003,6.533464000000002
21,21,21,21,Air Hostess neighbour,24.583825,30.883951000000003,6.300126000000002
22,22,22,22,Suspicious Character,25.617179000000004,30.883951000000003,5.2667720000000005
23,23,23,23,Avinash's Father,26.083855000000003,30.883951000000003,4.800096
24,24,24,24,Avinash,30.883951000000003,40.684146999999996,9.800196000000001
25,25,25,25,Tanya,31.033953999999998,40.684146999999996,9.650193000000002
26,26,26,26,Hostel Warden,31.600632000000004,40.684146999999996,9.083514999999998
27,27,27,27,Shaukat,33.917345000000005,40.684146999999996,6.7668019999999975
28,28,28,28,Cargo Officer,38.750775,40.684146999999996,1.9333720000000056
29,29,29,29,Suspicious Character,40.617478999999996,40.684146999999996,0.06666799999999995
30,30,30,30,Avinash,40.884151,55.16777,14.283618999999995
31,31,31,31,Tanya,40.967486,55.16777,14.200283999999995
32,32,32,32,Shaukat,41.71750100000001,55.16777,13.450268999999983
33,33,33,33,Nambiar's House Help,44.400888,55.16777,10.766881999999995
34,34,34,34,Rajat,47.984293,55.16777,7.183476999999996
35,35,35,35,Mrs. Nambiar,49.31765300000001,55.16777,5.85011699999999
36,36,36,36,Nambiar,49.31765300000001,55.16777,5.85011699999999
37,37,37,37,Habib Azmi,49.71766100000001,55.16777,5.450108999999991
38,38,38,38,Britisher 1,50.284339,55.16777,4.8834309999999945
39,39,39,39,Britisher 2,50.284339,55.16777,4.8834309999999945
40,40,40,40,Habib Azmi,55.251105,58.71784100000001,3.4667360000000045
41,41,41,41,Avinash,55.451108999999995,58.71784100000001,3.2667320000000046
42,42,42,42,Avinash's Father,55.60111200000001,58.71784100000001,3.1167289999999994
43,43,43,43,Tanya,55.81778300000001,58.71784100000001,2.9000579999999943
44,44,44,44,Shaukat,57.08447500000001,58.71784100000001,1.6333659999999952
45,45,45,45,Suspicious Character,57.13447600000001,58.71784100000001,1.5833650000000006
46,46,46,46,Shaukat,58.751175,68.63470600000001,9.883531000000003
47,47,47,47,Habib Azmi,58.817843,68.63470600000001,9.816863000000003
48,48,48,48,Avinash,59.25118500000001,68.63470600000001,9.383521000000002
49,49,49,49,Tanya,59.33452000000001,68.63470600000001,9.300185999999997
50,50,50,50,Tasneem,60.217870999999995,68.63470600000001,8.416835000000006
51,51,51,51,Avinash,68.65137299999999,81.934972,13.28359900000001
52,52,52,52,Tanya,69.81806300000001,81.934972,12.116908999999993
53,53,53,53,Raghu,71.83476999999998,81.934972,10.100202000000024
54,54,54,54,Rumana,73.584805,81.934972,8.350166999999999
55,55,55,55,Tasneem,75.16816999999998,81.934972,6.766802000000028
56,56,56,56,Shaukat,75.25150500000002,81.934972,6.683466999999979
57,57,57,57,Habib Azmi,81.018287,81.934972,0.9166850000000012
58,58,58,58,Tanya,81.934972,89.40178800000002,7.466816000000023
59,59,59,59,Avinash,81.934972,89.40178800000002,7.466816000000023
60,60,60,60,Rumana,81.934972,89.40178800000002,7.466816000000023
61,61,61,61,Raghu,83.234998,89.40178800000002,6.166790000000019
62,62,62,62,Shaukat,85.485043,89.40178800000002,3.91674500000002
63,63,63,63,Suspicious Character,87.85175699999998,89.40178800000002,1.5500310000000468
64,64,64,64,Shaukat,89.485123,102.052041,12.566918
65,65,65,65,Avinash,89.485123,102.052041,12.566918
66,66,66,66,Tanya,89.485123,102.052041,12.566918
67,67,67,67,Tahira,92.551851,102.052041,9.500190000000003
68,68,68,68,Avinash's Father,97.918625,102.052041,4.133415999999997
69,69,69,69,Tanya,102.052041,109.852197,7.800156000000001
70,70,70,70,Avinash,102.052041,109.852197,7.800156000000001
71,71,71,71,Shaukat,102.052041,109.852197,7.800156000000001
72,72,72,72,Tahira,102.052041,109.852197,7.800156000000001
73,73,73,73,Tasneem,104.785429,109.852197,5.066767999999996
74,74,74,74,Habib Azmi,105.785449,109.852197,4.066748000000004
75,75,75,75,Rahul,107.935492,109.852197,1.916705000000008
76,76,76,76,Amey,109.18551699999999,109.852197,0.6666799999999995
