,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Karan Shergill,3.716741,10.116869,6.400127999999999
1,1,1,1,Maj. Satish Babbar,3.8500769999999997,10.116869,6.266791999999999
2,2,2,2,Changiram,3.983413000000001,10.116869,6.133455999999999
3,3,3,3,Col. Sunil Damle,4.600092,10.116869,5.5167769999999985
4,4,4,4,Maj. Kaushal Verma,6.050121000000001,10.116869,4.066747999999999
5,5,5,5,Capt. Jalal Akbar,6.533464,10.116869,3.5834049999999986
6,6,6,6,Capt. Sudhir Mishra (AMC),6.533464,10.116869,3.5834049999999986
7,7,7,7,Capt. Ramanna,7.3834810000000015,10.116869,2.7333879999999984
8,8,8,8,Capt. Manjit Singh Dhingra,7.3834810000000015,10.116869,2.7333879999999984
9,9,9,9,Maj. Binod Sengupta,7.3834810000000015,10.116869,2.7333879999999984
10,10,10,10,Lt. Vishal Srivastav,7.4668160000000015,10.116869,2.650052999999998
11,11,11,11,Karan Shergill,10.183537,15.483642999999999,5.300106000000001
12,12,12,12,Capt. Jalal Akbar,10.183537,15.483642999999999,5.300106000000001
13,13,13,13,Changiram,10.316873,15.483642999999999,5.166770000000001
14,14,14,14,Romila 'Romi' Dutta,10.50021,15.483642999999999,4.983433
15,15,15,15,Subedar Maj. Pritam Singh,10.816883,15.483642999999999,4.66676
16,16,16,16,Col. Sunil Damle,14.116949000000002,15.483642999999999,1.3666939999999992
17,17,17,17,Lt. Vishal Srivastav,14.250285000000002,15.483642999999999,1.233357999999999
18,18,18,18,Capt. Sudhir Mishra (AMC),14.250285000000002,15.483642999999999,1.233357999999999
19,19,19,19,Maj. Binod Sengupta,14.250285000000002,15.483642999999999,1.233357999999999
20,20,20,20,Rajeev Goel,15.483642999999999,18.067028,2.583385
21,21,21,21,Romila 'Romi' Dutta,15.483642999999999,18.067028,2.583385
22,22,22,22,"Mrs. Dutta, Romila's mother",16.900338,18.067028,1.1666899999999991
23,23,23,23,Karan Shergill,18.067028,20.967086,2.9000579999999982
24,24,24,24,Maj. Kaushal Verma,18.133696,20.967086,2.8333899999999983
25,25,25,25,Lt. Vishal Srivastav,18.133696,20.967086,2.8333899999999983
26,26,26,26,Capt. Manjit Singh Dhingra,18.150363,20.967086,2.816723
27,27,27,27,Maj. Binod Sengupta,18.3337,20.967086,2.633385999999998
28,28,28,28,Capt. Jalal Akbar,19.233718000000003,20.967086,1.7333679999999951
29,29,29,29,Capt. Sudhir Mishra (AMC),19.233718000000003,20.967086,1.7333679999999951
30,30,30,30,Romila 'Romi' Dutta,20.050401,20.967086,0.9166849999999976
31,31,31,31,Tanvi Azmi,20.250404999999997,20.967086,0.7166809999999977
32,32,32,32,Karan Shergill,20.983753000000004,24.650493,3.666739999999997
33,33,33,33,Romila 'Romi' Dutta,21.583765000000003,24.650493,3.0667279999999977
34,34,34,34,Mr. Dutta,22.400448,24.650493,2.250045
35,35,35,35,"Mrs. Dutta, Romila's mother",22.550451,24.650493,2.1000419999999984
36,36,36,36,nt0368240,22.600452,24.650493,2.050041
37,37,37,37,Karan Shergill,24.650493,33.56733800000001,8.916845000000006
38,38,38,38,Special Appearance,25.0005,33.56733800000001,8.566838000000008
39,39,39,39,Mr. Shergill,25.867183999999998,33.56733800000001,7.700154000000005
40,40,40,40,Ashu,26.933871999999997,33.56733800000001,6.633466000000006
41,41,41,41,Parvesh,26.933871999999997,33.56733800000001,6.633466000000006
42,42,42,42,Romila 'Romi' Dutta,33.56733800000001,41.317493000000006,7.750154999999999
43,43,43,43,Karan Shergill,33.70067400000001,41.317493000000006,7.6168190000000005
44,44,44,44,nt0368238,35.734048,41.317493000000006,5.583445000000005
45,45,45,45,Parvesh,37.01740700000001,41.317493000000006,4.300085999999993
46,46,46,46,Ashu,37.08407500000001,41.317493000000006,4.233417999999993
47,47,47,47,Mr. Shergill,38.20076400000001,41.317493000000006,3.1167289999999994
48,48,48,48,Mrs. Shergill,38.234097999999996,41.317493000000006,3.083395000000003
49,49,49,49,Romila 'Romi' Dutta,41.317493000000006,47.384281,6.066787999999995
50,50,50,50,Karan Shergill,41.317493000000006,47.384281,6.066787999999995
51,51,51,51,nt0368245,44.934232,47.384281,2.4500490000000004
52,52,52,52,Mr. Shergill,47.384281,55.95111900000001,8.566838000000011
53,53,53,53,Karan Shergill,47.83429,55.95111900000001,8.11682900000001
54,54,54,54,Adjunct Major Pratap Singh,48.100962,55.95111900000001,7.850157000000008
55,55,55,55,Drill Instructor (IMA),50.251005000000006,55.95111900000001,5.700114000000006
56,56,56,56,Rakesh Bhavnani,51.96770600000001,55.95111900000001,3.9834130000000068
57,57,57,57,Company Commander (IMA),52.734388,55.95111900000001,3.2167310000000096
58,58,58,58,nt0286360,54.717760999999996,55.95111900000001,1.2333580000000095
59,59,59,59,"Capt. Abeer Saxena, Dogra Regt.",54.951099000000006,55.95111900000001,1.0000200000000063
60,60,60,60,"Capt. Saket Ahluwalia, Dogra Regt.",55.051101,55.95111900000001,0.90001800000001
61,61,61,61,Mr. Shergill,55.95111900000001,61.30122600000001,5.350106999999994
62,62,62,62,Karan Shergill,56.01778700000001,61.30122600000001,5.283438999999994
63,63,63,63,Mrs. Shergill,56.01778700000001,61.30122600000001,5.283438999999994
64,64,64,64,Romila 'Romi' Dutta,58.85117700000001,61.30122600000001,2.4500490000000004
65,65,65,65,nt0368234,59.43452200000001,61.30122600000001,1.8667039999999984
66,66,66,66,Commandant (IMA),61.36789400000001,66.567998,5.200103999999996
67,67,67,67,Karan Shergill,61.48456300000001,66.567998,5.083434999999994
68,68,68,68,Adjunct Major Pratap Singh,61.48456300000001,66.567998,5.083434999999994
69,69,69,69,"Capt. Abeer Saxena, Dogra Regt.",62.517917,66.567998,4.050080999999999
70,70,70,70,Rakesh Bhavnani,62.517917,66.567998,4.050080999999999
71,71,71,71,"Capt. Saket Ahluwalia, Dogra Regt.",62.517917,66.567998,4.050080999999999
72,72,72,72,Drill Instructor (IMA),62.81792300000001,66.567998,3.7500749999999954
73,73,73,73,Romila 'Romi' Dutta,63.63460600000001,66.567998,2.9333919999999907
74,74,74,74,Company Commander (IMA),64.90129800000001,66.567998,1.6666999999999916
75,75,75,75,nt0368235,65.66798,66.567998,0.9000180000000029
76,76,76,76,Mrs. Shergill,66.36799400000001,66.567998,0.20000399999999274
77,77,77,77,Karan Shergill,66.584665,68.66804,2.083375000000004
78,78,78,78,Mrs. Shergill,66.584665,68.66804,2.083375000000004
79,79,79,79,"Capt. Abeer Saxena, Dogra Regt.",66.968006,68.66804,1.7000340000000025
80,80,80,80,"Capt. Saket Ahluwalia, Dogra Regt.",66.968006,68.66804,1.7000340000000025
81,81,81,81,Adjunct Major Pratap Singh,67.468016,68.66804,1.2000239999999989
82,82,82,82,Commandant (IMA),67.48468299999999,68.66804,1.1833570000000149
83,83,83,83,Romila 'Romi' Dutta,68.718041,71.70143399999998,2.9833929999999778
84,84,84,84,nt0368243,68.86804400000001,71.70143399999998,2.833389999999966
85,85,85,85,Rajeev Goel,68.88471100000001,71.70143399999998,2.816722999999969
86,86,86,86,Nikhil Trivedi,68.88471100000001,71.70143399999998,2.816722999999969
87,87,87,87,Mr. Dutta,69.901398,71.70143399999998,1.8000359999999769
88,88,88,88,"Mrs. Dutta, Romila's mother",70.05140100000001,71.70143399999998,1.6500329999999652
89,89,89,89,Karan Shergill,71.868104,76.868204,5.000100000000003
90,90,90,90,Changiram,71.868104,76.868204,5.000100000000003
91,91,91,91,Sheperd 1,72.384781,76.868204,4.483423000000002
92,92,92,92,Ashu,73.734808,76.868204,3.1333960000000047
93,93,93,93,"Mrs. Dutta, Romila's mother",74.351487,76.868204,2.516717
94,94,94,94,Mr. Dutta,74.351487,76.868204,2.516717
95,95,95,95,Romila 'Romi' Dutta,74.50149,76.868204,2.3667140000000018
96,96,96,96,Rajeev Goel,74.50149,76.868204,2.3667140000000018
97,97,97,97,nt0368236,74.66816,76.868204,2.200044000000005
98,98,98,98,Mrs. Shergill,75.11816900000002,76.868204,1.750034999999983
99,99,99,99,Mr. Shergill,75.13483599999998,76.868204,1.7333680000000269
100,100,100,100,Col. Sunil Damle,76.95153900000003,78.41823500000002,1.4666959999999991
101,101,101,101,Karan Shergill,76.96820600000002,78.41823500000002,1.450029000000001
102,102,102,102,Pradeep,76.96820600000002,78.41823500000002,1.450029000000001
103,103,103,103,Col. Sunil Damle,78.56823800000002,81.284959,2.7167209999999784
104,104,104,104,Karan Shergill,78.584905,81.284959,2.7000539999999944
105,105,105,105,Capt. Sudhir Mishra (AMC),78.584905,81.284959,2.7000539999999944
106,106,106,106,Lt. Vishal Srivastav,78.65157300000001,81.284959,2.633385999999988
107,107,107,107,Pradeep,79.018247,81.284959,2.2667119999999983
108,108,108,108,Capt. Ramanna,79.018247,81.284959,2.2667119999999983
109,109,109,109,Subedar Maj. Pritam Singh,79.45158900000001,81.284959,1.8333699999999882
110,110,110,110,Maj. Satish Babbar,79.45158900000001,81.284959,1.8333699999999882
111,111,111,111,Capt. Manjit Singh Dhingra,79.45158900000001,81.284959,1.8333699999999882
112,112,112,112,Capt. Jalal Akbar,79.93493199999998,81.284959,1.3500270000000256
113,113,113,113,Romila 'Romi' Dutta,81.46829600000002,84.818363,3.350066999999981
114,114,114,114,"Capt. Abeer Saxena, Dogra Regt.",81.60163200000002,84.818363,3.2167309999999816
115,115,115,115,"Capt. Saket Ahluwalia, Dogra Regt.",81.60163200000002,84.818363,3.2167309999999816
116,116,116,116,Col. Sunil Damle,82.418315,84.818363,2.4000479999999977
117,117,117,117,Karan Shergill,82.43498199999998,84.818363,2.3833810000000284
118,118,118,118,Maj. Kaushal Verma,82.85165699999997,84.818363,1.9667060000000305
119,119,119,119,nt0368241,83.05166100000002,84.818363,1.766701999999981
120,120,120,120,Capt. Ramanna,83.05166100000002,84.818363,1.766701999999981
121,121,121,121,Pradeep,83.118329,84.818363,1.7000340000000025
122,122,122,122,Capt. Jalal Akbar,83.268332,84.818363,1.5500310000000042
123,123,123,123,Maj. Satish Babbar,83.268332,84.818363,1.5500310000000042
124,124,124,124,Capt. Sudhir Mishra (AMC),83.41833500000001,84.818363,1.4000279999999918
125,125,125,125,Capt. Manjit Singh Dhingra,83.41833500000001,84.818363,1.4000279999999918
126,126,126,126,Karan Shergill,84.968366,88.58510500000001,3.6167390000000097
127,127,127,127,Capt. Jalal Akbar,84.968366,88.58510500000001,3.6167390000000097
128,128,128,128,Maj. Kaushal Verma,84.968366,88.58510500000001,3.6167390000000097
129,129,129,129,Maj. Satish Babbar,84.968366,88.58510500000001,3.6167390000000097
