,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Rehana,0.6333460000000001,9.100182,8.466836
1,1,1,1,Usha,1.1000219999999998,9.100182,8.000160000000001
2,2,2,2,Namrata,3.250065,9.100182,5.850117
3,3,3,3,Dhruv,3.2833989999999997,9.100182,5.816783
4,4,4,4,Leela,4.316753,9.100182,4.783429
5,5,5,5,Arhad,4.583425,9.100182,4.516757
6,6,6,6,Honeymoon Travel Agent,5.416775,9.100182,3.683407
7,7,7,7,Shirin,6.6668,9.100182,2.433382
8,8,8,8,Magic Gun Customer,6.866804000000001,9.100182,2.233377999999999
9,9,9,9,Afzal,8.83351,9.100182,0.2666719999999998
10,10,10,10,Faiz,8.83351,9.100182,0.2666719999999998
11,11,11,11,Shroff,8.83351,9.100182,0.2666719999999998
12,12,12,12,Rahim Aslam,8.966846,9.100182,0.1333359999999999
13,13,13,13,Usha,9.100182,13.433601999999999,4.333419999999999
14,14,14,14,Gupta,9.500190000000002,13.433601999999999,3.933411999999999
15,15,15,15,Sales Executive,9.500190000000002,13.433601999999999,3.933411999999999
16,16,16,16,Rahim Aslam,9.550191000000002,13.433601999999999,3.883410999999999
17,17,17,17,Leela's Mother,11.166889999999999,13.433601999999999,2.266712
18,18,18,18,Shirin,11.233558,13.433601999999999,2.2000439999999997
19,19,19,19,Leela,11.233558,13.433601999999999,2.2000439999999997
20,20,20,20,Rehana,11.233558,13.433601999999999,2.2000439999999997
21,21,21,21,Arhad,11.983573000000002,13.433601999999999,1.4500289999999991
22,22,22,22,Manoj,12.433582,13.433601999999999,1.0000199999999992
23,23,23,23,Afzal,13.233598,13.433601999999999,0.20000399999999985
24,24,24,24,Shroff,13.233598,13.433601999999999,0.20000399999999985
25,25,25,25,Chotu,13.233598,13.433601999999999,0.20000399999999985
26,26,26,26,Duggu,13.233598,13.433601999999999,0.20000399999999985
27,27,27,27,Faiz,13.283598999999999,13.433601999999999,0.1500029999999999
28,28,28,28,Usha,13.450269,20.467076,7.016807000000003
29,29,29,29,Madanlal,13.50027,20.467076,6.966806000000003
30,30,30,30,Leela,13.933612000000002,20.467076,6.533464
31,31,31,31,Arhad,13.933612000000002,20.467076,6.533464
32,32,32,32,Manoj,14.83363,20.467076,5.633446000000002
33,33,33,33,Afzal,14.83363,20.467076,5.633446000000002
34,34,34,34,Faiz,14.83363,20.467076,5.633446000000002
35,35,35,35,Shroff,14.83363,20.467076,5.633446000000002
36,36,36,36,Shirin,15.100302,20.467076,5.366774000000003
37,37,37,37,Magic Torch Customer,15.100302,20.467076,5.366774000000003
38,38,38,38,Rahim Aslam,15.216971,20.467076,5.250105000000003
39,39,39,39,Leela's Mother,15.683647,20.467076,4.783429000000002
40,40,40,40,Lata Behenji,16.700333999999998,20.467076,3.766742000000004
41,41,41,41,Rehana,18.967046000000003,20.467076,1.5000299999999989
42,42,42,42,Rehana,20.467076,25.800516,5.33344
43,43,43,43,Rahim Aslam,21.267092,25.800516,4.533424
44,44,44,44,Shirin,21.267092,25.800516,4.533424
45,45,45,45,Leela's Mother,21.900438,25.800516,3.9000780000000006
46,46,46,46,Leela,21.900438,25.800516,3.9000780000000006
47,47,47,47,Usha,22.033773999999998,25.800516,3.7667420000000007
48,48,48,48,Afzal,22.517117,25.800516,3.2833989999999997
49,49,49,49,Faiz,22.517117,25.800516,3.2833989999999997
50,50,50,50,Shroff,22.517117,25.800516,3.2833989999999997
51,51,51,51,Dhruv,24.017147,25.800516,1.7833690000000004
52,52,52,52,Namrata,24.017147,25.800516,1.7833690000000004
53,53,53,53,Video Blogger At Protest,24.60049200000001,25.800516,1.200023999999992
54,54,54,54,Duggu,25.800516,28.450569,2.650053
55,55,55,55,Chotu,25.800516,28.450569,2.650053
56,56,56,56,Usha,25.800516,28.450569,2.650053
57,57,57,57,Jaspal,27.100541999999997,28.450569,1.3500270000000008
58,58,58,58,Shirin,28.533904000000003,35.017367,6.483462999999998
59,59,59,59,Chemist,29.40058800000001,35.017367,5.61677899999999
60,60,60,60,Afzal,29.46725600000001,35.017367,5.550110999999991
61,61,61,61,Shroff,29.46725600000001,35.017367,5.550110999999991
62,62,62,62,Faiz,29.567258,35.017367,5.450108999999998
63,63,63,63,Leela,30.100602,35.017367,4.916764999999998
64,64,64,64,Manoj,30.517277000000004,35.017367,4.500089999999997
65,65,65,65,Arhad,32.683987,35.017367,2.3333799999999982
66,66,66,66,Finance Guy 2,32.783989000000005,35.017367,2.2333779999999948
67,67,67,67,Finance Guy 1,32.883990999999995,35.017367,2.1333760000000046
68,68,68,68,Rehana,35.017367,42.43418200000001,7.416815000000009
69,69,69,69,Usha,35.26737199999999,42.43418200000001,7.166810000000019
70,70,70,70,Rahim Aslam,38.250765,42.43418200000001,4.183417000000007
71,71,71,71,Shirin,38.250765,42.43418200000001,4.183417000000007
72,72,72,72,Namrata,39.717461,42.43418200000001,2.7167210000000064
73,73,73,73,Usha,42.43418200000001,49.617659,7.183476999999996
74,74,74,74,Swimsuit Shop Salesman,43.417535,49.617659,6.200124000000002
75,75,75,75,Shirin,44.08421500000001,49.617659,5.533443999999998
76,76,76,76,Shroff,45.56757800000001,49.617659,4.050080999999992
77,77,77,77,Afzal,45.584245,49.617659,4.0334140000000005
78,78,78,78,Faiz,45.584245,49.617659,4.0334140000000005
79,79,79,79,Leela's Mother,45.784248999999996,49.617659,3.8334100000000007
80,80,80,80,Manoj,45.784248999999996,49.617659,3.8334100000000007
81,81,81,81,Manoj's Mother,45.784248999999996,49.617659,3.8334100000000007
82,82,82,82,Manoj's Father,45.83425,49.617659,3.7834090000000073
83,83,83,83,Leela,46.017587000000006,49.617659,3.6000719999999973
84,84,84,84,Rahim Aslam,46.16759,49.617659,3.4500689999999987
85,85,85,85,Usha,49.85099700000001,58.38450100000001,8.533503999999999
86,86,86,86,Pool Woman 1,51.467696,58.38450100000001,6.916805000000004
87,87,87,87,Pool Woman 2,51.467696,58.38450100000001,6.916805000000004
88,88,88,88,Jaspal,51.58436500000001,58.38450100000001,6.800135999999995
89,89,89,89,Komal,51.58436500000001,58.38450100000001,6.800135999999995
90,90,90,90,Rehana,53.051061,58.38450100000001,5.333440000000009
91,91,91,91,Leela,54.851096999999996,58.38450100000001,3.5334040000000044
92,92,92,92,Leela's Mother,55.217771000000006,58.38450100000001,3.166730000000001
93,93,93,93,Arhad,56.33446000000001,58.38450100000001,2.050041
94,94,94,94,Photo Studio Groom (Honeymoon Couple),56.33446000000001,58.38450100000001,2.050041
95,95,95,95,Photo Studio Bride (Honeymoon Couple),56.33446000000001,58.38450100000001,2.050041
96,96,96,96,Leela,58.38450100000001,64.01794699999999,5.633445999999987
97,97,97,97,Shirin,58.38450100000001,64.01794699999999,5.633445999999987
98,98,98,98,Rehana,60.25120500000001,64.01794699999999,3.7667419999999794
99,99,99,99,Usha,61.03455400000001,64.01794699999999,2.9833929999999853
100,100,100,100,Duggu,61.03455400000001,64.01794699999999,2.9833929999999853
101,101,101,101,Guddu,61.03455400000001,64.01794699999999,2.9833929999999853
102,102,102,102,Jaspal,61.76790200000001,64.01794699999999,2.250044999999986
103,103,103,103,Rehana,64.01794699999999,71.25142500000003,7.2334780000000345
104,104,104,104,Leela,64.38462100000001,71.25142500000003,6.866804000000018
105,105,105,105,Namrata,64.93463200000001,71.25142500000003,6.316793000000018
106,106,106,106,Dhruv,65.41797500000001,71.25142500000003,5.833450000000013
107,107,107,107,Jaspal,71.25142500000003,79.86826400000002,8.616838999999999
108,108,108,108,Usha,71.25142500000003,79.86826400000002,8.616838999999999
109,109,109,109,Komal,71.53476400000002,79.86826400000002,8.3335
110,110,110,110,Ram,71.83476999999998,79.86826400000002,8.033494000000047
111,111,111,111,Lakhan,71.83476999999998,79.86826400000002,8.033494000000047
112,112,112,112,BMC Official 1,71.83476999999998,79.86826400000002,8.033494000000047
113,113,113,113,BMC Official 2,71.83476999999998,79.86826400000002,8.033494000000047
114,114,114,114,Sita,72.00144,79.86826400000002,7.8668240000000225
115,115,115,115,Lakshmi,72.00144,79.86826400000002,7.8668240000000225
116,116,116,116,Shirin,73.76814200000003,79.86826400000002,6.100121999999999
117,117,117,117,Rahim Aslam,74.50149,79.86826400000002,5.366774000000022
118,118,118,118,Afzal,75.201504,79.86826400000002,4.6667600000000276
119,119,119,119,Faiz,75.201504,79.86826400000002,4.6667600000000276
120,120,120,120,Shroff,75.26817199999998,79.86826400000002,4.600092000000046
121,121,121,121,Leela,78.56823800000002,79.86826400000002,1.3000260000000026
122,122,122,122,Manoj,79.16825,79.86826400000002,0.7000140000000243
123,123,123,123,Arhad,79.45158900000001,79.86826400000002,0.4166750000000121
124,124,124,124,Rehana,79.86826400000002,85.86838399999998,6.000119999999952
125,125,125,125,Dhruv,79.86826400000002,85.86838399999998,6.000119999999952
126,126,126,126,Namrata,79.98493300000001,85.86838399999998,5.883450999999965
127,127,127,127,Leela,80.701614,85.86838399999998,5.166769999999971
128,128,128,128,Manoj,80.701614,85.86838399999998,5.166769999999971
129,129,129,129,Shirin,84.46835600000001,85.86838399999998,1.4000279999999634
130,130,130,130,Rahim Aslam,84.61835900000001,85.86838399999998,1.2500249999999653
131,131,131,131,Jaspal,85.518377,85.86838399999998,0.35000699999997664
132,132,132,132,Komal,85.518377,85.86838399999998,0.35000699999997664
133,133,133,133,Usha,85.56837800000002,85.86838399999998,0.3000059999999536
134,134,134,134,Leela,85.86838399999998,93.068528,7.200144000000023
