,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sushrut's father,1.650033,14.183617000000002,12.533584
1,1,1,1,Seema,2.016707,14.183617000000002,12.16691
2,2,2,2,Sushrut,3.383401,14.183617000000002,10.800216000000002
3,3,3,3,Negative,3.933412000000001,14.183617000000002,10.250205
4,4,4,4,Rocket,3.933412000000001,14.183617000000002,10.250205
5,5,5,5,Michelle Patel,10.266872,14.183617000000002,3.9167450000000015
6,6,6,6,Sameer,11.266892,14.183617000000002,2.9167250000000013
7,7,7,7,Sushrut,14.183617000000002,28.533904000000003,14.350287000000002
8,8,8,8,Rocket,14.183617000000002,28.533904000000003,14.350287000000002
9,9,9,9,Negative,14.183617000000002,28.533904000000003,14.350287000000002
10,10,10,10,Rasik,14.383621000000002,28.533904000000003,14.150283000000002
11,11,11,11,Sameer,18.750375,28.533904000000003,9.783529000000003
12,12,12,12,Michelle Patel,18.750375,28.533904000000003,9.783529000000003
13,13,13,13,Natthu Kaka,19.367054000000003,28.533904000000003,9.16685
14,14,14,14,Sushrut's father,21.967106,28.533904000000003,6.566798000000002
15,15,15,15,Khushboo,26.95053900000001,28.533904000000003,1.5833649999999937
16,16,16,16,Negative,28.533904000000003,45.30090600000001,16.76700200000001
17,17,17,17,Sushrut,28.550571,45.30090600000001,16.75033500000001
18,18,18,18,Rocket,28.567238000000003,45.30090600000001,16.73366800000001
19,19,19,19,Rasik,28.617239,45.30090600000001,16.68366700000001
20,20,20,20,Khushboo,31.833970000000004,45.30090600000001,13.466936000000008
21,21,21,21,Michelle Patel,31.85063700000001,45.30090600000001,13.450269000000002
22,22,22,22,Sameer,33.317333000000005,45.30090600000001,11.983573000000007
23,23,23,23,Natthu Kaka,33.317333000000005,45.30090600000001,11.983573000000007
24,24,24,24,Sushrut's father,36.184057,45.30090600000001,9.116849000000009
25,25,25,25,Michelle Patel,45.33424,62.267912,16.933672
26,26,26,26,Sushrut,45.600912,62.267912,16.667
27,27,27,27,Negative,46.20092400000001,62.267912,16.066987999999995
28,28,28,28,Rocket,46.20092400000001,62.267912,16.066987999999995
29,29,29,29,Khushboo,51.017687,62.267912,11.250225
30,30,30,30,Michelle's Mother,59.10118200000001,62.267912,3.1667299999999936
31,31,31,31,Sameer,62.28457900000001,71.584765,9.300185999999997
32,32,32,32,Natthu Kaka,62.28457900000001,71.584765,9.300185999999997
33,33,33,33,Khushboo,63.051261,71.584765,8.533504000000008
34,34,34,34,Sushrut,63.66794000000001,71.584765,7.916824999999998
35,35,35,35,Michelle Patel,67.351347,71.584765,4.233418
36,36,36,36,Rocket,67.901358,71.584765,3.6834070000000025
37,37,37,37,Negative,67.93469200000001,71.584765,3.6500729999999915
38,38,38,38,Rocket,71.584765,75.318173,3.733407999999997
39,39,39,39,Negative,71.584765,75.318173,3.733407999999997
40,40,40,40,Rasik,71.584765,75.318173,3.733407999999997
41,41,41,41,Sushrut,71.66810000000002,75.318173,3.6500729999999777
42,42,42,42,Michelle Patel,73.26813200000002,75.318173,2.0500409999999802
43,43,43,43,Sameer,73.718141,75.318173,1.6000319999999988
44,44,44,44,Natthu Kaka,73.718141,75.318173,1.6000319999999988
45,45,45,45,Sushrut,75.38484100000002,87.55175100000002,12.16691
46,46,46,46,Rasik,75.451509,87.55175100000002,12.100242000000026
47,47,47,47,Negative,75.451509,87.55175100000002,12.100242000000026
48,48,48,48,Rocket,75.451509,87.55175100000002,12.100242000000026
49,49,49,49,Sushrut's father,79.534924,87.55175100000002,8.016827000000019
