,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sikander Beniwal,2.216711,4.433422,2.216711
1,1,1,1,Inder Jhangra,2.733388,4.433422,1.700034
2,2,2,2,Sutti Mama,2.866724,4.433422,1.566698
3,3,3,3,Sofi,3.266732,4.433422,1.16669
4,4,4,4,Kamran Qureshi,3.2833989999999997,4.433422,1.150023
5,5,5,5,Apurva Malik,3.683407,4.433422,0.7500150000000003
6,6,6,6,Tia,6.533464,18.833710000000004,12.300246000000005
7,7,7,7,Meenal,6.633466,18.833710000000004,12.200244000000005
8,8,8,8,Vidya Chauhan,6.700133999999999,18.833710000000004,12.133576000000005
9,9,9,9,Govardhan Malik,7.033474000000001,18.833710000000004,11.800236000000002
10,10,10,10,Apurva Malik,7.966826000000001,18.833710000000004,10.866884000000002
11,11,11,11,Inder Jhangra,7.966826000000001,18.833710000000004,10.866884000000002
12,12,12,12,Sofi,7.966826000000001,18.833710000000004,10.866884000000002
13,13,13,13,Sutti Mama,7.966826000000001,18.833710000000004,10.866884000000002
14,14,14,14,Ritu,9.600192000000002,18.833710000000004,9.233518000000002
15,15,15,15,Ravi Chauhan,18.950379,34.050681000000004,15.100302000000005
16,16,16,16,Tia,19.700394000000006,34.050681000000004,14.350286999999998
17,17,17,17,Vidya Chauhan,20.417075,34.050681000000004,13.633606000000004
18,18,18,18,Inspector Jayant Shroff,20.467076,34.050681000000004,13.583605000000002
19,19,19,19,Inspector Akhil,20.467076,34.050681000000004,13.583605000000002
20,20,20,20,Ritu,21.283759000000003,34.050681000000004,12.766922
21,21,21,21,Doctor #1,21.650433000000003,34.050681000000004,12.400248
22,22,22,22,Apurva Malik,23.117129,34.050681000000004,10.933552000000002
23,23,23,23,Inder Jhangra,23.117129,34.050681000000004,10.933552000000002
24,24,24,24,Harshit Poojary,23.200464000000004,34.050681000000004,10.850217
25,25,25,25,Sikander Beniwal,23.217131,34.050681000000004,10.833550000000004
26,26,26,26,Sofi,23.217131,34.050681000000004,10.833550000000004
27,27,27,27,Sutti Mama,23.967146000000003,34.050681000000004,10.083535
28,28,28,28,Govardhan Malik,31.267291999999998,34.050681000000004,2.7833890000000028
29,29,29,29,Vidya Chauhan,34.067347999999996,56.767802,22.700454
30,30,30,30,Ravi Chauhan,34.067347999999996,56.767802,22.700454
31,31,31,31,Tia,34.067347999999996,56.767802,22.700454
32,32,32,32,Ritu,37.61741900000001,56.767802,19.150382999999987
33,33,33,33,Inspector Jayant Shroff,40.100802,56.767802,16.667
34,34,34,34,Inspector Akhil,41.217490999999995,56.767802,15.550310999999999
35,35,35,35,Sikander Beniwal,50.651013000000006,56.767802,6.116788999999998
36,36,36,36,Vidya Chauhan,56.85113700000001,72.56811800000001,15.716981000000004
37,37,37,37,Apurva Malik,57.167809999999996,72.56811800000001,15.40030800000001
38,38,38,38,Inder Jhangra,57.21781100000001,72.56811800000001,15.350307
39,39,39,39,Sofi,57.25114500000001,72.56811800000001,15.316973000000004
40,40,40,40,Sikander Beniwal,57.301145999999996,72.56811800000001,15.26697200000001
41,41,41,41,Harshit Poojary,57.301145999999996,72.56811800000001,15.26697200000001
42,42,42,42,Kamran Qureshi,57.301145999999996,72.56811800000001,15.26697200000001
43,43,43,43,Sutti Mama,57.301145999999996,72.56811800000001,15.26697200000001
44,44,44,44,Inspector Jayant Shroff,57.80115600000001,72.56811800000001,14.766962
45,45,45,45,Inspector Akhil,57.80115600000001,72.56811800000001,14.766962
46,46,46,46,Ritu,58.217831,72.56811800000001,14.350287000000007
47,47,47,47,Meenal,59.60119200000001,72.56811800000001,12.966925999999999
48,48,48,48,Meenal's Father,62.234578000000006,72.56811800000001,10.333540000000006
49,49,49,49,Meenal's Mother,62.267912,72.56811800000001,10.30020600000001
50,50,50,50,Apurva Malik,72.56811800000001,90.15180300000002,17.583685000000006
51,51,51,51,Harshit Poojary,72.684787,90.15180300000002,17.467016000000015
52,52,52,52,Ravi Chauhan,73.50147000000003,90.15180300000002,16.65033299999999
53,53,53,53,Vidya Chauhan,75.034834,90.15180300000002,15.116969000000012
54,54,54,54,Ritu,75.95151899999998,90.15180300000002,14.200284000000039
55,55,55,55,Kamran Qureshi,80.468276,90.15180300000002,9.683527000000012
56,56,56,56,Inspector Jayant Shroff,82.78498900000002,90.15180300000002,7.366813999999992
57,57,57,57,Inspector Akhil,82.78498900000002,90.15180300000002,7.366813999999992
58,58,58,58,Sofi,84.53502399999998,90.15180300000002,5.616779000000037
59,59,59,59,Sutti Mama,84.60169200000001,90.15180300000002,5.550111000000001
60,60,60,60,Vidya Chauhan,90.301806,105.802116,15.50031
61,61,61,61,Sofi,90.435142,105.802116,15.366974
62,62,62,62,Sutti Mama,90.435142,105.802116,15.366974
63,63,63,63,Apurva Malik,93.50187,105.802116,12.300246
64,64,64,64,Ritu,96.118589,105.802116,9.683526999999998
65,65,65,65,Govardhan Malik,96.285259,105.802116,9.516857000000002
66,66,66,66,Inspector Jayant Shroff,97.285279,105.802116,8.516836999999995
67,67,67,67,Inspector Akhil,97.701954,105.802116,8.100161999999997
