,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Aditya Chothia,5.600112,10.716880999999999,5.1167690000000015
1,1,1,1,Deep,5.600112,10.716880999999999,5.1167690000000015
2,2,2,2,Sunny Kele,5.600112,10.716880999999999,5.1167690000000015
3,3,3,3,Bunty,7.666819999999999,10.716880999999999,3.0500610000000017
4,4,4,4,Sunny Kele,11.200224,22.433782,11.233558
5,5,5,5,Sex Change Girl with Tusshar,11.200224,22.433782,11.233558
6,6,6,6,Sex Change Boy with Tusshar,11.216891,22.433782,11.216891
7,7,7,7,Aditya Chothia,12.450249,22.433782,9.983533
8,8,8,8,Married Woman with Vir,12.450249,22.433782,9.983533
9,9,9,9,Runner 1,12.633586,22.433782,9.800196
10,10,10,10,Runner 2,12.816923,22.433782,9.616859000000002
11,11,11,11,Runner 3,12.950258999999999,22.433782,9.483523
12,12,12,12,Shekhar,13.216931,22.433782,9.216851
13,13,13,13,Laila Lele,14.583625,22.433782,7.850157000000001
14,14,14,14,Chotu,15.366973999999999,22.433782,7.066808
15,15,15,15,Lily Lele,17.267012,22.433782,5.16677
16,16,16,16,Hostess of Ad Shoot,17.383681000000006,22.433782,5.050100999999994
17,17,17,17,Boss D Wala,19.017047,22.433782,3.4167349999999987
18,18,18,18,Hot Mother,20.117069,22.433782,2.316713
19,19,19,19,Kid on Crane,20.117069,22.433782,2.316713
20,20,20,20,Dead Man,20.567078,22.433782,1.866704000000002
21,21,21,21,Kid at Funeral,20.567078,22.433782,1.866704000000002
22,22,22,22,Old Man (Laila's Intro),20.567078,22.433782,1.866704000000002
23,23,23,23,Alcoholic Girl 1,22.433782,41.83417,19.400388
24,24,24,24,Aditya Chothia,22.48378300000001,41.83417,19.350386999999987
25,25,25,25,Alcoholic Girl 2,22.517117,41.83417,19.317053
26,26,26,26,Sunny Kele,22.567118,41.83417,19.267052
27,27,27,27,Alcoholics Group Head,22.583785,41.83417,19.250385
28,28,28,28,Laila Lele,25.017167,41.83417,16.817003
29,29,29,29,Lily Lele,25.017167,41.83417,16.817003
30,30,30,30,Boss D Wala,28.717240999999998,41.83417,13.116929
31,31,31,31,Goti Soda Client Father,28.717240999999998,41.83417,13.116929
32,32,32,32,Goti Soda Client Son,28.717240999999998,41.83417,13.116929
33,33,33,33,Seema Lele,32.267312000000004,41.83417,9.566857999999996
34,34,34,34,Titli Boobna,38.367434,41.83417,3.4667359999999974
35,35,35,35,Seema Lele,41.867504,62.267912,20.400408000000006
36,36,36,36,Laila Lele,41.867504,62.267912,20.400408000000006
37,37,37,37,Lily Lele,41.867504,62.267912,20.400408000000006
38,38,38,38,Sunny Kele,41.91750500000001,62.267912,20.350406999999983
39,39,39,39,Aditya Chothia,41.91750500000001,62.267912,20.350406999999983
40,40,40,40,Deshpremi Singh,48.817643,62.267912,13.450269000000004
41,41,41,41,U.R. Ashit,54.56775800000001,62.267912,7.7001539999999915
42,42,42,42,Son Das,56.80113600000001,62.267912,5.466775999999998
43,43,43,43,U.R. Ashit,62.301246000000006,83.08499499999998,20.78374899999997
44,44,44,44,Deshpremi Singh,62.301246000000006,83.08499499999998,20.78374899999997
45,45,45,45,Sunny Kele,62.35124700000001,83.08499499999998,20.73374799999997
46,46,46,46,Aditya Chothia,62.35124700000001,83.08499499999998,20.73374799999997
47,47,47,47,Son Das,62.984593,83.08499499999998,20.100401999999974
48,48,48,48,Laila Lele,62.984593,83.08499499999998,20.100401999999974
49,49,49,49,Lily Lele,62.984593,83.08499499999998,20.100401999999974
50,50,50,50,Alcoholic Girl 2,76.88487099999998,83.08499499999998,6.200124000000002
51,51,51,51,Alcoholic Girl 1,76.88487099999998,83.08499499999998,6.200124000000002
52,52,52,52,Aditya Chothia,83.08499499999998,103.552071,20.46707600000002
53,53,53,53,Sunny Kele,83.08499499999998,103.552071,20.46707600000002
54,54,54,54,Son Das,83.635006,103.552071,19.917064999999994
55,55,55,55,Laila Lele,84.20168400000001,103.552071,19.350386999999984
56,56,56,56,U.R. Ashit,84.66835999999998,103.552071,18.88371100000002
57,57,57,57,Deshpremi Singh,84.66835999999998,103.552071,18.88371100000002
58,58,58,58,Lily Lele,85.53504400000001,103.552071,18.017026999999985
59,59,59,59,Alcoholic Girl 2,86.78506900000002,103.552071,16.767001999999973
60,60,60,60,Alcoholic Girl 1,86.78506900000002,103.552071,16.767001999999973
61,61,61,61,Deep,91.201824,103.552071,12.350246999999996
62,62,62,62,Sex Addicts Group Head,91.685167,103.552071,11.866903999999993
63,63,63,63,Seema Lele,92.83519,103.552071,10.716880999999999
