,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Kusum,1.416695,17.850357000000006,16.433662000000005
1,1,1,1,Arvind,1.416695,17.850357000000006,16.433662000000005
2,2,2,2,Annu,1.866704,17.850357000000006,15.983653000000004
3,3,3,3,Qurbaan,1.900038,17.850357000000006,15.950319000000004
4,4,4,4,Mayank,1.900038,17.850357000000006,15.950319000000004
5,5,5,5,Annu's Mother,3.250065,17.850357000000006,14.600292000000007
6,6,6,6,Usman Bhai,4.883431000000002,17.850357000000006,12.966926000000004
7,7,7,7,Babli,8.016827000000001,17.850357000000006,9.833530000000003
8,8,8,8,Maithali,8.016827000000001,17.850357000000006,9.833530000000003
9,9,9,9,Guru Panda,10.050201,17.850357000000006,7.8001560000000065
10,10,10,10,Arvind's Father,10.416875,17.850357000000006,7.433482000000009
11,11,11,11,Arvind's Mother,10.416875,17.850357000000006,7.433482000000009
12,12,12,12,Doctor,10.416875,17.850357000000006,7.433482000000009
13,13,13,13,Kaptan Singh,11.033553999999999,17.850357000000006,6.8168030000000055
14,14,14,14,Hariharan Panda,17.850357000000006,34.584025000000004,16.733667999999998
15,15,15,15,Mayank,18.117029,34.584025000000004,16.466995999999998
16,16,16,16,Annu,18.550371,34.584025000000004,16.033654000000006
17,17,17,17,Janardhan Panda,19.717060999999998,34.584025000000004,14.866964000000005
18,18,18,18,Maithali's Mother,20.367074,34.584025000000004,14.216951000000005
19,19,19,19,Maithali,20.367074,34.584025000000004,14.216951000000005
20,20,20,20,Guru Panda,22.38378100000001,34.584025000000004,12.200243999999996
21,21,21,21,Astrologer,23.017127,34.584025000000004,11.566898000000005
22,22,22,22,Annu's Mother,25.300506,34.584025000000004,9.283519000000004
23,23,23,23,Dinkar Sharma,25.66718,34.584025000000004,8.916845000000006
24,24,24,24,Qurbaan,29.083915,34.584025000000004,5.500110000000002
25,25,25,25,College Prof.,34.150683,34.584025000000004,0.4333420000000032
26,26,26,26,Hariharan Panda,34.600691999999995,51.217690999999995,16.616999000000007
27,27,27,27,Annu,34.600691999999995,51.217690999999995,16.616999000000007
28,28,28,28,Maithali,34.600691999999995,51.217690999999995,16.616999000000007
29,29,29,29,Usman Bhai,35.50071000000001,51.217690999999995,15.71698099999999
30,30,30,30,Qurbaan,35.584045,51.217690999999995,15.633646
31,31,31,31,Mayank,35.584045,51.217690999999995,15.633646
32,32,32,32,College Prof.,38.834109999999995,51.217690999999995,12.383581
