,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Noor,1.5333640000000002,9.250185,7.716820999999999
1,1,1,1,nt1234918,1.7833690000000002,9.250185,7.4668160000000015
2,2,2,2,Noor's father,2.700054,9.250185,6.5501309999999995
3,3,3,3,Shekhar,5.3001059999999995,9.250185,3.950079
4,4,4,4,Lavina,5.516776999999999,9.250185,3.7334080000000016
5,5,5,5,Noor's Camera Man,8.966846,9.250185,0.2833389999999998
6,6,6,6,Guest Appearance,9.16685,9.250185,0.08333499999999994
7,7,7,7,nt1275067,9.250185,15.50031,6.2501250000000015
8,8,8,8,Noor,9.250185,15.50031,6.2501250000000015
9,9,9,9,nt0912035,9.250185,15.50031,6.2501250000000015
10,10,10,10,nt0194042,9.250185,15.50031,6.2501250000000015
11,11,11,11,Guest Appearance,9.250185,15.50031,6.2501250000000015
12,12,12,12,Noor's Camera Man,9.300186,15.50031,6.2001240000000015
13,13,13,13,Noor's father,9.916865,15.50031,5.583445000000001
14,14,14,14,Zara Patel,10.566877999999999,15.50031,4.933432
15,15,15,15,Saad Sehgal,13.216931,15.50031,2.283379
16,16,16,16,Little Saad - UK,13.266932,15.50031,2.233378
17,17,17,17,Saad's Father,13.366934,15.50031,2.1333759999999997
18,18,18,18,Little Zara,13.50027,15.50031,2.0000400000000003
19,19,19,19,Little Noor,13.50027,15.50031,2.0000400000000003
20,20,20,20,Little Saad - India,13.50027,15.50031,2.0000400000000003
21,21,21,21,Noor,15.583645,25.767182,10.183537
22,22,22,22,Noor's father,15.950319000000002,25.767182,9.816863
23,23,23,23,nt1169041,15.950319000000002,25.767182,9.816863
24,24,24,24,Handstand Man,16.300326000000002,25.767182,9.466856
25,25,25,25,Noor's Camera Man,16.300326000000002,25.767182,9.466856
26,26,26,26,Guest Appearance,16.583665,25.767182,9.183517000000002
27,27,27,27,Shekhar,16.633666,25.767182,9.133516
28,28,28,28,Saad Sehgal,18.400368,25.767182,7.3668140000000015
29,29,29,29,Rahul Parekh,19.900398000000006,25.767182,5.8667839999999964
30,30,30,30,Lady in Art Gallery,23.133796000000004,25.767182,2.633385999999998
31,31,31,31,Zarina,23.200464000000004,25.767182,2.566717999999998
32,32,32,32,Ayan Banerjee,23.883810999999998,25.767182,1.8833710000000004
33,33,33,33,Noor,25.783849000000004,34.017346999999994,8.23349799999999
34,34,34,34,Zarina,25.783849000000004,34.017346999999994,8.23349799999999
35,35,35,35,Saad Sehgal,25.783849000000004,34.017346999999994,8.23349799999999
