,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,nt1398862,0.9000180000000001,1.633366,0.733348
1,1,1,1,Rafi,0.983353,1.633366,0.6500130000000001
2,2,2,2,Miloni,1.366694,1.633366,0.26667199999999996
3,3,3,3,Kanti Bhai,1.7167010000000005,2.283379,0.5666779999999996
4,4,4,4,Hasmukh Bhai,1.7500350000000002,2.283379,0.5333439999999998
5,5,5,5,Miloni,2.283379,3.1000620000000003,0.8166830000000003
6,6,6,6,Sheilaben,2.283379,3.1000620000000003,0.8166830000000003
7,7,7,7,Saloni,2.283379,3.1000620000000003,0.8166830000000003
8,8,8,8,Fazlu Master,2.7167209999999997,3.1000620000000003,0.38334100000000015
9,9,9,9,Miloni,3.1000620000000003,7.3668140000000015,4.266752000000001
10,10,10,10,Saloni,4.0667480000000005,7.3668140000000015,3.300066000000001
11,11,11,11,Mohan,4.0667480000000005,7.3668140000000015,3.300066000000001
12,12,12,12,Sheilaben,4.0667480000000005,7.3668140000000015,3.300066000000001
13,13,13,13,Rafi,5.0334340000000015,7.3668140000000015,2.33338
14,14,14,14,nt0934600,6.983473000000001,7.3668140000000015,0.3833410000000006
15,15,15,15,Banke,7.066808000000001,7.3668140000000015,0.30000600000000066
16,16,16,16,Rafi,7.3668140000000015,10.400208,3.0333939999999995
17,17,17,17,Banke,7.4001480000000015,10.400208,3.0000599999999995
18,18,18,18,Teller,8.550171,10.400208,1.8500370000000004
19,19,19,19,Gafoor,9.16685,10.400208,1.2333580000000008
20,20,20,20,Kulfiwallah,10.033534,10.400208,0.3666740000000015
21,21,21,21,Gopal Taxi Driver,10.250205,10.400208,0.1500029999999999
22,22,22,22,Banke,10.400208,12.516917,2.1167089999999984
23,23,23,23,Rafi,10.400208,12.516917,2.1167089999999984
24,24,24,24,Bilal,10.400208,12.516917,2.1167089999999984
25,25,25,25,Zakir Bhai,10.533544,12.516917,1.9833729999999985
26,26,26,26,Raghu,10.716880999999999,12.516917,1.8000359999999986
27,27,27,27,Miloni,12.516917,13.50027,0.983353000000001
28,28,28,28,Sheilaben,12.516917,13.50027,0.983353000000001
29,29,29,29,Himesh,12.516917,13.50027,0.983353000000001
30,30,30,30,Rampyaari,12.516917,13.50027,0.983353000000001
31,31,31,31,Mohan,12.516917,13.50027,0.983353000000001
