,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Aditya 'Adi' Shroff,0.7500150000000001,6.000120000000001,5.2501050000000005
1,1,1,1,Joseph 'Joe' Mascarenhas,0.850017,6.000120000000001,5.1501030000000005
2,2,2,2,Kedar 'KD' 'Killer Drummer' Zaveri,1.16669,6.000120000000001,4.833430000000001
3,3,3,3,Rob Nancy,1.2000240000000002,6.000120000000001,4.800096000000001
4,4,4,4,Kedar 'KD' 'Killer Drummer' Zaveri,6.3001260000000014,7.616819,1.316692999999999
5,5,5,5,Bartender,6.933472000000001,7.616819,0.6833469999999995
6,6,6,6,Joseph 'Joe' Mascarenhas,7.233478000000002,7.616819,0.3833409999999979
7,7,7,7,Debbie,7.233478000000002,7.616819,0.3833409999999979
8,8,8,8,Andrew,7.233478000000002,7.616819,0.3833409999999979
9,9,9,9,Music Producer,7.633486,9.516857000000002,1.8833710000000008
10,10,10,10,Rob Nancy,7.666819999999999,9.516857000000002,1.850037000000004
11,11,11,11,Aditya 'Adi' Shroff,8.466836,9.516857000000002,1.050021000000001
12,12,12,12,Sakshi,8.566838,9.516857000000002,0.9500190000000012
13,13,13,13,Watchman,9.066848,9.516857000000002,0.45000900000000144
14,14,14,14,Devika,9.516857000000002,12.233578,2.7167209999999984
15,15,15,15,Sakshi,9.750195,12.233578,2.4833830000000003
16,16,16,16,Andrew,12.233578,15.083635,2.8500570000000014
17,17,17,17,Joseph 'Joe' Mascarenhas,12.416915,15.083635,2.666720000000001
18,18,18,18,Debbie,12.766922,15.083635,2.316713
19,19,19,19,Machchiwali,13.033594,15.083635,2.050041
20,20,20,20,Mrs. Mascarenhas,13.283598999999999,15.083635,1.8000360000000004
21,21,21,21,Joe's Mother,13.283598999999999,15.083635,1.8000360000000004
22,22,22,22,KD's Father,15.083635,17.083675000000003,2.000040000000002
23,23,23,23,Sakshi,15.083635,17.083675000000003,2.000040000000002
24,24,24,24,Devika,15.083635,17.083675000000003,2.000040000000002
25,25,25,25,Kedar 'KD' 'Killer Drummer' Zaveri,15.150303,17.083675000000003,1.933372000000004
26,26,26,26,Aditya 'Adi' Shroff,17.083675000000003,18.533704,1.4500289999999971
27,27,27,27,Bajaj,17.583685000000006,18.533704,0.9500189999999941
28,28,28,28,Sakshi,18.533704,21.867104,3.333400000000001
29,29,29,29,Aditya 'Adi' Shroff,18.633706,21.867104,3.233398000000001
30,30,30,30,Joseph 'Joe' Mascarenhas,20.33374,21.867104,1.5333640000000024
31,31,31,31,Kedar 'KD' 'Killer Drummer' Zaveri,20.517077,21.867104,1.3500270000000008
32,32,32,32,Rob Nancy,20.533744,21.867104,1.3333600000000023
33,33,33,33,Aditya 'Adi' Shroff,21.867104,28.567238000000003,6.700134000000002
34,34,34,34,Sakshi,22.00044,28.567238000000003,6.566798000000002
35,35,35,35,Namdeo,22.200444,28.567238000000003,6.366794000000002
36,36,36,36,Joseph 'Joe' Mascarenhas,24.017147,28.567238000000003,4.550091000000002
37,37,37,37,Kedar 'KD' 'Killer Drummer' Zaveri,24.183817,28.567238000000003,4.383421000000002
38,38,38,38,Rob Nancy,24.183817,28.567238000000003,4.383421000000002
39,39,39,39,Debbie,24.80049600000001,28.567238000000003,3.7667419999999936
40,40,40,40,Tanya,25.183837000000004,28.567238000000003,3.3834009999999988
41,41,41,41,Devika,26.167189999999998,28.567238000000003,2.4000480000000017
42,42,42,42,Kedar 'KD' 'Killer Drummer' Zaveri,28.617239,29.83393,1.2166909999999973
43,43,43,43,Rob Nancy,28.783909,29.83393,1.0500209999999974
44,44,44,44,Joseph 'Joe' Mascarenhas,29.883931000000004,33.267332,3.3834009999999988
45,45,45,45,Aditya 'Adi' Shroff,29.883931000000004,33.267332,3.3834009999999988
46,46,46,46,Kedar 'KD' 'Killer Drummer' Zaveri,29.883931000000004,33.267332,3.3834009999999988
47,47,47,47,Rob Nancy,29.883931000000004,33.267332,3.3834009999999988
48,48,48,48,Debbie,29.883931000000004,33.267332,3.3834009999999988
49,49,49,49,Tanya,29.883931000000004,33.267332,3.3834009999999988
50,50,50,50,Khursheed Chacha,30.850617000000003,33.267332,2.416715
51,51,51,51,Singer in Jazz club,33.267332,34.70069400000001,1.4333620000000096
52,52,52,52,Rob Nancy,33.283999,34.70069400000001,1.4166950000000114
53,53,53,53,Kedar 'KD' 'Killer Drummer' Zaveri,33.617339,34.70069400000001,1.0833550000000116
54,54,54,54,Kedar 'KD' 'Killer Drummer' Zaveri,34.70069400000001,37.83409,3.1333959999999905
55,55,55,55,Debbie,34.717361000000004,37.83409,3.1167289999999994
56,56,56,56,Joseph 'Joe' Mascarenhas,34.734028,37.83409,3.100062000000001
57,57,57,57,Rob Nancy,34.750695,37.83409,3.083395000000003
58,58,58,58,Aditya 'Adi' Shroff,34.76736200000001,37.83409,3.0667279999999906
59,59,59,59,Tanya,34.76736200000001,37.83409,3.0667279999999906
60,60,60,60,Contest MC,37.850757,47.984293,10.133536
61,61,61,61,Ajay,37.93409200000001,47.984293,10.050200999999994
62,62,62,62,Chakravyuh band,37.93409200000001,47.984293,10.050200999999994
63,63,63,63,Ajay-Chakravyuh band,37.93409200000001,47.984293,10.050200999999994
64,64,64,64,Chakravyuh band,38.117429,47.984293,9.866864
65,65,65,65,Chakravyuh band,38.117429,47.984293,9.866864
66,66,66,66,Joseph 'Joe' Mascarenhas,38.234097999999996,47.984293,9.750194999999998
67,67,67,67,Kedar 'KD' 'Killer Drummer' Zaveri,38.26743200000001,47.984293,9.716860999999994
68,68,68,68,Rob Nancy,38.434102,47.984293,9.550190999999998
69,69,69,69,Debbie,38.434102,47.984293,9.550190999999998
70,70,70,70,Aditya 'Adi' Shroff,38.917445,47.984293,9.066848
71,71,71,71,Tanya,39.034114,47.984293,8.950178999999997
72,72,72,72,Rob Nancy,47.984293,52.75105500000001,4.766762000000006
73,73,73,73,Kedar 'KD' 'Killer Drummer' Zaveri,47.984293,52.75105500000001,4.766762000000006
74,74,74,74,Joseph 'Joe' Mascarenhas,49.034314,52.75105500000001,3.716741000000008
75,75,75,75,Debbie,50.517677000000006,52.75105500000001,2.2333780000000023
76,76,76,76,Andrew,50.517677000000006,52.75105500000001,2.2333780000000023
77,77,77,77,Debbie,53.01772700000001,54.384420999999996,1.3666939999999954
78,78,78,78,Joseph 'Joe' Mascarenhas,53.051061,54.384420999999996,1.3333600000000059
79,79,79,79,Debbie,54.384420999999996,57.817823,3.4334019999999934
80,80,80,80,Joseph 'Joe' Mascarenhas,54.517756999999996,57.817823,3.3000659999999935
81,81,81,81,Aditya 'Adi' Shroff,55.384441,57.817823,2.4333819999999946
82,82,82,82,Rob Nancy,55.434442,57.817823,2.3833809999999933
83,83,83,83,Kedar 'KD' 'Killer Drummer' Zaveri,55.50111,57.817823,2.316713
84,84,84,84,Aditya 'Adi' Shroff,57.817823,68.818043,11.000220000000004
85,85,85,85,Sakshi,57.901157999999995,68.818043,10.916885
86,86,86,86,Rob Nancy,58.351167,68.818043,10.466876
87,87,87,87,Kedar 'KD' 'Killer Drummer' Zaveri,58.40116800000001,68.818043,10.41687499999999
88,88,88,88,Devika,59.017846999999996,68.818043,9.800196000000001
89,89,89,89,Bajaj,59.23451800000001,68.818043,9.583524999999996
90,90,90,90,Joseph 'Joe' Mascarenhas,64.15128299999999,68.818043,4.666760000000012
91,91,91,91,Joe's Mother,68.818043,70.61807900000002,1.80003600000002
92,92,92,92,Mrs. Mascarenhas,68.818043,70.61807900000002,1.80003600000002
93,93,93,93,Joseph 'Joe' Mascarenhas,68.818043,70.61807900000002,1.80003600000002
94,94,94,94,Rob Nancy,68.83471,70.61807900000002,1.7833690000000215
95,95,95,95,Aditya 'Adi' Shroff,70.268072,70.61807900000002,0.3500070000000193
96,96,96,96,Khursheed Chacha,70.684747,75.90151800000002,5.216771000000024
97,97,97,97,Rob Nancy,70.818083,75.90151800000002,5.083435000000024
98,98,98,98,Joseph 'Joe' Mascarenhas,71.618099,75.90151800000002,4.283419000000023
99,99,99,99,Kedar 'KD' 'Killer Drummer' Zaveri,71.618099,75.90151800000002,4.283419000000023
100,100,100,100,Aditya 'Adi' Shroff,71.65143300000003,75.90151800000002,4.250084999999999
101,101,101,101,Tolani(Heak Honko of a Music Company),71.984773,75.90151800000002,3.91674500000002
102,102,102,102,Sukhani,73.00146000000002,75.90151800000002,2.9000580000000014
103,103,103,103,Tanya,75.90151800000002,78.468236,2.5667179999999803
104,104,104,104,Debbie,75.90151800000002,78.468236,2.5667179999999803
105,105,105,105,Aditya 'Adi' Shroff,75.90151800000002,78.468236,2.5667179999999803
106,106,106,106,Joseph 'Joe' Mascarenhas,75.90151800000002,78.468236,2.5667179999999803
107,107,107,107,Rob Nancy,75.968186,78.468236,2.5000500000000017
108,108,108,108,Kedar 'KD' 'Killer Drummer' Zaveri,76.384861,78.468236,2.083375000000004
109,109,109,109,Joseph 'Joe' Mascarenhas,78.468236,81.901638,3.4334020000000014
110,110,110,110,Music Video Director,78.95157900000002,81.901638,2.9500589999999822
111,111,111,111,Aditya 'Adi' Shroff,79.018247,81.901638,2.883391000000003
112,112,112,112,Kedar 'KD' 'Killer Drummer' Zaveri,79.018247,81.901638,2.883391000000003
113,113,113,113,Rob Nancy,79.018247,81.901638,2.883391000000003
114,114,114,114,Sukhani,79.018247,81.901638,2.883391000000003
115,115,115,115,Debbie,79.134916,81.901638,2.766722000000001
116,116,116,116,Rob Nancy,81.901638,84.61835900000001,2.7167210000000064
117,117,117,117,Joseph 'Joe' Mascarenhas,81.918305,84.61835900000001,2.7000540000000086
118,118,118,118,Khursheed Chacha,81.96830600000001,84.61835900000001,2.650053
119,119,119,119,Kedar 'KD' 'Killer Drummer' Zaveri,82.66832000000002,84.61835900000001,1.9500389999999896
120,120,120,120,Aditya 'Adi' Shroff,83.134996,84.61835900000001,1.483363000000011
121,121,121,121,Devika,83.134996,84.61835900000001,1.483363000000011
122,122,122,122,Joseph 'Joe' Mascarenhas,84.61835900000001,95.83525,11.21689099999999
123,123,123,123,Kedar 'KD' 'Killer Drummer' Zaveri,84.73502800000001,95.83525,11.100221999999988
124,124,124,124,Rob Nancy,84.818363,95.83525,11.016886999999995
125,125,125,125,Aditya 'Adi' Shroff,86.58506500000001,95.83525,9.250184999999988
126,126,126,126,Sakshi,89.78512900000004,95.83525,6.0501209999999634
127,127,127,127,Watchman,90.401808,95.83525,5.4334419999999986
128,128,128,128,Namdeo,90.63514599999999,95.83525,5.200103999999996
129,129,129,129,KD's Father,92.368514,95.83525,3.4667359999999974
130,130,130,130,Music Producer,92.90185799999999,95.83525,2.9333919999999982
131,131,131,131,Devika,93.368534,95.83525,2.466716000000005
132,132,132,132,Andrew,93.368534,95.83525,2.466716000000005
133,133,133,133,Debbie,93.768542,95.83525,2.0667079999999918
134,134,134,134,Debbie,95.851917,100.402008,4.550090999999996
135,135,135,135,Joseph 'Joe' Mascarenhas,95.95191899999999,100.402008,4.450088999999991
136,136,136,136,Machchiwali,96.00192,100.402008,4.400087999999997
137,137,137,137,Aditya 'Adi' Shroff,96.868604,100.402008,3.5334039999999907
138,138,138,138,Kedar 'KD' 'Killer Drummer' Zaveri,96.868604,100.402008,3.5334039999999907
139,139,139,139,Rob Nancy,96.868604,100.402008,3.5334039999999907
140,140,140,140,Sakshi,96.868604,100.402008,3.5334039999999907
141,141,141,141,Andrew,98.251965,100.402008,2.1500429999999966
142,142,142,142,Joe's Mother,98.61863900000002,100.402008,1.783368999999979
143,143,143,143,Rob Nancy,100.402008,101.568698,1.166690000000003
144,144,144,144,Kedar 'KD' 'Killer Drummer' Zaveri,100.402008,101.568698,1.166690000000003
145,145,145,145,Aditya 'Adi' Shroff,100.402008,101.568698,1.166690000000003
146,146,146,146,Joseph 'Joe' Mascarenhas,100.402008,101.568698,1.166690000000003
147,147,147,147,Sakshi,100.552011,101.568698,1.0166870000000046
148,148,148,148,Ajay-Chakravyuh band,101.568698,112.435582,10.866884000000011
149,149,149,149,Ajay,101.568698,112.435582,10.866884000000011
150,150,150,150,Aditya 'Adi' Shroff,101.685367,112.435582,10.750215000000011
151,151,151,151,Kedar 'KD' 'Killer Drummer' Zaveri,101.702034,112.435582,10.733548000000011
152,152,152,152,Rob Nancy,101.702034,112.435582,10.733548000000011
153,153,153,153,Joseph 'Joe' Mascarenhas,101.718701,112.435582,10.716881000000015
154,154,154,154,Sakshi,102.902058,112.435582,9.533524000000012
155,155,155,155,Devika,103.052061,112.435582,9.383521000000016
156,156,156,156,Tanya,103.83541,112.435582,8.600172000000015
157,157,157,157,Joseph 'Joe' Mascarenhas,112.435582,115.635646,3.200063999999984
158,158,158,158,Kedar 'KD' 'Killer Drummer' Zaveri,112.468916,115.635646,3.166730000000001
159,159,159,159,Aditya 'Adi' Shroff,112.50225,115.635646,3.1333959999999905
160,160,160,160,Rob Nancy,113.118929,115.635646,2.5167169999999857
