,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sadashiv Patil,3.6000720000000004,17.66702,14.066948000000002
1,1,1,1,Virendra Rathod (Veer),4.1834169999999995,17.66702,13.483603
2,2,2,2,Hawaldar Bapat,5.966786000000001,17.66702,11.700234
3,3,3,3,Commissioner,8.816842999999997,17.66702,8.850177000000004
4,4,4,4,DCP Rane,9.16685,17.66702,8.500169999999999
5,5,5,5,Beach Minister,9.616859000000002,17.66702,8.050161
6,6,6,6,Shikha,9.850197,17.66702,7.816823000000001
7,7,7,7,Shinde,17.817023000000006,28.483903,10.666879999999997
8,8,8,8,Commissioner,18.267032,28.483903,10.216871
9,9,9,9,DCP Rane,18.267032,28.483903,10.216871
10,10,10,10,DCP Shivansh Rathod,18.850376999999998,28.483903,9.633526
11,11,11,11,Shivansh's Daughter,18.850376999999998,28.483903,9.633526
12,12,12,12,Virendra Rathod (Veer),23.567138000000003,28.483903,4.916764999999998
13,13,13,13,Mohan Srivastav Wife,25.617179000000004,28.483903,2.8667239999999983
14,14,14,14,Inspector Mohan Srivastav,25.717181000000004,28.483903,2.7667219999999983
15,15,15,15,Shikha,26.417195000000003,28.483903,2.0667079999999984
16,16,16,16,DCP Shivansh Rathod,28.583904999999998,43.984213,15.400308000000004
17,17,17,17,Sarita,28.700574000000003,43.984213,15.283639
18,18,18,18,Shivansh's Daughter,29.050581,43.984213,14.933632000000005
19,19,19,19,Virendra Rathod (Veer),29.883931000000004,43.984213,14.100282
20,20,20,20,Shinde,31.867304000000004,43.984213,12.116909
21,21,21,21,Damle,32.367314,43.984213,11.616899000000005
22,22,22,22,Dancer,33.484003,43.984213,10.500210000000003
23,23,23,23,Commissioner,40.150803,43.984213,3.8334100000000007
24,24,24,24,DCP Rane,43.150863,43.984213,0.8333500000000029
25,25,25,25,Virendra Rathod (Veer),44.134215999999995,60.934552,16.800335999999998
26,26,26,26,Shikha,44.134215999999995,60.934552,16.800335999999998
27,27,27,27,DCP Shivansh Rathod,48.034294,60.934552,12.900258
28,28,28,28,Commissioner,48.150963,60.934552,12.783589000000005
29,29,29,29,Minister,48.150963,60.934552,12.783589000000005
30,30,30,30,Shinde,49.66766000000001,60.934552,11.266891999999993
31,31,31,31,DCP Rane,49.700994,60.934552,11.233558000000002
32,32,32,32,Satish Bhosale,50.00100000000001,60.934552,10.933551999999993
33,33,33,33,Aslam,50.101002,60.934552,10.833550000000002
34,34,34,34,Aslam's Mother,52.31771300000001,60.934552,8.616838999999992
35,35,35,35,Aslam's Mother,60.934552,69.618059,8.683506999999999
36,36,36,36,Aslam,60.934552,69.618059,8.683506999999999
37,37,37,37,DCP Shivansh Rathod,60.934552,69.618059,8.683506999999999
38,38,38,38,Commissioner,63.317933,69.618059,6.300126000000006
39,39,39,39,Virendra Rathod (Veer),63.93461200000001,69.618059,5.683446999999994
40,40,40,40,Virendra Rathod (Veer),69.634726,82.051641,12.416915000000005
41,41,41,41,Inspector Shiv Rathod,70.951419,82.051641,11.100222000000002
42,42,42,42,Commissioner,73.151463,82.051641,8.900177999999997
43,43,43,43,DCP Shivansh Rathod,82.16830999999998,95.16856999999999,13.000260000000026
44,44,44,44,Virendra Rathod (Veer),82.16830999999998,95.16856999999999,13.000260000000026
45,45,45,45,Shinde,83.41833500000001,95.16856999999999,11.750234999999993
46,46,46,46,Satish Bhosale,83.768342,95.16856999999999,11.400227999999998
47,47,47,47,Dr. Mehta,84.60169200000001,95.16856999999999,10.566877999999988
48,48,48,48,Commissioner,89.718461,95.16856999999999,5.450108999999998
49,49,49,49,DCP Rane,90.951819,95.16856999999999,4.216751000000002
50,50,50,50,Shikha,92.885191,95.16856999999999,2.2833789999999965
51,51,51,51,DCP Shivansh Rathod,95.201904,104.885431,9.683527000000012
52,52,52,52,Virendra Rathod (Veer),95.53524399999999,104.885431,9.350187000000004
53,53,53,53,Inspector Mohan Srivastav,95.751915,104.885431,9.133516000000013
54,54,54,54,Mohan Srivastav Wife,96.00192,104.885431,8.883511000000011
55,55,55,55,Inspector Shiv Rathod,96.868604,104.885431,8.016827000000006
56,56,56,56,Sarita,98.601972,104.885431,6.283459000000009
57,57,57,57,Shikha,98.88531100000002,104.885431,6.000119999999996
58,58,58,58,Virendra Rathod (Veer),104.935432,118.402368,13.46693599999999
59,59,59,59,Shikha,104.952099,118.402368,13.450268999999993
60,60,60,60,DCP Shivansh Rathod,106.43546200000002,118.402368,11.96690599999998
61,61,61,61,Commissioner,106.485463,118.402368,11.916905
62,62,62,62,Shinde,106.485463,118.402368,11.916905
63,63,63,63,DCP Rane,106.485463,118.402368,11.916905
64,64,64,64,Inspector Shankar Gaikwad,106.6688,118.402368,11.733567999999993
65,65,65,65,Muslim Father,106.70213400000002,118.402368,11.70023399999998
66,66,66,66,Muslim Girl,106.852137,118.402368,11.550230999999984
67,67,67,67,Damle,115.65231299999999,118.402368,2.7500549999999895
68,68,68,68,DCP Shivansh Rathod,118.635706,137.102742,18.467036000000007
69,69,69,69,Commissioner,118.635706,137.102742,18.467036000000007
70,70,70,70,Virendra Rathod (Veer),119.80239600000002,137.102742,17.30034599999999
71,71,71,71,Shikha,119.80239600000002,137.102742,17.30034599999999
72,72,72,72,Inspector Shiv Rathod,128.91924500000002,137.102742,8.183496999999987
