,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Ustinov,0.0,0.483343,0.483343
1,1,1,1,Shivaay,1.83337,10.883550999999999,9.050181
2,2,2,2,Colonel,3.0667280000000003,10.883550999999999,7.8168229999999985
3,3,3,3,Captain,3.0667280000000003,10.883550999999999,7.8168229999999985
4,4,4,4,Major,3.0667280000000003,10.883550999999999,7.8168229999999985
5,5,5,5,Kancha,8.083495000000001,10.883550999999999,2.800056
6,6,6,6,Yungchan,8.466836,10.883550999999999,2.416715
7,7,7,7,Indian Trekker,8.683507,10.883550999999999,2.2000439999999997
8,8,8,8,Olga,8.766842,10.883550999999999,2.116709
9,9,9,9,Olga,10.883550999999999,15.100302,4.216750999999999
10,10,10,10,Shivaay,10.916885,15.100302,4.183416999999999
11,11,11,11,Kancha,11.083555,15.100302,4.016746999999999
12,12,12,12,Indian Trekker,12.000240000000002,15.100302,3.1000619999999977
13,13,13,13,Shivaay,15.100302,20.850417,5.750115000000001
14,14,14,14,Indian Trekker,15.133636,20.850417,5.716781000000001
15,15,15,15,Olga,15.133636,20.850417,5.716781000000001
16,16,16,16,Kancha,15.133636,20.850417,5.716781000000001
17,17,17,17,Shivaay,20.950419000000004,29.43392200000001,8.483503000000006
18,18,18,18,Olga,20.983753000000004,29.43392200000001,8.450169000000006
19,19,19,19,Kancha,24.717160999999997,29.43392200000001,4.716761000000009
20,20,20,20,Shivaay,29.450589000000004,35.534044,6.083454999999998
21,21,21,21,Kancha,29.50059000000001,35.534044,6.033453999999992
22,22,22,22,Olga,29.633926,35.534044,5.900117999999999
23,23,23,23,Lady Doctor,29.633926,35.534044,5.900117999999999
24,24,24,24,Shivaay,35.76738200000001,41.950839,6.183456999999992
25,25,25,25,Gaura,35.96738600000001,41.950839,5.98345299999999
26,26,26,26,Kancha,39.16745,41.950839,2.783389
27,27,27,27,Yungchan,39.184117,41.950839,2.766722000000001
28,28,28,28,Gaura,42.05084100000001,45.15090300000001,3.1000619999999937
29,29,29,29,Shivaay,42.284178999999995,45.15090300000001,2.866724000000005
30,30,30,30,Olga,42.467515999999996,45.15090300000001,2.6833870000000037
31,31,31,31,Shivaay,45.15090300000001,50.401008,5.250104999999998
32,32,32,32,Doctor,45.184236999999996,50.401008,5.216771000000001
33,33,33,33,Gaura,45.184236999999996,50.401008,5.216771000000001
34,34,34,34,Kancha,45.21757100000001,50.401008,5.183436999999998
35,35,35,35,Olga,46.567598,50.401008,3.833410000000008
36,36,36,36,Shivaay,50.517677000000006,54.48442300000001,3.966746000000001
37,37,37,37,Gaura,50.517677000000006,54.48442300000001,3.966746000000001
38,38,38,38,8 Year old boy,51.201024,54.48442300000001,3.283399000000009
39,39,39,39,Bathrobe Man,51.734367999999996,54.48442300000001,2.7500550000000032
40,40,40,40,Sgt. Nikolai,53.584405,54.48442300000001,0.9000180000000029
41,41,41,41,Shivaay,54.517756999999996,60.66788,6.150123000000002
42,42,42,42,Gaura,54.517756999999996,60.66788,6.150123000000002
43,43,43,43,Olga,55.051101,60.66788,5.616779000000001
44,44,44,44,Wahab,55.634446,60.66788,5.033434000000007
45,45,45,45,Anushka,55.73444800000001,60.66788,4.933431999999996
46,46,46,46,Anushka's Boss,56.75113500000001,60.66788,3.916744999999992
47,47,47,47,Gaura,60.66788,69.33471999999999,8.666839999999986
48,48,48,48,Shivaay,60.66788,69.33471999999999,8.666839999999986
49,49,49,49,Gangster,68.384701,69.33471999999999,0.9500189999999832
50,50,50,50,Colonel Borris,69.33471999999999,73.084795,3.7500750000000096
51,51,51,51,Shivaay,69.40138800000001,73.084795,3.683406999999988
52,52,52,52,Indian Interpreter,69.40138800000001,73.084795,3.683406999999988
53,53,53,53,Ivanovich,70.83475,73.084795,2.250045
54,54,54,54,Ustinov,70.934752,73.084795,2.1500429999999966
55,55,55,55,Gaura,70.934752,73.084795,2.1500429999999966
56,56,56,56,Shivaay,73.13479600000002,78.634906,5.500109999999979
57,57,57,57,Gaura,73.13479600000002,78.634906,5.500109999999979
58,58,58,58,Ustinov,73.31813299999997,78.634906,5.316773000000026
59,59,59,59,Indian Interpreter,73.701474,78.634906,4.933431999999996
60,60,60,60,Anushka,78.634906,84.301686,5.666780000000003
61,61,61,61,Anushka's Father,78.751575,84.301686,5.550111000000001
62,62,62,62,Shivaay,80.96828599999998,84.301686,3.3334000000000263
63,63,63,63,Shivaay,84.301686,91.56849799999999,7.2668120000000025
64,64,64,64,Gaura,85.50171,91.56849799999999,6.0667880000000025
65,65,65,65,Pimp,86.535064,91.56849799999999,5.033434
66,66,66,66,Ivanovich,88.45176900000001,91.56849799999999,3.1167289999999923
67,67,67,67,Anushka,91.56849799999999,94.768562,3.2000639999999976
68,68,68,68,Anushka's Father,91.56849799999999,94.768562,3.2000639999999976
69,69,69,69,8 Year old boy,91.985173,94.768562,2.783389
70,70,70,70,Shivaay,93.235198,94.768562,1.533364000000006
71,71,71,71,Anushka's Boss,94.768562,98.068628,3.300066000000001
72,72,72,72,Anushka,94.851897,98.068628,3.2167310000000096
73,73,73,73,Shivaay,95.05190100000002,98.068628,3.016726999999989
74,74,74,74,Ustinov,95.068568,98.068628,3.000060000000005
75,75,75,75,Ivanovich,95.085235,98.068628,2.983393000000006
76,76,76,76,Anushka's Father,95.151903,98.068628,2.916725
77,77,77,77,Colonel Borris,95.251905,98.068628,2.8167229999999956
78,78,78,78,Olga,95.418575,98.068628,2.650053
79,79,79,79,Andre,95.418575,98.068628,2.650053
80,80,80,80,Ivanovich,98.135296,106.16879000000002,8.033494000000019
81,81,81,81,Shivaay,98.518637,106.16879000000002,7.650153000000018
82,82,82,82,Anushka,98.768642,106.16879000000002,7.4001480000000175
83,83,83,83,Olga,98.985313,106.16879000000002,7.1834770000000105
84,84,84,84,Wahab,101.518697,106.16879000000002,4.6500930000000125
85,85,85,85,Ivanovich,106.33546,109.802196,3.4667359999999827
86,86,86,86,Shivaay,107.135476,109.802196,2.666719999999998
87,87,87,87,Ustinov,109.802196,116.952339,7.150142999999999
88,88,88,88,Shivaay,109.902198,116.952339,7.050140999999996
89,89,89,89,Anushka,109.902198,116.952339,7.050140999999996
90,90,90,90,Olga,110.00220000000002,116.952339,6.950138999999979
91,91,91,91,Anushka's Father,110.11886899999999,116.952339,6.833469999999991
92,92,92,92,Wahab,110.618879,116.952339,6.333459999999987
93,93,93,93,Ivanovich,110.852217,116.952339,6.100121999999999
94,94,94,94,Sgt. Nikolai,110.885551,116.952339,6.0667879999999865
95,95,95,95,Wahab,116.969006,132.185977,15.216971
96,96,96,96,Olga,116.969006,132.185977,15.216971
