,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Mauji,0.933352,15.250304999999999,14.316953000000002
1,1,1,1,Mauji's Father,1.0833549999999998,15.250304999999999,14.166950000000002
2,2,2,2,Mamta,1.4833630000000002,15.250304999999999,13.766942000000002
3,3,3,3,Mauji's Mother,1.6833669999999998,15.250304999999999,13.566938
4,4,4,4,Yogesh,3.383401,15.250304999999999,11.866904000000002
5,5,5,5,Yogesh's Mother,3.383401,15.250304999999999,11.866904000000002
6,6,6,6,Jugnu,3.950079000000001,15.250304999999999,11.300226
7,7,7,7,Kumud,3.950079000000001,15.250304999999999,11.300226
8,8,8,8,Beenu,3.950079000000001,15.250304999999999,11.300226
9,9,9,9,Palte Ram,5.0667680000000015,15.250304999999999,10.183537
10,10,10,10,Naushad,6.150123000000002,15.250304999999999,9.100181999999998
11,11,11,11,Bansal,6.683467,15.250304999999999,8.566838
12,12,12,12,Prashant,7.783489,15.250304999999999,7.4668160000000015
13,13,13,13,Prashant's Bride,11.650233000000002,15.250304999999999,3.6000719999999986
14,14,14,14,Mamta,15.250304999999999,28.383901,13.133595999999999
15,15,15,15,Mauji,15.333639999999999,28.383901,13.050261
16,16,16,16,Mauji's Father,17.817023000000006,28.383901,10.566877999999996
17,17,17,17,Prashant,18.133696,28.383901,10.250205
18,18,18,18,Bansal,18.133696,28.383901,10.250205
19,19,19,19,Jugnu,20.067068000000006,28.383901,8.316832999999995
20,20,20,20,Beenu,20.067068000000006,28.383901,8.316832999999995
21,21,21,21,Yogesh,20.117069,28.383901,8.266832
22,22,22,22,Kumud,20.133736000000006,28.383901,8.250164999999997
23,23,23,23,Yogesh's Mother,20.133736000000006,28.383901,8.250164999999997
24,24,24,24,Mauji's Mother,20.150403,28.383901,8.233497999999999
25,25,25,25,Compounder,25.83385,28.383901,2.550051
26,26,26,26,Doctor,26.350527000000003,28.383901,2.0333739999999985
27,27,27,27,Mauji,28.383901,41.484163,13.100261999999999
28,28,28,28,Mamta,28.383901,41.484163,13.100261999999999
29,29,29,29,Mauji's Father,29.483923000000004,41.484163,12.000239999999998
30,30,30,30,Mauji's Mother,29.483923000000004,41.484163,12.000239999999998
31,31,31,31,Yogesh,31.150623000000003,41.484163,10.33354
32,32,32,32,Jugnu,34.90069800000001,41.484163,6.583464999999992
33,33,33,33,Mamta,41.484163,60.16787000000001,18.683707000000005
34,34,34,34,Mauji,41.550831,60.16787000000001,18.617039000000005
35,35,35,35,Mauji's Father,45.650913,60.16787000000001,14.516957000000005
36,36,36,36,Yogesh,46.08425500000001,60.16787000000001,14.083614999999995
37,37,37,37,Yogesh's Mother,46.40092800000001,60.16787000000001,13.766942000000002
38,38,38,38,Mauji's Mother,48.084295,60.16787000000001,12.083575000000005
39,39,39,39,Palte Ram,48.400968000000006,60.16787000000001,11.766902000000002
40,40,40,40,Naushad,49.78432900000001,60.16787000000001,10.383541
41,41,41,41,Compounder,53.36773400000001,60.16787000000001,6.800135999999995
42,42,42,42,Mauji,60.18453700000001,73.38480100000002,13.200264000000011
43,43,43,43,Mamta,60.33454,73.38480100000002,13.050261000000019
44,44,44,44,Mauji's Mother,60.45120900000001,73.38480100000002,12.933592000000012
45,45,45,45,Mauji's Father,60.63454600000001,73.38480100000002,12.750255000000017
46,46,46,46,Jugnu,60.63454600000001,73.38480100000002,12.750255000000017
47,47,47,47,Kumud,60.70121400000001,73.38480100000002,12.683587000000017
48,48,48,48,Beenu,60.70121400000001,73.38480100000002,12.683587000000017
49,49,49,49,Guddu,61.28455900000001,73.38480100000002,12.100242000000017
50,50,50,50,Panditji,62.534583999999995,73.38480100000002,10.850217000000024
51,51,51,51,Harleen Bedi,66.35132700000001,73.38480100000002,7.033474000000013
52,52,52,52,Mauji,73.38480100000002,90.05180100000004,16.667000000000016
53,53,53,53,Mauji's Father,73.38480100000002,90.05180100000004,16.667000000000016
54,54,54,54,Mauji's Mother,73.75147500000001,90.05180100000004,16.300326000000027
55,55,55,55,Mamta,73.75147500000001,90.05180100000004,16.300326000000027
56,56,56,56,Panditji,73.96814599999998,90.05180100000004,16.083655000000064
57,57,57,57,Guddu,75.25150500000002,90.05180100000004,14.800296000000017
58,58,58,58,Harleen Bedi,76.118189,90.05180100000004,13.933612000000036
59,59,59,59,Kumud,77.418215,90.05180100000004,12.633586000000037
60,60,60,60,Jugnu,77.434882,90.05180100000004,12.616919000000038
61,61,61,61,Yogesh,80.568278,90.05180100000004,9.483523000000034
62,62,62,62,Beenu,82.93499200000002,90.05180100000004,7.116809000000018
63,63,63,63,Mauji,90.05180100000004,105.085435,15.033633999999964
64,64,64,64,Mamta,90.05180100000004,105.085435,15.033633999999964
65,65,65,65,Mauji's Father,90.485143,105.085435,14.600291999999996
66,66,66,66,Yogesh's Mother,91.551831,105.085435,13.533603999999995
67,67,67,67,Mauji's Mother,92.118509,105.085435,12.966925999999999
68,68,68,68,Harleen Bedi,92.818523,105.085435,12.266912000000005
69,69,69,69,Guddu,92.83519,105.085435,12.250245000000007
70,70,70,70,Jugnu,95.735248,105.085435,9.350187000000004
71,71,71,71,Naushad,98.435302,105.085435,6.650132999999998
72,72,72,72,Yogesh,100.085335,105.085435,5.000100000000003
73,73,73,73,Palte Ram,100.435342,105.085435,4.650092999999998
74,74,74,74,Mauji's Father,105.185437,118.369034,13.183597000000004
75,75,75,75,Jugnu,105.185437,118.369034,13.183597000000004
76,76,76,76,Beenu,105.185437,118.369034,13.183597000000004
