,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,News Reporter,0.8833510000000001,9.566858000000002,8.683507000000002
1,1,1,1,News Reporter,1.6166989999999999,9.566858000000002,7.950159000000001
2,2,2,2,Aakash Oberoi,1.7167010000000005,9.566858000000002,7.850157000000001
3,3,3,3,Mr. Patel,1.7167010000000005,9.566858000000002,7.850157000000001
4,4,4,4,Investor 1,1.7167010000000005,9.566858000000002,7.850157000000001
5,5,5,5,Gyan Singh Oberoi,3.300066,9.566858000000002,6.2667920000000015
6,6,6,6,Sultan Ali Khan,4.700094,9.566858000000002,4.866764000000002
7,7,7,7,Sultan Ali Khan,9.933532,15.183637,5.250104999999998
8,8,8,8,Aakash Oberoi,10.883550999999999,15.183637,4.300085999999999
9,9,9,9,Govind,11.483563,15.183637,3.700073999999999
10,10,10,10,Rajbeer,12.916925,15.183637,2.2667119999999983
11,11,11,11,Aakash Oberoi,15.250304999999999,18.150363,2.9000579999999982
12,12,12,12,Govind,15.250304999999999,18.150363,2.9000579999999982
13,13,13,13,Sultan Ali Khan,16.366994000000002,18.150363,1.7833689999999969
14,14,14,14,Aarfa,16.817003000000003,18.150363,1.3333599999999954
15,15,15,15,Sultan Ali Khan,18.300366,32.05064100000001,13.750275000000013
16,16,16,16,Govind,18.350367,32.05064100000001,13.700274000000013
17,17,17,17,Haryanvi Tau,18.367034,32.05064100000001,13.683607000000013
18,18,18,18,Titu,18.850376999999998,32.05064100000001,13.200264000000011
19,19,19,19,Titu's Friend 1,18.850376999999998,32.05064100000001,13.200264000000011
20,20,20,20,Titu's Friend 2,18.867044000000003,32.05064100000001,13.18359700000001
21,21,21,21,Aarfa,22.05044100000001,32.05064100000001,10.000200000000003
22,22,22,22,Sharief Ali Khan,22.867124,32.05064100000001,9.183517000000013
23,23,23,23,Sultan's grandmother,23.133796000000004,32.05064100000001,8.91684500000001
24,24,24,24,Sultan Ali Khan,32.05064100000001,40.46747600000001,8.416834999999999
25,25,25,25,Govind,32.200644000000004,40.46747600000001,8.266832000000008
26,26,26,26,Aarfa,33.817343,40.46747600000001,6.650133000000013
27,27,27,27,Barkat,34.050681000000004,40.46747600000001,6.4167950000000085
28,28,28,28,Pawan,34.050681000000004,40.46747600000001,6.4167950000000085
29,29,29,29,Sultan Ali Khan,40.46747600000001,50.384341000000006,9.916864999999994
30,30,30,30,Pawan,40.66748000000001,50.384341000000006,9.716860999999994
31,31,31,31,Aarfa,40.817483,50.384341000000006,9.566858000000003
32,32,32,32,Govind,46.634266,50.384341000000006,3.7500750000000096
33,33,33,33,Sharief Ali Khan,50.384341000000006,58.91784500000001,8.533503999999999
34,34,34,34,Sultan's grandmother,50.384341000000006,58.91784500000001,8.533503999999999
35,35,35,35,Sultan Ali Khan,50.384341000000006,58.91784500000001,8.533503999999999
36,36,36,36,Govind,51.05102100000001,58.91784500000001,7.866823999999994
37,37,37,37,Barkat,52.05104100000001,58.91784500000001,6.866803999999995
38,38,38,38,Aarfa,52.05104100000001,58.91784500000001,6.866803999999995
39,39,39,39,Engine Driver,55.40110800000001,58.91784500000001,3.5167369999999987
40,40,40,40,Aarfa,58.93451200000001,65.934652,7.000139999999987
41,41,41,41,Barkat,59.11784900000001,65.934652,6.816802999999991
42,42,42,42,Pawan,59.11784900000001,65.934652,6.816802999999991
43,43,43,43,Sultan Ali Khan,59.60119200000001,65.934652,6.333459999999987
44,44,44,44,Govind,59.70119400000001,65.934652,6.233457999999992
45,45,45,45,Interstate wrestler,62.76792200000001,65.934652,3.166729999999987
46,46,46,46,Inter State Coach,62.76792200000001,65.934652,3.166729999999987
47,47,47,47,Sultan Ali Khan,65.934652,70.40140799999998,4.4667559999999735
48,48,48,48,Sharief Ali Khan,66.051321,70.40140799999998,4.350086999999974
49,49,49,49,Pawan,66.11798900000001,70.40140799999998,4.283418999999967
50,50,50,50,Barkat,66.21799100000001,70.40140799999998,4.183416999999963
51,51,51,51,Sultan's grandmother,66.21799100000001,70.40140799999998,4.183416999999963
52,52,52,52,Aarfa,66.21799100000001,70.40140799999998,4.183416999999963
53,53,53,53,Govind,66.851337,70.40140799999998,3.5500709999999738
54,54,54,54,Sultan Ali Khan,70.40140799999998,74.41815500000001,4.016747000000038
55,55,55,55,Govind,70.418075,74.41815500000001,4.000080000000011
56,56,56,56,Doctor,70.45140900000001,74.41815500000001,3.966746000000001
57,57,57,57,Aarfa,70.901418,74.41815500000001,3.5167370000000067
58,58,58,58,Barkat,71.23475800000001,74.41815500000001,3.1833970000000003
59,59,59,59,Sultan's Assistant,72.98479300000002,74.41815500000001,1.4333619999999885
60,60,60,60,Pawan,73.16813,74.41815500000001,1.2500250000000082
61,61,61,61,Advtisment's Director,74.18481700000002,74.41815500000001,0.2333379999999892
62,62,62,62,Aarfa,74.41815500000001,80.15160300000002,5.73344800000001
63,63,63,63,Barkat,74.41815500000001,80.15160300000002,5.73344800000001
64,64,64,64,Sultan Ali Khan,74.41815500000001,80.15160300000002,5.73344800000001
65,65,65,65,Minister,74.784829,80.15160300000002,5.366774000000022
66,66,66,66,Sultan Ali Khan,80.15160300000002,85.01836700000001,4.866763999999988
67,67,67,67,Govind,80.25160500000001,85.01836700000001,4.766762
68,68,68,68,Pawan,80.25160500000001,85.01836700000001,4.766762
69,69,69,69,Barkat,80.28493900000002,85.01836700000001,4.733427999999988
70,70,70,70,Aarfa,80.301606,85.01836700000001,4.716761000000004
71,71,71,71,Nurse,80.91828500000003,85.01836700000001,4.100081999999986
72,72,72,72,Doctor,80.91828500000003,85.01836700000001,4.100081999999986
73,73,73,73,Sultan's Assistant,81.6683,85.01836700000001,3.350067000000009
74,74,74,74,Sharief Ali Khan,82.051641,85.01836700000001,2.9667260000000084
75,75,75,75,Sultan Ali Khan,85.01836700000001,97.43528200000002,12.416915000000005
76,76,76,76,Govind,86.05172100000001,97.43528200000002,11.383561
77,77,77,77,Aakash Oberoi,86.23505800000002,97.43528200000002,11.200223999999993
78,78,78,78,Minister,87.85175699999998,97.43528200000002,9.583525000000037
79,79,79,79,Aarfa,90.801816,97.43528200000002,6.633466000000013
80,80,80,80,Barkat,94.051881,97.43528200000002,3.3834010000000063
81,81,81,81,Pawan,94.151883,97.43528200000002,3.2833990000000175
82,82,82,82,Mr. Patel,95.968586,97.43528200000002,1.466696000000013
83,83,83,83,Investor 1,96.035254,97.43528200000002,1.400028000000006
84,84,84,84,Sultan Ali Khan,97.468616,98.985313,1.5166970000000075
85,85,85,85,Aakash Oberoi,97.468616,98.985313,1.5166970000000075
86,86,86,86,Vicky Kukreja,97.50195,98.985313,1.483363000000011
87,87,87,87,Vicky Kukreja's Father,97.685287,98.985313,1.3000260000000026
88,88,88,88,Sultan Ali Khan,99.10198199999999,112.635586,13.533603999999995
89,89,89,89,Aakash Oberoi,99.10198199999999,112.635586,13.533603999999995
90,90,90,90,Fateh Singh,101.285359,112.635586,11.350227000000006
91,91,91,91,Govind,108.585505,112.635586,4.050081000000007
92,92,92,92,Fateh Singh,112.635586,120.402408,7.766822000000005
93,93,93,93,Sultan Ali Khan,112.752255,120.402408,7.650153000000002
94,94,94,94,News Reporter,114.735628,120.402408,5.666780000000003
95,95,95,95,Tyron,115.085635,120.402408,5.316772999999999
96,96,96,96,Marcus,115.235638,120.402408,5.166770000000014
97,97,97,97,Marrese,115.368974,120.402408,5.033434000000014
98,98,98,98,Aakash Oberoi,115.50231,120.402408,4.900098000000002
99,99,99,99,Govind,115.50231,120.402408,4.900098000000002
100,100,100,100,Barkat,115.735648,120.402408,4.666760000000012
101,101,101,101,Aarfa,115.735648,120.402408,4.666760000000012
102,102,102,102,Gyan Singh Oberoi,116.018987,120.402408,4.383420999999999
103,103,103,103,Meiyang Chang,116.35232700000002,120.402408,4.050080999999992
104,104,104,104,Kubra Sait,116.385661,120.402408,4.016746999999995
105,105,105,105,News Reporter,120.402408,130.769282,10.366873999999996
106,106,106,106,Meiyang Chang,120.919085,130.769282,9.850196999999994
