,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sweetie Desai,1.7500350000000002,3.1667300000000003,1.416695
1,1,1,1,Aakash Patel,1.83337,3.1667300000000003,1.33336
2,2,2,2,Bhoolabhai Desai,1.866704,3.1667300000000003,1.300026
3,3,3,3,Jazz Mehta,1.9667060000000005,3.1667300000000003,1.2000239999999998
4,4,4,4,Rasiklal Mehta,1.9667060000000005,3.1667300000000003,1.2000239999999998
5,5,5,5,DK,2.050041,3.1667300000000003,1.1166890000000005
6,6,6,6,Amit Shah,2.050041,3.1667300000000003,1.1166890000000005
7,7,7,7,Bubba Banerji,2.216711,3.1667300000000003,0.9500190000000002
8,8,8,8,Aalia,2.216711,3.1667300000000003,0.9500190000000002
9,9,9,9,Ruma,2.216711,3.1667300000000003,0.9500190000000002
10,10,10,10,Shruti Banerji,2.216711,3.1667300000000003,0.9500190000000002
11,11,11,11,Bhoolabhai Desai,3.2833989999999997,13.400267999999999,10.116869
12,12,12,12,DK,3.300066,13.400267999999999,10.100202000000001
13,13,13,13,Jigna Desai,4.16675,13.400267999999999,9.233518
14,14,14,14,Sweetie Desai,5.3667739999999995,13.400267999999999,8.033494000000001
15,15,15,15,Amit Shah,5.416775,13.400267999999999,7.9834929999999975
16,16,16,16,Doctor,6.3501270000000005,13.400267999999999,7.050141
17,17,17,17,Aakash Patel,8.000160000000001,13.400267999999999,5.400108
18,18,18,18,Einstein,8.166830000000001,13.400267999999999,5.233438
19,19,19,19,Aerobic Teacher,13.416935,28.317233,14.900298
20,20,20,20,Jigna Desai,13.450269,28.317233,14.866964
21,21,21,21,Bhoolabhai Desai,13.450269,28.317233,14.866964
22,22,22,22,Amit Shah,13.450269,28.317233,14.866964
23,23,23,23,DK,13.483603,28.317233,14.83363
24,24,24,24,Sweetie Desai,14.216951000000002,28.317233,14.100282
25,25,25,25,Aakash Patel,15.466976,28.317233,12.850257
26,26,26,26,Einstein,15.466976,28.317233,12.850257
27,27,27,27,Panditji,19.817063,28.317233,8.500169999999999
28,28,28,28,Aalia,20.850417,28.317233,7.4668160000000015
29,29,29,29,Ruma,20.850417,28.317233,7.4668160000000015
30,30,30,30,Sweetie Desai,28.367234000000003,39.967465999999995,11.600231999999998
31,31,31,31,Jigna Desai,28.483903,39.967465999999995,11.483563
32,32,32,32,Bhoolabhai Desai,29.750595000000004,39.967465999999995,10.216870999999998
33,33,33,33,Amit Shah,30.100602,39.967465999999995,9.866864
34,34,34,34,DK,30.433942,39.967465999999995,9.533524000000003
35,35,35,35,Aakash Patel,34.884031,39.967465999999995,5.0834350000000015
36,36,36,36,Aalia,35.067368,39.967465999999995,4.900098000000002
37,37,37,37,Ruma,35.067368,39.967465999999995,4.900098000000002
38,38,38,38,Einstein,35.167370000000005,39.967465999999995,4.8000959999999955
39,39,39,39,Singer,37.73408800000001,39.967465999999995,2.2333779999999948
40,40,40,40,Bhoolabhai Desai,40.05080100000001,49.750995,9.700193999999996
41,41,41,41,Sweetie Desai,40.20080400000001,49.750995,9.550190999999991
42,42,42,42,Jigna Desai,41.50083,49.750995,8.250165000000003
43,43,43,43,Aakash Patel,42.63418600000001,49.750995,7.116808999999996
44,44,44,44,Einstein,42.63418600000001,49.750995,7.116808999999996
45,45,45,45,Aalia,42.63418600000001,49.750995,7.116808999999996
46,46,46,46,Ruma,42.63418600000001,49.750995,7.116808999999996
47,47,47,47,Jigna Desai,49.767662,65.33464000000001,15.566978000000004
48,48,48,48,Bhoolabhai Desai,49.767662,65.33464000000001,15.566978000000004
49,49,49,49,DK,49.767662,65.33464000000001,15.566978000000004
50,50,50,50,Amit Shah,49.767662,65.33464000000001,15.566978000000004
51,51,51,51,Sweetie Desai,50.867684,65.33464000000001,14.466956000000005
52,52,52,52,Aakash Patel,50.867684,65.33464000000001,14.466956000000005
53,53,53,53,Einstein,50.867684,65.33464000000001,14.466956000000005
54,54,54,54,Aalia,50.91768500000001,65.33464000000001,14.416954999999994
55,55,55,55,Ruma,50.91768500000001,65.33464000000001,14.416954999999994
56,56,56,56,Bubba Banerji,52.51771700000001,65.33464000000001,12.816922999999996
57,57,57,57,Shruti Banerji,52.984393,65.33464000000001,12.350247000000005
58,58,58,58,Jazz Mehta,60.65121300000001,65.33464000000001,4.683426999999996
59,59,59,59,Rasiklal Mehta,60.65121300000001,65.33464000000001,4.683426999999996
60,60,60,60,Jazz Mehta,65.45130900000001,82.81832299999998,17.367013999999973
61,61,61,61,Jigna Desai,65.45130900000001,82.81832299999998,17.367013999999973
62,62,62,62,Bhoolabhai Desai,65.45130900000001,82.81832299999998,17.367013999999973
63,63,63,63,DK,65.45130900000001,82.81832299999998,17.367013999999973
64,64,64,64,Rasiklal Mehta,65.45130900000001,82.81832299999998,17.367013999999973
65,65,65,65,Amit Shah,65.45130900000001,82.81832299999998,17.367013999999973
66,66,66,66,Sweetie Desai,66.11798900000001,82.81832299999998,16.700333999999973
67,67,67,67,Aakash Patel,67.71802100000001,82.81832299999998,15.10030199999997
68,68,68,68,Einstein,67.71802100000001,82.81832299999998,15.10030199999997
69,69,69,69,Aalia,67.71802100000001,82.81832299999998,15.10030199999997
70,70,70,70,Ruma,67.71802100000001,82.81832299999998,15.10030199999997
71,71,71,71,Bubba Banerji,68.51803699999999,82.81832299999998,14.300285999999984
72,72,72,72,Shruti Banerji,68.66804,82.81832299999998,14.150282999999973
73,73,73,73,Panditji,69.768062,82.81832299999998,13.050260999999974
74,74,74,74,Police Commisioner,79.45158900000001,82.81832299999998,3.366733999999965
75,75,75,75,Jigna Desai,82.968326,92.601852,9.633526000000003
76,76,76,76,Bhoolabhai Desai,82.968326,92.601852,9.633526000000003
77,77,77,77,Sweetie Desai,82.968326,92.601852,9.633526000000003
78,78,78,78,DK,82.968326,92.601852,9.633526000000003
79,79,79,79,Amit Shah,82.968326,92.601852,9.633526000000003
80,80,80,80,Aakash Patel,83.46833600000002,92.601852,9.133515999999988
81,81,81,81,Einstein,83.46833600000002,92.601852,9.133515999999988
82,82,82,82,Police Inspector,83.50166999999998,92.601852,9.100182000000034
83,83,83,83,Bubba Banerji,86.18505700000001,92.601852,6.416794999999992
84,84,84,84,Chaman Bhai,87.368414,92.601852,5.233438000000007
85,85,85,85,Aalia,90.801816,92.601852,1.8000360000000055
86,86,86,86,Ruma,90.801816,92.601852,1.8000360000000055
87,87,87,87,Jazz Mehta,92.80185600000002,99.785329,6.9834729999999885
88,88,88,88,Rasiklal Mehta,92.83519,99.785329,6.950139000000008
89,89,89,89,Bhoolabhai Desai,93.985213,99.785329,5.800116000000003
90,90,90,90,Sweetie Desai,94.61855899999999,99.785329,5.16677
91,91,91,91,Aalia,95.40190799999999,99.785329,4.383420999999999
92,92,92,92,Ruma,95.40190799999999,99.785329,4.383420999999999
93,93,93,93,Aakash Patel,96.935272,99.785329,2.8500570000000067
94,94,94,94,Jigna Desai,97.30194600000002,99.785329,2.483382999999989
95,95,95,95,Amit Shah,97.30194600000002,99.785329,2.483382999999989
96,96,96,96,Bubba Banerji,98.935312,99.785329,0.8500170000000082
97,97,97,97,Shruti Banerji,99.00198,99.785329,0.7833490000000012
98,98,98,98,Sweetie Desai,99.885331,113.71894100000002,13.833610000000007
99,99,99,99,Aakash Patel,99.93533199999999,113.71894100000002,13.783609000000013
100,100,100,100,Rasiklal Mehta,103.60207199999999,113.71894100000002,10.116869000000008
101,101,101,101,Jigna Desai,103.635406,113.71894100000002,10.083535000000012
102,102,102,102,Bhoolabhai Desai,103.635406,113.71894100000002,10.083535000000012
103,103,103,103,Amit Shah,103.635406,113.71894100000002,10.083535000000012
104,104,104,104,DK,103.86874399999999,113.71894100000002,9.850197000000009
105,105,105,105,Aalia,103.86874399999999,113.71894100000002,9.850197000000009
106,106,106,106,Ruma,103.86874399999999,113.71894100000002,9.850197000000009
107,107,107,107,Jazz Mehta,103.902078,113.71894100000002,9.816863000000012
108,108,108,108,Einstein,104.268752,113.71894100000002,9.450189000000009
109,109,109,109,Panditji,105.76878200000002,113.71894100000002,7.950158999999997
110,110,110,110,Bubba Banerji,106.26879199999999,113.71894100000002,7.4501490000000095
111,111,111,111,Shruti Banerji,106.26879199999999,113.71894100000002,7.4501490000000095
