,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Noorie,0.916685,4.450089,3.533404
1,1,1,1,Shaurya,0.950019,4.450089,3.5000699999999996
2,2,2,2,Noorie,4.50009,11.066888,6.5667979999999995
3,3,3,3,Shaurya,4.50009,11.066888,6.5667979999999995
4,4,4,4,Broker,10.633546,11.066888,0.4333419999999997
5,5,5,5,Broker,11.066888,14.516957,3.4500690000000014
6,6,6,6,Shaurya,11.133556,14.516957,3.383401000000001
7,7,7,7,Shaurya,14.516957,16.983673000000003,2.4667160000000017
8,8,8,8,Broker,14.550291,16.983673000000003,2.4333820000000035
9,9,9,9,Watchman,15.783649000000002,16.983673000000003,1.2000240000000009
10,10,10,10,Shaurya,16.983673000000003,27.267212000000004,10.283539
11,11,11,11,Watchman,26.250525000000003,27.267212000000004,1.016687000000001
12,12,12,12,Shaurya,27.283879,30.650613000000003,3.366734000000005
13,13,13,13,Shaurya,30.700614,40.850817000000006,10.150203000000003
14,14,14,14,Watchman,34.684027,40.850817000000006,6.166790000000006
15,15,15,15,Swati (the girl from the chawl),39.884131,40.850817000000006,0.96668600000001
16,16,16,16,Shaurya,40.850817000000006,46.250925,5.400107999999998
17,17,17,17,Watchman,43.90087800000001,46.250925,2.3500469999999893
18,18,18,18,Swati (the girl from the chawl),44.76756200000001,46.250925,1.4833629999999898
19,19,19,19,Shaurya,46.250925,54.917765,8.666839999999999
20,20,20,20,Watchman,47.984293,54.917765,6.933472000000003
21,21,21,21,Swati (the girl from the chawl),48.45096900000001,54.917765,6.466795999999995
22,22,22,22,Shaurya,54.917765,57.601152000000006,2.6833870000000037
23,23,23,23,Shaurya,57.967826,61.56789800000001,3.6000720000000044
24,24,24,24,Noorie,58.501169999999995,61.56789800000001,3.066728000000005
25,25,25,25,Hawk McNab,59.13451600000001,61.56789800000001,2.4333819999999946
26,26,26,26,Shaurya,61.58456500000001,68.46803600000001,6.883471000000001
27,27,27,27,Shaurya,68.46803600000001,74.71816100000002,6.250125000000013
28,28,28,28,Noorie,69.81806300000001,74.71816100000002,4.900098000000014
29,29,29,29,Shaurya,74.71816100000002,80.68494700000002,5.966785999999999
30,30,30,30,Shaurya,80.68494700000002,92.518517,11.83356999999998
31,31,31,31,Watchman,91.83516999999999,92.518517,0.6833469999999977
32,32,32,32,Noorie,92.518517,94.61855899999999,2.100042000000002
33,33,33,33,Shaurya,92.818523,94.61855899999999,1.8000360000000055
34,34,34,34,Shaurya,94.635226,96.718601,2.083375000000004
35,35,35,35,Hawk McNab,96.151923,96.718601,0.5666780000000102
36,36,36,36,Shaurya,96.718601,98.61863900000002,1.9000380000000088
