,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Laxman,1.9500389999999999,4.0500810000000005,2.1000419999999997
1,1,1,1,Little Laxman (6),2.1333759999999997,4.0500810000000005,1.9167050000000003
2,2,2,2,Father Fredrick,2.183377,4.0500810000000005,1.8667040000000004
3,3,3,3,Little Bharat (6),4.0500810000000005,5.2001040000000005,1.150023
4,4,4,4,Little Laxman (12),4.0500810000000005,5.2001040000000005,1.150023
5,5,5,5,Little Narayan,4.566758,5.2001040000000005,0.6333460000000004
6,6,6,6,Gandhiji,5.2001040000000005,7.083475000000001,1.8833710000000004
7,7,7,7,Laxman,5.2334380000000005,7.083475000000001,1.8500370000000004
8,8,8,8,Little Laxman (12),5.433441999999999,7.083475000000001,1.6500330000000023
9,9,9,9,Little Bharat (6),5.433441999999999,7.083475000000001,1.6500330000000023
10,10,10,10,Father Fredrick,6.783469,7.083475000000001,0.30000600000000066
11,11,11,11,Laxman,7.083475000000001,12.433582,5.350107
12,12,12,12,Bharat,7.166810000000001,12.433582,5.2667720000000005
13,13,13,13,Narayan,7.750155,12.433582,4.683427000000001
14,14,14,14,Maya,11.750235000000002,12.433582,0.6833469999999995
15,15,15,15,Narayan,12.50025,14.116949000000002,1.6166990000000023
16,16,16,16,Laxman,12.566918,14.116949000000002,1.5500310000000024
17,17,17,17,Bharat,12.566918,14.116949000000002,1.5500310000000024
18,18,18,18,Banne Chacha,12.66692,14.116949000000002,1.4500290000000025
19,19,19,19,Shoe Shopkeeper,12.66692,14.116949000000002,1.4500290000000025
20,20,20,20,Jco,13.016927,14.116949000000002,1.100022000000001
21,21,21,21,Major Rajbir Tokas,13.050261,14.116949000000002,1.066688000000001
22,22,22,22,Laxman,14.166950000000002,16.400328000000002,2.233378
23,23,23,23,Bharat,14.316953000000002,16.400328000000002,2.083375
24,24,24,24,Banne Chacha,14.316953000000002,16.400328000000002,2.083375
25,25,25,25,Major Rajbir Tokas,16.466995999999998,20.150403,3.6834070000000025
26,26,26,26,Jco,16.466995999999998,20.150403,3.6834070000000025
27,27,27,27,Narayan,16.516997,20.150403,3.6334060000000012
28,28,28,28,Laxman,16.583665,20.150403,3.5667380000000013
29,29,29,29,Bharat,16.667,20.150403,3.4834029999999987
30,30,30,30,Laxman,20.283739,25.850517000000004,5.566778000000002
31,31,31,31,Bharat,20.350407,25.850517000000004,5.500110000000002
32,32,32,32,Major Rajbir Tokas,20.350407,25.850517000000004,5.500110000000002
33,33,33,33,Jco,20.350407,25.850517000000004,5.500110000000002
34,34,34,34,Banne Chacha,20.850417,25.850517000000004,5.000100000000003
35,35,35,35,Maya,20.983753000000004,25.850517000000004,4.866764
36,36,36,36,Fire Breather,25.867183999999998,33.317333000000005,7.450149000000002
37,37,37,37,Laxman,25.917185000000003,33.317333000000005,7.4001480000000015
38,38,38,38,Show Announcer,26.033854,33.317333000000005,7.2834790000000025
39,39,39,39,Goga Pasha,26.733868,33.317333000000005,6.583465000000004
40,40,40,40,Narayan,27.700554000000004,33.317333000000005,5.616779000000001
41,41,41,41,Bharat,33.50067000000001,36.050721,2.5500509999999963
42,42,42,42,Laxman,34.984033000000004,36.050721,1.0666879999999992
43,43,43,43,Major Rajbir Tokas,35.26737199999999,36.050721,0.7833490000000154
44,44,44,44,Jco,35.26737199999999,36.050721,0.7833490000000154
45,45,45,45,Narayan,36.050721,40.284139,4.233418
46,46,46,46,Banne Chacha,36.050721,40.284139,4.233418
47,47,47,47,Maya,36.10072200000001,40.284139,4.183416999999992
48,48,48,48,Shoe Shopkeeper,36.10072200000001,40.284139,4.183416999999992
49,49,49,49,Laxman,36.517396999999995,40.284139,3.7667420000000007
50,50,50,50,Laxman,40.417475,43.05086100000001,2.6333860000000087
51,51,51,51,Guo,40.567478,43.05086100000001,2.4833830000000106
52,52,52,52,Shoe Shopkeeper,42.017507,43.05086100000001,1.03335400000001
53,53,53,53,Narayan,42.05084100000001,43.05086100000001,1.0000199999999992
54,54,54,54,Liling,42.800856,43.05086100000001,0.2500050000000087
55,55,55,55,Banne Chacha,43.05086100000001,45.400908,2.3500469999999893
56,56,56,56,Laxman,43.05086100000001,45.400908,2.3500469999999893
57,57,57,57,Laxman,45.41757500000001,49.13431600000001,3.716741000000008
58,58,58,58,Guo,45.884251000000006,49.13431600000001,3.2500650000000064
59,59,59,59,Banne Chacha,46.21759100000001,49.13431600000001,2.916725
60,60,60,60,Liling,47.53428400000001,49.13431600000001,1.600032000000006
61,61,61,61,Laxman,49.150983,51.65103300000001,2.5000500000000088
62,62,62,62,Guo,49.150983,51.65103300000001,2.5000500000000088
63,63,63,63,Narayan,50.217671,51.65103300000001,1.4333620000000096
64,64,64,64,Shoe Shopkeeper,50.36767400000001,51.65103300000001,1.2833590000000044
65,65,65,65,Maya,51.734367999999996,54.451089,2.716721
66,66,66,66,Laxman,51.751034999999995,54.451089,2.700054000000001
67,67,67,67,Liling,52.48438300000001,54.451089,1.9667059999999952
68,68,68,68,Guo,52.48438300000001,54.451089,1.9667059999999952
69,69,69,69,Banne Chacha,52.967726000000006,54.451089,1.4833629999999969
70,70,70,70,Guo,54.451089,58.351167,3.9000780000000006
71,71,71,71,Laxman,54.451089,58.351167,3.9000780000000006
72,72,72,72,Major Rajbir Tokas,55.084435000000006,58.351167,3.266731999999997
73,73,73,73,Jco,55.117768999999996,58.351167,3.233398000000001
74,74,74,74,Narayan,56.86780400000001,58.351167,1.4833629999999969
75,75,75,75,Bharat,58.46783600000001,60.16787000000001,1.7000339999999952
76,76,76,76,Laxman,60.25120500000001,62.517917,2.2667119999999907
77,77,77,77,Liling,60.351206999999995,62.517917,2.166710000000002
78,78,78,78,Guo,62.41791500000001,62.517917,0.10000199999999636
79,79,79,79,Laxman,62.517917,65.0013,2.4833829999999963
80,80,80,80,Shoe Shopkeeper,62.651253,65.0013,2.3500469999999964
81,81,81,81,Laxmans Neighbour,63.28459900000001,65.0013,1.7167009999999934
82,82,82,82,Bharat,63.517936999999996,65.0013,1.4833629999999969
83,83,83,83,Major Rajbir Tokas,63.917944999999996,65.0013,1.0833549999999974
84,84,84,84,Laxman,65.0013,65.95131900000001,0.9500190000000116
85,85,85,85,Maya,65.15130300000001,65.95131900000001,0.8000159999999994
86,86,86,86,Phone Man,65.18463700000001,65.95131900000001,0.766682000000003
87,87,87,87,Laxman,66.00131999999999,71.718101,5.716781000000013
88,88,88,88,Jco,66.051321,71.718101,5.666780000000003
89,89,89,89,Major Rajbir Tokas,66.067988,71.718101,5.650113000000005
90,90,90,90,Liling,67.918025,71.718101,3.800076000000004
91,91,91,91,Bharat,71.751435,75.284839,3.5334040000000044
92,92,92,92,Laxman,72.60145200000002,75.284839,2.683386999999982
93,93,93,93,Guo,72.60145200000002,75.284839,2.683386999999982
94,94,94,94,Laxmans Teacher,73.218131,75.284839,2.0667080000000047
95,95,95,95,Panditji,73.28479899999998,75.284839,2.000040000000027
96,96,96,96,Laxmans Neighbour,73.3348,75.284839,1.950039000000004
97,97,97,97,Old Man,73.61813900000001,75.284839,1.6666999999999916
98,98,98,98,Laxman,75.301506,77.38488100000002,2.083375000000018
99,99,99,99,Guo,75.301506,77.38488100000002,2.083375000000018
100,100,100,100,Major Rajbir Tokas,76.634866,77.38488100000002,0.7500150000000191
101,101,101,101,Dhaba Waiter,77.38488100000002,83.88501099999998,6.500129999999956
102,102,102,102,Dhaba Owner,77.38488100000002,83.88501099999998,6.500129999999956
103,103,103,103,Narayan,77.38488100000002,83.88501099999998,6.500129999999956
104,104,104,104,Shoe Shopkeeper,77.38488100000002,83.88501099999998,6.500129999999956
105,105,105,105,Laxman,77.85155700000001,83.88501099999998,6.033453999999964
106,106,106,106,Guo,77.85155700000001,83.88501099999998,6.033453999999964
107,107,107,107,Maya,78.66824000000003,83.88501099999998,5.2167709999999525
108,108,108,108,Liling,78.70157400000002,83.88501099999998,5.183436999999955
109,109,109,109,Panditji,82.81832299999998,83.88501099999998,1.0666879999999992
110,110,110,110,Liling,83.88501099999998,86.535064,2.650053000000028
111,111,111,111,Laxman,83.901678,86.535064,2.6333860000000016
112,112,112,112,Dhaba Waiter,84.318353,86.535064,2.216711000000004
113,113,113,113,Laxmans Neighbour,84.56835799999998,86.535064,1.9667060000000305
114,114,114,114,Narayan,84.66835999999998,86.535064,1.8667040000000268
115,115,115,115,Dhaba Owner,84.718361,86.535064,1.8167030000000042
116,116,116,116,Panditji,84.968366,86.535064,1.5666980000000024
117,117,117,117,Laxmans Teacher,85.01836700000001,86.535064,1.5166969999999935
118,118,118,118,Shoe Shopkeeper,85.468376,86.535064,1.0666879999999992
119,119,119,119,Banne Chacha,86.035054,86.535064,0.5000100000000032
120,120,120,120,Maya,86.035054,86.535064,0.5000100000000032
121,121,121,121,Laughing Boy 1,86.301726,86.535064,0.2333380000000033
122,122,122,122,Laughing Boy 2,86.301726,86.535064,0.2333380000000033
123,123,123,123,Banne Chacha,86.535064,88.33510000000004,1.8000360000000342
124,124,124,124,Laxman,86.58506500000001,88.33510000000004,1.750035000000025
125,125,125,125,Jco,86.968406,88.33510000000004,1.366694000000038
126,126,126,126,Major Rajbir Tokas,87.00174000000001,88.33510000000004,1.3333600000000274
127,127,127,127,Laxman,88.418435,90.568478,2.1500429999999966
128,128,128,128,Liling,88.418435,90.568478,2.1500429999999966
