,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sulu,1.900038,3.816743,1.9167049999999999
1,1,1,1,Ashok,2.2000439999999997,3.816743,1.6166989999999999
2,2,2,2,Referee,2.2000439999999997,3.816743,1.6166989999999999
3,3,3,3,Pranav,2.33338,3.816743,1.4833630000000002
4,4,4,4,Sulu,3.816743,5.350107,1.5333640000000002
5,5,5,5,Ashok,3.883411,5.350107,1.4666960000000002
6,6,6,6,Pranav,3.9000779999999997,5.350107,1.4500290000000002
7,7,7,7,Aradhana,5.350107,9.350187,4.0000800000000005
8,8,8,8,Sulu,5.350107,9.350187,4.0000800000000005
9,9,9,9,Kalpana,5.416775,9.350187,3.933412
10,10,10,10,Ashok,5.750115,9.350187,3.600072
11,11,11,11,Pranav,5.750115,9.350187,3.600072
12,12,12,12,Sulu's Father,5.816783000000001,9.350187,3.5334039999999987
13,13,13,13,Brother-in-law 1,5.850117000000001,9.350187,3.5000699999999987
14,14,14,14,Brother-in-law 2,6.2001240000000015,9.350187,3.1500629999999985
15,15,15,15,Ashok,9.350187,10.966886,1.6166990000000006
16,16,16,16,Sulu,9.350187,10.966886,1.6166990000000006
17,17,17,17,Pranav,10.966886,12.583585,1.6166990000000006
18,18,18,18,Sulu,11.016886999999999,12.583585,1.5666980000000006
19,19,19,19,Ashok,11.166889999999999,12.583585,1.4166950000000007
20,20,20,20,Jet Air hostess 2,11.50023,12.583585,1.083355000000001
21,21,21,21,Jet air hostess 1,11.550231000000002,12.583585,1.0333539999999992
22,22,22,22,Ansari,12.583585,14.150283000000002,1.5666980000000006
23,23,23,23,Umar,12.583585,14.150283000000002,1.5666980000000006
24,24,24,24,Ashok,12.66692,14.150283000000002,1.4833630000000024
25,25,25,25,Mathuradas Brother 1,13.233598,14.150283000000002,0.9166850000000012
26,26,26,26,Mathuradas Brother 2,13.233598,14.150283000000002,0.9166850000000012
27,27,27,27,Pranav,14.150283000000002,14.983633,0.8333499999999976
28,28,28,28,Chetan,14.433622000000002,14.983633,0.5500109999999978
29,29,29,29,Lalji Bhai's Assistant,14.983633,15.716981000000002,0.733348000000003
