,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,ACP Ashwini Dixit,1.6667,2.5333840000000003,0.8666840000000002
1,1,1,1,ACP Ashwini Dixit,2.633386,18.517037,15.883651
2,2,2,2,Shikha Dixit,2.9167250000000005,18.517037,15.600312
3,3,3,3,Sr Inspector Ankit Dayal,7.950159000000001,18.517037,10.566877999999996
4,4,4,4,Neighbour Lady,12.616919,18.517037,5.900117999999997
5,5,5,5,Meghna Shastri,13.183597,18.517037,5.333439999999999
6,6,6,6,Ronny,16.266992000000002,18.517037,2.2500449999999965
7,7,7,7,Hotel Receptionist,16.266992000000002,18.517037,2.2500449999999965
8,8,8,8,Sera,16.283659,18.517037,2.2333779999999983
9,9,9,9,Hotel Manager,16.300326000000002,18.517037,2.2167109999999965
10,10,10,10,Nikhil,18.533704,32.033974,13.50027
11,11,11,11,Kavya,18.533704,32.033974,13.50027
12,12,12,12,ACP Ashwini Dixit,19.183717,32.033974,12.850257000000001
13,13,13,13,CCTV Technician,19.183717,32.033974,12.850257000000001
14,14,14,14,Sr Inspector Ankit Dayal,20.933752,32.033974,11.100222000000002
15,15,15,15,Vivek Rajput,21.067088,32.033974,10.966886
16,16,16,16,Roshni Banerjee,21.783769000000003,32.033974,10.250204999999998
17,17,17,17,Sam,22.900458,32.033974,9.133516
18,18,18,18,Hotel Manager,25.483843000000004,32.033974,6.550130999999998
19,19,19,19,Hotel Receptionist,25.633846,32.033974,6.400128000000002
20,20,20,20,Sera,29.283919,32.033974,2.750055
21,21,21,21,ACP Ashwini Dixit,32.067308000000004,57.28447900000001,25.21717100000001
22,22,22,22,Shikha Dixit,32.150643,57.28447900000001,25.13383600000001
23,23,23,23,Sr Inspector Ankit Dayal,36.084055000000006,57.28447900000001,21.200424000000005
24,24,24,24,Vivek Rajput,36.400728,57.28447900000001,20.88375100000001
25,25,25,25,Ronny,37.100742,57.28447900000001,20.18373700000001
26,26,26,26,Hotel Manager,37.33408,57.28447900000001,19.95039900000001
27,27,27,27,Hotel Receptionist,37.33408,57.28447900000001,19.95039900000001
28,28,28,28,Sera,38.534104000000006,57.28447900000001,18.750375000000005
29,29,29,29,Nikhil,41.317493000000006,57.28447900000001,15.966986000000004
30,30,30,30,Street Book Seller,43.267532,57.28447900000001,14.016947000000007
31,31,31,31,Roshni Banerjee,43.450869,57.28447900000001,13.833610000000016
32,32,32,32,ACP Ashwini Dixit,57.28447900000001,68.318033,11.033553999999988
33,33,33,33,Sr Inspector Ankit Dayal,57.751155,68.318033,10.566877999999996
34,34,34,34,Meghna Shastri,60.78454900000001,68.318033,7.533483999999987
35,35,35,35,Vivek Rajput,62.21791100000001,68.318033,6.100121999999992
36,36,36,36,Police Inspector,63.384601,68.318033,4.933431999999996
37,37,37,37,Roshni Banerjee,67.368014,68.318033,0.9500189999999976
38,38,38,38,ACP Ashwini Dixit,68.33470000000001,81.46829600000002,13.133596000000011
39,39,39,39,Nikhil,68.88471100000001,81.46829600000002,12.583585000000017
40,40,40,40,Sr Inspector Ankit Dayal,70.10140200000001,81.46829600000002,11.366894000000016
41,41,41,41,Shikha Dixit,70.91808499999998,81.46829600000002,10.550211000000047
42,42,42,42,Roshni Banerjee,71.36809400000001,81.46829600000002,10.10020200000001
43,43,43,43,Meghna Shastri,73.63480600000003,81.46829600000002,7.833489999999998
44,44,44,44,Ronny,73.65147300000002,81.46829600000002,7.8168229999999985
45,45,45,45,Vivek Rajput,73.718141,81.46829600000002,7.7501550000000226
46,46,46,46,ACP Ashwini Dixit,81.46829600000002,96.401928,14.933631999999974
47,47,47,47,Shikha Dixit,84.40168800000002,96.401928,12.000239999999973
48,48,48,48,Ananya,87.83509000000002,96.401928,8.566837999999976
49,49,49,49,Kavya,87.83509000000002,96.401928,8.566837999999976
50,50,50,50,Sr Inspector Ankit Dayal,88.08509500000002,96.401928,8.316832999999974
51,51,51,51,Roshni Banerjee,89.10178200000001,96.401928,7.300145999999982
52,52,52,52,Shikha Dixit,96.401928,105.818783,9.416855000000012
53,53,53,53,Mayuk,96.935272,105.818783,8.883511000000011
54,54,54,54,ACP Ashwini Dixit,97.985293,105.818783,7.833490000000013
55,55,55,55,Roshni Banerjee,102.102042,105.818783,3.716741000000013
56,56,56,56,Sr Inspector Ankit Dayal,103.368734,105.818783,2.450049000000007
57,57,57,57,Ananya,103.368734,105.818783,2.450049000000007
58,58,58,58,Kavya,103.368734,105.818783,2.450049000000007
59,59,59,59,Roshni Banerjee,105.918785,109.33552000000002,3.4167350000000027
60,60,60,60,ACP Ashwini Dixit,106.06878799999998,109.33552000000002,3.2667320000000335
61,61,61,61,Shikha Dixit,107.902158,109.33552000000002,1.4333620000000025
