,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Gowru Charitha Reddy,3.0833950000000003,13.400267999999999,10.316873
1,1,1,1,Y. S. Vijayamma,3.383401,13.400267999999999,10.016867
2,2,2,2,Veerappa,3.5834050000000004,13.400267999999999,9.816863
3,3,3,3,K V P Ramachandra Rao,3.783409,13.400267999999999,9.616859000000002
4,4,4,4,Y S Rajasekhara Reddy,4.533424,13.400267999999999,8.866844
5,5,5,5,Obulesh,4.900098000000002,13.400267999999999,8.500169999999999
6,6,6,6,Goon,5.66678,13.400267999999999,7.733488
7,7,7,7,Subba Reddy,11.350227,13.400267999999999,2.050041
8,8,8,8,Y S Rajasekhara Reddy,13.416935,24.483823,11.066888
9,9,9,9,Y. S. Vijayamma,13.416935,24.483823,11.066888
10,10,10,10,K V P Ramachandra Rao,13.466935999999999,24.483823,11.016886999999999
11,11,11,11,Veerappa,13.883611000000002,24.483823,10.600212
12,12,12,12,V Hanumanth Rao,14.366954000000002,24.483823,10.116869
13,13,13,13,Naidu,18.417035,24.483823,6.066787999999999
14,14,14,14,TDP Leader,18.417035,24.483823,6.066787999999999
15,15,15,15,Ranga Rao,18.417035,24.483823,6.066787999999999
16,16,16,16,Raja Reddy,19.300386000000003,24.483823,5.183436999999998
17,17,17,17,Ghulam Nabi Azad,20.450409,24.483823,4.0334140000000005
18,18,18,18,Venkat Rao,20.600412,24.483823,3.8834110000000015
19,19,19,19,Narayana,22.567118,24.483823,1.9167050000000003
20,20,20,20,Y S Rajasekhara Reddy,24.53382400000001,35.61737900000001,11.083554999999995
21,21,21,21,K V P Ramachandra Rao,24.53382400000001,35.61737900000001,11.083554999999995
22,22,22,22,Raja Reddy,27.067208,35.61737900000001,8.550171000000006
23,23,23,23,Venkatappa,27.400548000000004,35.61737900000001,8.216831000000003
24,24,24,24,Veerappa,34.184017000000004,35.61737900000001,1.4333620000000025
25,25,25,25,Y S Rajasekhara Reddy,35.63404600000001,46.784269,11.15022299999999
26,26,26,26,Y. S. Vijayamma,35.63404600000001,46.784269,11.15022299999999
27,27,27,27,Sabitha Indra Reddy,35.734048,46.784269,11.050221
28,28,28,28,K V P Ramachandra Rao,36.03405400000001,46.784269,10.75021499999999
29,29,29,29,Veerappa's Wife,37.100742,46.784269,9.683527000000003
30,30,30,30,Veerappa,37.16741,46.784269,9.616859000000003
31,31,31,31,Ghulam Nabi Azad,38.00076000000001,46.784269,8.783508999999995
32,32,32,32,Naidu,44.68422700000001,46.784269,2.100041999999996
33,33,33,33,Ranga Rao,44.68422700000001,46.784269,2.100041999999996
34,34,34,34,TDP Leader,44.70089400000001,46.784269,2.083374999999989
35,35,35,35,Venkat Rao,45.400908,46.784269,1.3833610000000007
36,36,36,36,Farmer,46.967605999999996,58.20116400000001,11.23355800000001
37,37,37,37,Y S Rajasekhara Reddy,47.300946,58.20116400000001,10.90021800000001
38,38,38,38,Veerappa,47.300946,58.20116400000001,10.90021800000001
39,39,39,39,Farmer,49.20098400000001,58.20116400000001,9.00018
40,40,40,40,TDP Leader,58.25116500000001,66.80133599999999,8.550170999999986
41,41,41,41,DCP,58.25116500000001,66.80133599999999,8.550170999999986
42,42,42,42,Y S Rajasekhara Reddy,59.784529000000006,66.80133599999999,7.016806999999987
43,43,43,43,Venkat Rao,59.951199,66.80133599999999,6.8501369999999895
44,44,44,44,Veerappa,60.30120600000001,66.80133599999999,6.5001299999999835
45,45,45,45,Ghulam Nabi Azad,66.818003,79.60159200000002,12.783589000000019
46,46,46,46,V Hanumanth Rao,66.818003,79.60159200000002,12.783589000000019
47,47,47,47,Y S Rajasekhara Reddy,68.418035,79.60159200000002,11.183557000000024
48,48,48,48,K V P Ramachandra Rao,68.50137000000001,79.60159200000002,11.100222000000016
49,49,49,49,Venkat Rao,69.25138500000001,79.60159200000002,10.350207000000012
50,50,50,50,Naidu,69.40138800000001,79.60159200000002,10.200204000000014
51,51,51,51,Veerappa,69.95139900000001,79.60159200000002,9.650193000000016
52,52,52,52,Raghavayya,74.48482299999998,79.60159200000002,5.116769000000048
53,53,53,53,Y S Rajasekhara Reddy,79.66826,103.102062,23.433802
54,54,54,54,K V P Ramachandra Rao,79.85159700000001,103.102062,23.25046499999999
55,55,55,55,Veerappa,80.601612,103.102062,22.50045
56,56,56,56,Venkat Rao,84.38502100000002,103.102062,18.71704099999998
57,57,57,57,Ranga Rao,84.51835700000002,103.102062,18.58370499999998
58,58,58,58,Narayana,84.93503199999998,103.102062,18.167030000000025
59,59,59,59,Farmer,88.71844100000001,103.102062,14.38362099999999
60,60,60,60,Doctor,88.951779,103.102062,14.150283000000002
61,61,61,61,Raja Reddy,89.318453,103.102062,13.783608999999998
62,62,62,62,Venkatappa,89.318453,103.102062,13.783608999999998
63,63,63,63,Sabitha Indra Reddy,91.235158,103.102062,11.866904000000005
64,64,64,64,Y. S. Vijayamma,91.235158,103.102062,11.866904000000005
65,65,65,65,Compounder,91.551831,103.102062,11.550230999999995
66,66,66,66,V Hanumanth Rao,103.102062,115.318973,12.216910999999996
67,67,67,67,Ghulam Nabi Azad,103.135396,115.318973,12.183577
68,68,68,68,Y S Rajasekhara Reddy,103.685407,115.318973,11.633566000000002
69,69,69,69,Veerappa,103.685407,115.318973,11.633566000000002
70,70,70,70,K V P Ramachandra Rao,103.685407,115.318973,11.633566000000002
71,71,71,71,Y. S. Vijayamma,108.50216999999999,115.318973,6.816802999999991
72,72,72,72,Naidu,111.46889600000002,115.318973,3.8500769999999847
73,73,73,73,TDP Leader,111.46889600000002,115.318973,3.8500769999999847
74,74,74,74,Ranga Rao,111.46889600000002,115.318973,3.8500769999999847
75,75,75,75,Farmer,115.585645,123.08579499999999,7.500150000000005
76,76,76,76,Y S Rajasekhara Reddy,116.05232099999999,123.08579499999999,7.033473999999997
77,77,77,77,Y. S. Vijayamma,116.902338,123.08579499999999,6.1834570000000175
