,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Press Reporter,3.800076,14.883631,11.083555
1,1,1,1,Lenin,4.566758,14.883631,10.316873
2,2,2,2,Puyal Charumathi Gaekwad,4.616759,14.883631,10.266872
3,3,3,3,Inspector Patil,4.66676,14.883631,10.216871000000001
4,4,4,4,Vishnu Bhai,5.2334380000000005,14.883631,9.650192999999998
5,5,5,5,Vaaliyappa,7.666819999999999,14.883631,7.216811000000001
6,6,6,6,Karikaalan,7.733488,14.883631,7.150142999999999
7,7,7,7,Mani,7.883491000000001,14.883631,7.000139999999997
8,8,8,8,Selvam,8.383500999999999,14.883631,6.50013
9,9,9,9,Selvi,14.900298,23.967146000000003,9.066848000000002
10,10,10,10,Karikaalan's Third Son,15.383641,23.967146000000003,8.583505000000002
11,11,11,11,Karikaalan's daughter in law,15.400307999999999,23.967146000000003,8.566838000000002
12,12,12,12,Selvam,15.816983000000002,23.967146000000003,8.150163000000001
13,13,13,13,Karikaalan's daughter-in-law,15.833650000000002,23.967146000000003,8.133496000000001
14,14,14,14,Kathiravan,16.333660000000002,23.967146000000003,7.633486000000001
15,15,15,15,Vaaliyappa,16.533664,23.967146000000003,7.4334820000000015
16,16,16,16,Karikaalan,16.550331,23.967146000000003,7.416815000000002
17,17,17,17,Puyal Charumathi Gaekwad,17.067007999999998,23.967146000000003,6.9001380000000045
18,18,18,18,Lenin,17.067007999999998,23.967146000000003,6.9001380000000045
19,19,19,19,Karikaalan's Daughter-In-Law,18.617039,23.967146000000003,5.350107000000001
20,20,20,20,Vishnu Bhai,22.200444,23.967146000000003,1.7667020000000022
21,21,21,21,Press Reporter,23.817142999999998,23.967146000000003,0.15000300000000166
22,22,22,22,Haridev Abhayankar,23.900478000000003,23.967146000000003,0.06666799999999995
23,23,23,23,Haridev Abhayankar,23.967146000000003,35.484043,11.516896999999995
24,24,24,24,Vishnu Bhai,24.117148999999998,35.484043,11.366893999999998
25,25,25,25,Karikaalan,24.717160999999997,35.484043,10.766882
26,26,26,26,Vaaliyappa,24.717160999999997,35.484043,10.766882
27,27,27,27,Selvam,24.83383000000001,35.484043,10.65021299999999
28,28,28,28,Press Reporter,25.017167,35.484043,10.466876
29,29,29,29,Lenin,25.067168,35.484043,10.416875
30,30,30,30,Puyal Charumathi Gaekwad,25.117169000000004,35.484043,10.366873999999996
31,31,31,31,Zareena,25.483843000000004,35.484043,10.000199999999996
32,32,32,32,Selvi,31.117289000000003,35.484043,4.366753999999997
33,33,33,33,Karikaalan's daughter-in-law,31.117289000000003,35.484043,4.366753999999997
34,34,34,34,Kathiravan,31.117289000000003,35.484043,4.366753999999997
35,35,35,35,Karikaalan's daughter in law,31.117289000000003,35.484043,4.366753999999997
36,36,36,36,Karikaalan's Daughter-In-Law,31.117289000000003,35.484043,4.366753999999997
